date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,2467.0,731108,203174,27.79,2476.6,36644
2025-11-03,2419.8,2072668,424988,20.5,2433.37,77117
2025-11-05,2314.3,1978147,712210,36.0,2346.4,87565
2025-11-06,2369.4,2232889,573863,25.7,2362.99,69168
2025-11-09,2370.7,559808,143510,25.64,2374.43,30696
2025-11-10,2366.8,634172,141462,22.31,2359.28,33161
2025-11-11,2484.5,6685426,2688555,40.22,2468.19,166963
2025-11-12,2488.2,2706326,1406848,51.98,2495.26,69562
2025-11-13,2516.8,4496233,2363697,52.57,2524.48,98231
2025-11-16,2462.0,2672697,1380436,51.65,2448.66,64529
2025-11-17,2462.0,5342008,0,,2462.0,1
2025-11-17,2436.8,1245215,620724,49.85,2448.31,33053
2025-11-18,2433.1,774785,276624,35.7,2432.6,29152
2025-11-19,2446.1,1526556,408723,26.77,2456.68,49383
2025-11-20,2422.3,547541,137254,25.07,2433.91,23006
2025-11-23,2399.2,691419,357557,51.71,2409.75,32464
2025-11-24,2332.9,2223715,712660,32.05,2364.69,69285
2025-11-25,2315.0,1026965,333100,32.44,2334.95,47392
2025-11-26,2255.0,1474038,701192,47.57,2283.07,61990
2025-11-27,2280.2,3037620,662424,21.81,2295.96,86014
2025-11-30,2262.0,1313265,536420,40.85,2277.13,42480
2025-12-01,2239.6,1035354,470752,45.47,2244.6,46209
2025-12-02,2189.8,1643852,673950,41.0,2204.17,63240
2025-12-03,2217.9,2522821,1415418,56.1,2212.67,67347
2025-12-04,2265.4,2400781,1347456,56.13,2240.36,67680
2025-12-07,2216.2,939764,287471,30.59,2229.82,43380
2025-12-08,2245.2,1227728,297417,24.22,2226.67,51676
2025-12-09,2211.6,935149,216025,23.1,2239.02,37803
2025-12-10,2277.7,1519832,384453,25.3,2255.58,52376
2025-12-11,2282.4,929199,278188,29.94,2282.72,31417
2025-12-14,2278.9,573027,151640,26.46,2284.25,29762
2025-12-15,2247.9,654714,231579,35.37,2248.44,34760
2025-12-16,2232.5,651509,179573,27.56,2234.72,34504
2025-12-17,2229.3,508238,86721,17.06,2230.17,25318
2025-12-18,2239.0,880005,277597,31.54,2230.79,31918
2025-12-21,2263.5,599195,162413,27.11,2262.46,28721
2025-12-22,2248.8,450112,138562,30.78,2256.97,23215
2025-12-23,2222.7,825693,394423,47.77,2238.0,27346
2025-12-25,2229.9,566237,150706,26.62,2235.41,24388
2025-12-28,2203.2,690691,282680,40.93,2214.63,27113
2025-12-29,2214.7,935026,463244,49.54,2209.11,45283
2025-12-30,2239.7,779141,368559,47.3,2234.92,26919
2025-12-31,2260.0,1046220,265633,25.39,2265.77,44508
2026-01-01,2279.8,715242,330288,46.18,2273.24,31529
2026-01-04,2279.5,696380,291304,41.83,2285.62,35281
2026-01-05,2259.1,698294,292430,41.88,2266.66,30388
2026-01-06,2274.1,529451,156710,29.6,2267.55,28649
2026-01-07,2214.0,792800,299188,37.74,2230.97,38536
2026-01-08,2153.7,1570376,549089,34.97,2173.43,64331
2026-01-11,2171.6,1257197,329718,26.23,2150.41,53143
2026-01-12,2158.5,791556,208540,26.35,2162.56,32648
2026-01-13,2153.3,618139,210391,34.04,2156.29,31911
2026-01-15,2157.3,758469,273396,36.05,2173.47,35470
2026-01-18,2134.6,749495,250979,33.49,2138.36,34175
2026-01-19,2055.1,1160975,455049,39.2,2088.47,53992
2026-01-20,2032.2,1354644,340797,25.16,2040.55,54963
2026-01-21,2086.4,942721,264802,28.09,2080.73,39536
2026-01-22,1864.2,7492631,1997358,26.66,1920.06,229436
2026-01-26,1959.5,5449633,776179,14.24,1946.17,175711
2026-01-27,1994.7,2073198,590554,28.49,1983.29,64566
2026-01-28,2019.2,1391239,419847,30.18,1999.01,52774
2026-01-29,2020.4,1230915,389782,31.67,2022.61,52794
2026-01-31,1942.8,1802165,464753,25.79,1981.17,61214
2026-02-01,1995.4,1229270,282093,22.95,1967.79,61151
2026-02-02,2202.6,6918581,1198404,17.32,2201.97,239268
2026-02-03,2228.2,2051918,395002,19.25,2218.87,71644
2026-02-04,2236.6,992382,230168,23.19,2224.95,42025
2026-02-05,2226.4,933650,217423,23.29,2221.02,37449
2026-02-08,2250.1,1650899,634947,38.46,2261.5,50286
2026-02-09,2228.4,1670672,253600,15.18,2225.16,72035
2026-02-10,2234.4,682320,263783,38.66,2229.57,30700
2026-02-11,2211.8,649585,168415,25.93,2210.84,33140
2026-02-12,2136.6,1489548,465452,31.25,2153.02,57301
2026-02-15,2184.6,1824808,584979,32.06,2159.21,69844
2026-02-16,2242.9,1931699,597231,30.92,2218.44,62075
2026-02-17,2211.2,1149398,292326,25.43,2210.56,48505
2026-02-18,2156.7,1101633,308526,28.01,2175.25,51782
2026-02-19,2160.8,738454,137772,18.66,2162.37,27557
2026-02-22,2191.0,1103960,301580,27.32,2185.3,41831
2026-02-23,2183.0,1152423,390557,33.89,2182.09,45878
2026-02-24,2231.7,1474187,635817,43.13,2210.01,63011
2026-02-25,2216.4,915342,287181,31.37,2214.12,48638
2026-02-26,2161.8,1433096,851907,59.45,2172.76,39471
2026-03-01,2124.6,2134522,718818,33.68,2102.42,98499
2026-03-03,2076.5,1585848,628497,39.63,2064.28,86583
2026-03-04,2089.2,1231524,266293,21.62,2065.98,66201
2026-03-05,2039.9,1696027,920880,54.3,2059.54,59225
2026-03-08,1999.2,1305447,345264,26.45,1972.91,63923
2026-03-09,1996.5,1680405,753222,44.82,1996.85,71660
2026-03-10,1974.7,1088294,343737,31.58,1994.25,51008
2026-03-11,2002.0,1473773,372735,25.29,1996.59,72297
2026-03-12,1961.1,1195448,362539,30.33,1972.15,56989
2026-03-15,1978.0,1465828,562476,38.37,1967.81,60264
2026-03-16,1975.4,1268988,274097,21.6,1967.11,57212
2026-03-17,2007.2,1041095,248121,23.83,2011.93,53221
2026-03-18,1936.8,1510588,486863,32.23,1947.59,71579
2026-03-19,1927.1,1175662,373236,31.75,1944.09,44164
2026-03-22,1833.0,2370668,829445,34.99,1844.83,92190
2026-03-23,1817.9,11211381,7036035,62.76,1830.21,143289
2026-03-24,1886.6,2537690,848449,33.43,1887.43,76536
2026-03-26,1823.0,2585257,1434482,55.49,1835.51,74139
2026-03-29,1758.8,2825299,1173034,41.52,1786.59,88879
2026-03-31,1842.5,2328166,795876,34.18,1844.29,65838
2026-04-01,1834.2,1830598,427018,23.33,1799.58,69892
2026-04-05,1902.2,3153437,1170024,37.1,1857.26,110565
2026-04-06,1882.1,1566909,482751,30.81,1878.98,69466
2026-04-07,2043.8,4197831,821816,19.58,2031.33,113934
2026-04-08,2040.5,2481188,993824,40.05,2039.3,57605
2026-04-09,2086.8,1700162,561707,33.04,2076.69,55344
2026-04-12,2129.0,3729773,725851,19.46,2115.43,105757
2026-04-14,2144.4,1779015,539645,30.33,2169.44,50234
2026-04-15,2203.7,2188912,547415,25.01,2183.39,67177
2026-04-16,2218.3,2408901,578430,24.01,2206.15,66884
2026-04-19,2229.6,1795338,526807,29.34,2241.76,66823
2026-04-20,2226.0,1818221,851198,46.81,2234.92,45092
2026-04-21,2260.8,3517237,1626558,46.25,2248.52,88875
2026-04-22,2300.0,2948009,862545,29.26,2284.37,94840
2026-04-23,2287.6,2271317,535071,23.56,2271.23,72842
2026-04-26,2321.8,1500864,487593,32.49,2317.68,59958
2026-04-27,2412.4,4375556,1138681,26.02,2389.35,136245
2026-04-28,2425.9,4656967,2025182,43.49,2424.36,101622
2026-04-29,2408.4,3538354,1031837,29.16,2384.26,91584
2026-05-03,2485.7,6039537,1807665,29.93,2465.73,162128
2026-05-04,2462.0,1622580,310994,19.17,2479.69,62556
2026-05-05,2540.3,3169133,1080378,34.09,2513.58,98324
2026-05-06,2513.7,1098088,289626,26.38,2526.68,41967
2026-05-07,2505.9,1499613,445832,29.73,2521.01,50320
2026-05-10,2500.2,1279432,334388,26.14,2488.24,52568
2026-05-11,2405.2,1459022,498271,34.15,2438.9,84072
2026-05-12,2498.0,2036291,663308,32.57,2478.8,73475
2026-05-13,2712.9,9539233,2192630,22.99,2646.22,275483
2026-05-13,2435.6,5892423,0,,2435.6,1
2026-05-14,2716.0,6742083,1182501,17.54,2736.77,212829
