date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1444.7,1059573,432054,40.78,1445.04,54281
2025-11-03,1444.4,3554714,1115999,31.39,1448.31,107189
2025-11-05,1436.8,2745063,1113958,40.58,1450.67,89710
2025-11-06,1448.3,2184538,1092105,49.99,1447.83,77253
2025-11-09,1444.9,1161695,618897,53.28,1448.77,56441
2025-11-10,1474.4,2258827,1111054,49.19,1461.14,74892
2025-11-11,1506.9,4641466,2074178,44.69,1502.94,134212
2025-11-12,1499.0,2304918,951541,41.28,1502.55,69310
2025-11-13,1512.7,2345593,808190,34.46,1512.27,69833
2025-11-16,1507.6,1750560,1025076,58.56,1508.01,65737
2025-11-17,1507.6,7317197,0,,1507.6,1
2025-11-17,1495.0,1818617,1016865,55.91,1499.51,48670
2025-11-18,1484.2,1746304,1033913,59.21,1485.43,71029
2025-11-19,1491.1,1459401,645895,44.26,1495.86,53609
2025-11-20,1479.8,1165365,514625,44.16,1478.24,45943
2025-11-23,1485.9,2485518,1716546,69.06,1483.42,62297
2025-11-24,1483.9,1355333,594297,43.85,1482.15,61360
2025-11-25,1506.2,3986754,1648040,41.34,1511.88,76062
2025-11-26,1509.1,861910,345316,40.06,1507.04,51591
2025-11-27,1516.9,2612938,1084384,41.5,1522.17,79458
2025-11-30,1530.5,4059126,2174021,53.56,1536.79,115935
2025-12-01,1518.1,1974536,1178111,59.67,1517.81,59646
2025-12-02,1497.7,1958074,964242,49.24,1502.43,60469
2025-12-03,1505.6,1591805,909448,57.13,1502.5,85391
2025-12-04,1509.4,1141428,517521,45.34,1503.91,36597
2025-12-07,1480.5,1070689,534508,49.92,1487.37,49838
2025-12-08,1497.2,1327921,610566,45.98,1487.0,58661
2025-12-09,1498.1,1677388,722012,43.04,1508.7,65876
2025-12-10,1504.0,1451645,728539,50.19,1505.79,51237
2025-12-11,1522.8,1152570,563379,48.88,1519.52,49543
2025-12-14,1512.6,850425,288946,33.98,1514.19,49822
2025-12-15,1499.0,1122212,663794,59.15,1501.98,70462
2025-12-16,1486.3,964352,535327,55.51,1488.11,46665
2025-12-17,1495.7,683681,284908,41.67,1488.15,37224
2025-12-18,1496.4,1276175,811128,63.56,1496.02,51213
2025-12-21,1508.7,1116833,591824,52.99,1507.77,42723
2025-12-22,1493.6,928446,497450,53.58,1501.32,32099
2025-12-23,1494.3,1318023,637794,48.39,1501.7,43520
2025-12-25,1487.1,876540,416784,47.55,1492.18,33853
2025-12-28,1454.4,1568472,798259,50.89,1461.79,51994
2025-12-29,1461.2,3463973,2506442,72.36,1461.82,88818
2025-12-30,1469.8,707055,300883,42.55,1469.29,27709
2025-12-31,1481.1,981252,340209,34.67,1483.37,36178
2026-01-01,1489.5,1251176,756122,60.43,1489.42,53129
2026-01-04,1493.0,790039,375885,47.58,1488.97,32128
2026-01-05,1473.2,1675609,1004027,59.92,1478.72,70892
2026-01-06,1465.3,2124534,1551295,73.02,1466.65,42304
2026-01-07,1465.2,1974347,821368,41.6,1475.26,62292
2026-01-08,1435.9,2280396,1206020,52.89,1443.48,70295
2026-01-11,1443.5,1539180,535992,34.82,1425.22,64681
2026-01-12,1428.6,919873,374544,40.72,1432.94,35182
2026-01-13,1430.0,1278819,772335,60.39,1431.1,43686
2026-01-15,1421.9,1556318,839535,53.94,1432.93,48618
2026-01-18,1403.0,1130162,534728,47.31,1405.55,47724
2026-01-19,1367.6,1799611,900567,50.04,1382.62,57324
2026-01-20,1378.6,2141532,1042748,48.69,1373.0,91155
2026-01-21,1414.2,1689638,806906,47.76,1410.22,70921
2026-01-22,1308.4,6380222,2595240,40.68,1332.03,156201
2026-01-26,1363.9,3838632,1232669,32.11,1352.72,111797
2026-01-27,1381.9,2938285,1503022,51.15,1377.14,60309
2026-01-28,1417.8,3918681,2742030,69.97,1407.41,64249
2026-01-29,1419.8,2227414,1352211,60.71,1419.29,48408
2026-01-31,1344.9,1975061,644902,32.65,1390.21,68751
2026-02-01,1403.1,2796673,1199008,42.87,1379.41,91119
2026-02-02,1530.8,11977119,5036834,42.05,1513.68,230582
2026-02-03,1567.9,6632728,3377903,50.93,1547.39,137551
2026-02-04,1570.2,3285127,1541315,46.92,1564.43,87496
2026-02-05,1550.7,4429173,3235897,73.06,1559.05,69792
2026-02-08,1561.7,1761025,810643,46.03,1564.02,54926
2026-02-09,1554.7,1643366,563797,34.31,1551.93,56747
2026-02-10,1553.4,1359416,746983,54.95,1548.61,44332
2026-02-11,1543.7,1107584,525842,47.48,1540.72,50330
2026-02-12,1519.0,1838361,1095161,59.57,1519.98,67996
2026-02-15,1540.1,1644108,781154,47.51,1524.37,64622
2026-02-16,1566.3,3168457,1792916,56.59,1563.33,68993
2026-02-17,1550.8,1326139,630747,47.56,1549.12,47674
2026-02-18,1513.3,984392,334090,33.94,1529.51,44344
2026-02-19,1511.5,1126987,555636,49.3,1515.25,32537
2026-02-22,1555.8,3113728,942407,30.27,1550.49,98084
2026-02-23,1555.4,1360612,561410,41.26,1547.84,57521
2026-02-24,1528.7,2153982,880599,40.88,1545.77,74386
2026-02-25,1550.6,1353287,510410,37.72,1542.74,69039
2026-02-26,1521.0,1596106,985231,61.73,1528.31,55578
2026-03-01,1470.3,4207514,1618771,38.47,1464.56,173392
2026-03-03,1434.4,3386838,1475861,43.58,1429.74,125131
2026-03-04,1499.3,3236481,1564735,48.35,1478.87,106475
2026-03-05,1477.5,2576061,1552516,60.27,1484.42,104279
2026-03-08,1421.3,4874245,2638552,54.13,1420.26,175170
2026-03-09,1424.1,2706284,1471544,54.38,1428.09,88266
2026-03-10,1410.8,2212011,978087,44.22,1430.35,101067
