date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,7824.5,332284,232144,69.86,7788.48,26598
2025-11-03,7810.5,384562,243299,63.27,7834.69,39970
2025-11-05,7782.0,425649,236326,55.52,7784.69,57490
2025-11-06,7642.0,486385,194149,39.92,7694.19,48343
2025-11-09,7529.5,377719,235831,62.44,7553.42,41774
2025-11-09,7474.0,92363,0,,7474.0,1
2025-11-10,7501.0,306736,159677,52.06,7483.02,44404
2025-11-11,7498.0,420561,283334,67.37,7494.19,52272
2025-11-12,7440.5,448567,302063,67.34,7464.0,42685
2025-11-13,7420.5,218565,137990,63.13,7414.89,35983
2025-11-16,7487.5,248470,147457,59.35,7478.62,26805
2025-11-17,7385.5,285148,178497,62.6,7414.7,44060
2025-11-18,7312.0,59584,0,,7312.0,1
2025-11-18,7459.0,454714,279261,61.41,7422.63,53603
2025-11-19,7423.0,228411,149556,65.48,7453.72,31786
2025-11-20,7391.0,138622,83221,60.03,7407.23,24132
2025-11-23,7354.5,751685,538595,71.65,7360.54,43132
2025-11-24,7330.5,237415,141636,59.66,7363.08,32912
2025-11-25,7393.0,272489,176364,64.72,7366.89,38893
2025-11-26,7322.5,243681,170782,70.08,7342.09,31873
2025-11-27,7335.5,299937,225856,75.3,7330.41,33391
2025-11-30,7287.5,227568,145165,63.79,7324.98,28987
2025-12-01,7242.0,329723,245799,74.55,7255.62,45357
2025-12-02,7184.0,329160,213505,64.86,7187.76,34359
2025-12-03,7201.0,306183,203146,66.35,7199.53,41785
2025-12-04,7189.5,260117,187488,72.08,7190.28,40512
2025-12-07,7096.0,287363,192403,66.95,7122.79,36059
2025-12-08,7091.0,560843,386843,68.98,7096.04,49981
2025-12-09,7018.5,266098,163207,61.33,7041.16,37240
2025-12-10,7009.5,350620,213053,60.76,7016.82,46098
2025-12-11,7101.0,306662,204916,66.82,7085.73,41569
2025-12-14,7086.5,205982,121695,59.08,7059.66,27428
2025-12-15,7051.5,385236,244007,63.34,7089.55,44017
2025-12-16,6921.5,358023,241938,67.58,6956.4,42207
2025-12-17,6918.5,384579,261268,67.94,6921.16,41733
2025-12-18,7012.5,235742,154603,65.58,6986.28,25589
2025-12-21,7054.0,358776,242898,67.7,7066.11,40839
2025-12-22,7073.5,286197,173271,60.54,7072.93,36832
2025-12-23,7172.0,351381,195872,55.74,7169.65,32827
2025-12-25,7156.0,228172,125223,54.88,7173.81,22683
2025-12-28,7084.5,234376,141210,60.25,7116.68,23836
2025-12-29,6990.0,433130,284365,65.65,6987.97,53581
2025-12-30,7042.5,226286,160928,71.12,7015.22,24925
2025-12-31,7111.5,81987,30837,37.61,7083.61,11561
2026-01-01,7129.5,353245,219243,62.07,7110.57,28652
2026-01-04,7083.0,349588,257301,73.6,7103.45,24829
2026-01-05,7348.0,581189,286466,49.29,7292.6,93182
2026-01-06,7447.5,567878,279633,49.24,7415.77,56088
2026-01-07,7364.5,778407,606562,77.92,7370.43,47069
2026-01-08,7256.5,312461,175235,56.08,7290.99,37958
2026-01-11,7268.5,333583,192859,57.81,7198.0,53540
2026-01-12,7311.5,275363,181857,66.04,7278.98,28623
2026-01-13,7272.5,383251,268309,70.01,7283.68,45750
2026-01-15,7235.5,501597,330666,65.92,7226.7,61867
2026-01-18,7133.0,364331,252793,69.39,7178.28,36184
2026-01-19,6912.5,499367,324430,64.97,6986.15,56794
2026-01-20,6826.5,620592,366682,59.09,6825.31,52954
2026-01-21,6797.0,714732,541948,75.83,6829.53,66225
2026-01-22,6803.0,458099,278047,60.7,6791.69,46639
2026-01-26,6793.5,515312,304017,59.0,6776.63,61959
2026-01-27,6877.5,399249,269999,67.63,6860.79,38184
2026-01-28,6801.0,517720,373903,72.22,6801.93,46894
2026-01-29,6960.5,489138,313783,64.15,6938.62,47802
2026-01-31,6948.0,255106,89939,35.26,6972.42,29861
2026-02-01,6933.5,343776,205264,59.71,6891.93,54067
2026-02-02,7088.5,438009,213450,48.73,7091.23,50576
2026-02-03,7116.0,216137,119492,55.29,7101.49,26595
2026-02-04,7122.0,234707,135680,57.81,7094.23,33894
2026-02-05,7152.5,668962,450343,67.32,7093.88,45470
2026-02-08,7211.0,412161,240175,58.27,7226.74,38989
2026-02-09,7219.0,277132,131546,47.47,7219.84,32539
2026-02-10,7507.0,1496488,610323,40.78,7551.59,112344
2026-02-11,7539.0,434146,207484,47.79,7508.92,48318
2026-02-12,7542.5,431623,241773,56.01,7559.93,65138
2026-02-15,7618.0,494924,337774,68.25,7576.44,44973
2026-02-16,7601.5,525344,403574,76.82,7594.9,34301
2026-02-17,7647.5,385965,278354,72.12,7641.48,26628
2026-02-18,7592.5,186713,104057,55.73,7604.81,16438
2026-02-19,7615.5,256304,179942,70.21,7602.8,30254
2026-02-22,7693.0,399710,303140,75.84,7664.88,36935
2026-02-23,7720.5,377143,249758,66.22,7703.41,51126
2026-02-24,7783.0,383833,277976,72.42,7765.84,33810
2026-02-25,7775.0,361759,264865,73.22,7769.18,25956
2026-02-26,7821.5,698131,527510,75.56,7820.26,53400
2026-03-01,7791.5,533503,347056,65.05,7754.6,50803
2026-03-03,7666.0,625428,411185,65.74,7614.78,59683
2026-03-04,7775.0,446578,259013,58.0,7722.02,48073
2026-03-05,7724.5,225749,127022,56.27,7725.77,33882
2026-03-08,7779.0,358612,189116,52.74,7688.39,44614
2026-03-09,7803.0,381453,245621,64.39,7811.08,49457
2026-03-10,7684.0,331690,197443,59.53,7709.83,50875
2026-03-11,7574.5,550020,345447,62.81,7581.88,44822
2026-03-12,7550.0,394082,245438,62.28,7556.61,46287
2026-03-15,7490.0,481339,302048,62.75,7492.66,56343
2026-03-16,7500.0,343558,207166,60.3,7514.93,44739
2026-03-17,7471.0,497712,337310,67.77,7536.4,52685
2026-03-18,7252.0,264884,109190,41.22,7317.15,33390
2026-03-19,7364.5,696455,398399,57.2,7362.32,41138
2026-03-22,7145.0,464969,287180,61.76,7136.11,56488
2026-03-23,7413.0,653790,351559,53.77,7383.91,68696
2026-03-24,7580.5,450043,276859,61.52,7559.87,50379
2026-03-26,7549.0,533512,320931,60.15,7562.63,66692
2026-03-29,7419.0,764508,234912,30.73,7417.51,46176
2026-03-31,7305.5,618068,361974,58.57,7349.11,83515
2026-04-01,7317.5,338111,180332,53.34,7268.17,43280
2026-04-05,7373.0,360086,191094,53.07,7308.59,43886
2026-04-06,7326.5,311560,162734,52.23,7312.38,56632
2026-04-07,7401.5,387242,206655,53.37,7398.76,51914
2026-04-08,7481.5,416753,234067,56.16,7471.34,34664
2026-04-09,7511.5,437163,259712,59.41,7526.78,51443
2026-04-12,7516.5,310575,173200,55.77,7505.48,46239
2026-04-14,7642.0,464570,252440,54.34,7626.52,49161
2026-04-15,7553.0,400487,234105,58.46,7574.09,48379
2026-04-16,7699.0,343875,207716,60.4,7655.82,39337
2026-04-19,7657.0,344019,186789,54.3,7659.64,41091
2026-04-20,7744.0,312758,186242,59.55,7734.55,35664
2026-04-21,7662.0,608446,366555,60.24,7713.62,51482
2026-04-22,7781.0,304110,154106,50.67,7736.57,36701
2026-04-23,7732.5,407458,236559,58.06,7752.18,50129
2026-04-26,7825.0,289661,182242,62.92,7806.28,33842
2026-04-27,7753.0,353826,214467,60.61,7768.81,48767
2026-04-28,7709.0,321242,189347,58.94,7733.4,40806
2026-04-29,7636.5,392016,258845,66.03,7620.44,47087
2026-05-03,7737.5,328426,206438,62.86,7736.82,41896
2026-05-04,7772.0,254331,171849,67.57,7734.12,41574
2026-05-05,7760.5,437084,353686,80.92,7765.12,23433
2026-05-06,7837.0,405862,268956,66.27,7811.77,32457
2026-05-07,8097.0,922866,467835,50.69,8029.79,109795
2026-05-10,8082.0,466135,247641,53.13,8092.91,63679
2026-05-11,8022.5,390002,268612,68.87,8029.9,52457
2026-05-12,8004.5,329337,182143,55.31,8039.31,39394
2026-05-13,8119.0,431011,230814,53.55,8133.23,48606
2026-05-14,8082.5,300134,192277,64.06,8088.37,29610
