date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,2512.2,425210,246399,57.95,2505.25,41586
2025-11-03,2486.7,527087,292052,55.41,2496.08,42628
2025-11-05,2602.9,4448622,1938162,43.57,2604.41,209979
2025-11-06,2613.8,791663,470942,59.49,2601.78,56147
2025-11-09,2650.4,1706880,1101517,64.53,2653.68,77760
2025-11-10,2657.2,776404,446793,57.55,2646.37,63951
2025-11-11,2769.8,2859196,964304,33.73,2741.8,137014
2025-11-12,2879.4,5933630,2148107,36.2,2871.67,219878
2025-11-13,2906.4,2494076,1614682,64.74,2898.97,125526
2025-11-16,2887.9,1230683,780201,63.4,2898.89,70388
2025-11-17,2906.0,1819066,1290246,70.93,2902.78,110891
2025-11-18,2893.7,1387906,951060,68.52,2902.7,64158
2025-11-19,2859.8,1062883,734369,69.09,2868.16,75196
2025-11-20,2876.6,857340,468744,54.67,2872.2,69368
2025-11-23,2879.2,5404326,3659318,67.71,2879.32,83082
2025-11-24,2875.8,972417,575139,59.15,2886.2,71298
2025-11-25,2874.0,570376,256351,44.94,2876.72,54610
2025-11-26,2879.1,1158685,556001,47.99,2888.8,88437
2025-11-27,2874.4,748446,472714,63.16,2874.51,49967
2025-11-30,2867.6,499153,316957,63.5,2862.12,50622
2025-12-01,2954.4,2102147,837564,39.84,2926.33,106277
2025-12-02,2953.5,1252456,616887,49.25,2947.69,76198
2025-12-03,2957.2,1466098,878624,59.93,2966.56,82703
2025-12-04,2968.5,944978,598380,63.32,2960.47,53579
2025-12-07,2928.3,983544,669883,68.11,2934.32,78611
2025-12-08,2796.0,1839391,737944,40.12,2813.86,124144
2025-12-09,2804.5,845073,472487,55.91,2806.37,61106
2025-12-10,2779.4,777422,406122,52.24,2783.16,69563
2025-12-11,2764.8,977696,594588,60.82,2768.36,67771
2025-12-14,2780.2,1029674,534050,51.87,2784.26,66894
2025-12-15,2790.9,916244,556834,60.77,2792.52,59237
2025-12-16,2785.7,636499,412670,64.83,2788.1,45705
2025-12-17,2759.7,417994,208610,49.91,2765.05,57565
2025-12-18,2799.9,3895542,3068942,78.78,2797.35,88858
2025-12-21,2807.6,463953,222709,48.0,2804.16,41440
2025-12-22,2807.8,431068,228545,53.02,2802.62,40104
2025-12-23,2785.5,512144,210321,41.07,2800.01,31706
2025-12-25,2746.5,532078,304681,57.26,2756.66,40175
2025-12-28,2775.4,815529,327963,40.21,2763.82,40786
2025-12-29,2758.3,4833527,3737173,77.32,2765.35,124946
2025-12-30,2769.5,1274705,868489,68.13,2776.72,66442
2025-12-31,2752.0,327945,180477,55.03,2766.47,24149
2026-01-01,2772.6,508884,242199,47.59,2773.17,34439
2026-01-04,2815.6,866733,418182,48.25,2812.38,51756
2026-01-05,2845.8,875891,517976,59.14,2837.59,59674
2026-01-06,2809.4,636748,353355,55.49,2822.62,50131
2026-01-07,2786.5,620031,333377,53.77,2782.6,55375
2026-01-08,2825.5,1657381,868646,52.41,2829.32,80763
2026-01-11,2896.4,1743901,966348,55.41,2863.76,79358
2026-01-12,2886.3,1051986,581090,55.24,2886.35,62575
2026-01-13,2813.9,958254,480876,50.18,2830.57,77292
2026-01-15,2756.9,1143463,690509,60.39,2791.78,64490
2026-01-18,2754.0,1342048,924935,68.92,2769.14,69012
2026-01-19,2675.6,911151,468391,51.41,2706.23,68578
2026-01-20,2661.1,914318,539706,59.03,2665.8,71529
2026-01-21,2703.8,1290346,725572,56.23,2703.64,68789
2026-01-22,2703.7,1786635,878401,49.17,2743.23,94155
2026-01-26,2622.8,3818761,1339700,35.08,2627.64,175338
2026-01-27,2511.8,3430002,1301706,37.95,2493.59,154933
2026-01-28,2416.0,3488159,2258518,64.75,2431.87,160628
2026-01-29,2428.3,2048843,951601,46.45,2427.03,83085
2026-01-31,2357.0,801746,231517,28.88,2385.03,66173
2026-02-01,2402.0,1183482,533223,45.06,2403.28,126959
2026-02-02,2426.0,2233860,1274701,57.06,2427.85,99727
2026-02-03,2452.7,970973,660974,68.07,2448.56,75111
2026-02-04,2432.1,1047405,711760,67.95,2426.75,70946
2026-02-05,2401.1,1043982,703782,67.41,2400.75,74053
2026-02-08,2417.4,669839,408210,60.94,2412.27,66718
2026-02-09,2393.6,1513620,1008195,66.61,2394.89,68991
2026-02-10,2392.5,3177710,2421161,76.19,2385.85,82578
2026-02-11,2410.5,607767,330215,54.33,2400.9,48028
2026-02-12,2366.4,675635,404485,59.87,2380.5,54629
2026-02-15,2397.2,683108,394731,57.78,2387.81,47055
2026-02-16,2437.4,1004356,472557,47.05,2435.81,74355
2026-02-17,2432.1,551809,395145,71.61,2430.48,57487
2026-02-18,2400.8,971600,629417,64.78,2404.58,74269
2026-02-19,2428.1,790329,432096,54.67,2421.15,37377
2026-02-22,2429.7,634365,404209,63.72,2431.42,55479
2026-02-23,2413.1,499660,249624,49.96,2416.0,46809
2026-02-24,2416.4,526764,323917,61.49,2414.51,45274
2026-02-25,2394.9,588742,305928,51.96,2394.64,57917
2026-02-26,2376.2,2531619,1908320,75.38,2376.39,74115
2026-03-01,2307.1,2528308,1421641,56.23,2307.99,138273
2026-03-03,2285.2,1610358,872231,54.16,2263.98,125784
2026-03-04,2287.8,925040,487330,52.68,2272.72,79565
2026-03-05,2279.5,979742,514905,52.56,2286.88,66828
2026-03-08,2220.8,2198153,1089035,49.54,2190.84,119346
2026-03-09,2280.4,1192174,540968,45.38,2270.06,66092
2026-03-10,2232.0,687786,351825,51.15,2260.69,62520
2026-03-11,2221.2,1384055,633683,45.78,2225.28,96995
2026-03-12,2196.8,949233,640475,67.47,2201.9,87307
2026-03-15,2217.7,1111587,661656,59.52,2206.49,97423
2026-03-16,2238.2,875461,429886,49.1,2236.47,73022
2026-03-17,2262.1,844912,461000,54.56,2250.29,71339
2026-03-18,2186.0,889334,470501,52.9,2196.51,76804
2026-03-19,2195.4,875920,549243,62.7,2201.87,63193
2026-03-22,2121.3,978398,498876,50.99,2138.3,84243
2026-03-23,2217.3,1561016,698956,44.78,2196.94,120036
2026-03-24,2270.2,1270855,703263,55.34,2264.27,130505
2026-03-26,2207.4,1089010,665624,61.12,2225.52,69114
2026-03-29,2165.2,1513565,682899,45.12,2170.89,89204
2026-03-31,2225.8,1209900,622759,51.47,2223.69,75400
2026-04-01,2169.0,1854061,1081936,58.35,2162.87,136719
2026-04-05,2184.3,2048228,1297200,63.33,2173.75,92826
2026-04-06,2186.2,1793007,1136336,63.38,2180.48,99667
2026-04-07,2282.4,2914767,1620146,55.58,2278.7,138739
2026-04-08,2269.6,1980060,1361625,68.77,2271.32,120865
2026-04-09,2360.7,3018178,1429892,47.38,2352.32,182655
2026-04-12,2352.4,1734562,652188,37.6,2331.49,110738
2026-04-14,2423.1,1182431,604578,51.13,2414.03,104794
2026-04-15,2440.3,1496210,907223,60.63,2434.82,125188
2026-04-16,2464.0,1286575,711791,55.32,2464.88,104371
2026-04-19,2516.8,1203157,661126,54.95,2503.64,62476
2026-04-20,2543.6,1681872,667497,39.69,2552.32,76458
2026-04-21,2562.9,1126584,499589,44.35,2554.29,59583
2026-04-22,2521.4,1378614,788664,57.21,2527.15,59855
2026-04-23,2485.1,436871,198959,45.54,2492.84,47372
2026-04-26,2485.2,452134,193946,42.9,2494.75,50545
2026-04-27,2462.6,556571,215096,38.65,2476.32,56752
2026-04-28,2447.3,603585,275460,45.64,2455.41,66322
2026-04-29,2444.5,823684,276469,33.56,2426.45,56753
2026-05-03,2448.1,581159,262986,45.25,2471.81,75287
2026-05-04,2430.0,327682,100003,30.52,2430.45,42428
2026-05-05,2519.0,1395987,739342,52.96,2497.06,87394
2026-05-06,2530.6,1053513,452584,42.96,2530.96,73147
2026-05-07,2599.9,2327900,1245711,53.51,2587.57,122821
2026-05-10,2566.1,1271257,643779,50.64,2580.82,73675
2026-05-11,2505.5,628802,317842,50.55,2517.05,71887
2026-05-12,2617.6,3515018,1532526,43.6,2612.46,189152
2026-05-13,2622.2,1040916,472874,45.43,2631.8,85789
2026-05-14,2605.6,796240,418877,52.61,2611.89,61996
