date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1233.7,6118907,4211055,68.82,1233.13,136339
2025-11-03,1226.6,3299345,1885153,57.14,1227.19,114294
2025-11-05,1228.5,3733721,2466135,66.05,1230.7,107587
2025-11-06,1222.8,3461466,2458890,71.04,1224.41,115566
2025-11-09,1217.0,4140568,2971778,71.77,1222.84,124190
2025-11-10,1222.5,5615453,3763155,67.01,1219.39,126602
2025-11-11,1221.6,6782513,5235281,77.19,1225.22,138864
2025-11-12,1225.2,3345231,2076362,62.07,1226.17,132547
2025-11-12,1221.6,91177,0,,1221.6,1
2025-11-13,1241.6,5197740,3538813,68.08,1238.53,147652
2025-11-16,1249.6,4088026,2482103,60.72,1252.58,90343
2025-11-17,1265.4,10175969,6855922,67.37,1262.86,138951
2025-11-18,1270.4,4101288,2871330,70.01,1267.1,94665
2025-11-19,1285.2,4617594,2509437,54.35,1281.17,118655
2025-11-20,1275.8,6363593,4904717,77.07,1279.13,134058
2025-11-23,1269.0,10491953,8084698,77.06,1275.95,148851
2025-11-24,1266.3,5290156,3275572,61.92,1269.95,140937
2025-11-25,1290.2,4842021,3286086,67.87,1287.7,137016
2025-11-26,1287.3,5924706,3569242,60.24,1290.15,142271
2025-11-27,1279.7,3093636,1571976,50.81,1279.7,104579
2025-11-30,1275.7,4098016,2151300,52.5,1276.22,113989
2025-12-01,1258.0,8115347,5654384,69.68,1263.45,134040
2025-12-02,1270.7,3582794,2383391,66.52,1265.66,104155
2025-12-03,1280.0,3216108,2043075,63.53,1277.9,103670
2025-12-04,1282.5,2728214,1438838,52.74,1278.21,80089
2025-12-07,1273.8,2969478,1798426,60.56,1272.95,121284
2025-12-08,1275.9,4239279,2368039,55.86,1274.64,118960
2025-12-09,1278.6,2928746,1879815,64.18,1276.96,133619
2025-12-10,1272.7,2017404,1103736,54.71,1275.96,64494
2025-12-11,1286.1,2281078,1347002,59.05,1286.76,95446
2025-12-14,1284.8,1634472,1002638,61.34,1284.84,78913
2025-12-15,1219.6,11542048,6670738,57.8,1232.56,218357
2025-12-16,1224.7,5147181,3049345,59.24,1229.12,179418
2025-12-17,1229.8,3441592,1936290,56.26,1231.41,128388
2025-12-18,1230.6,5055047,3843736,76.04,1232.8,106415
2025-12-21,1233.2,2405809,1619764,67.33,1230.92,71020
2025-12-22,1225.0,2920318,1692727,57.96,1228.0,77066
2025-12-23,1226.3,3155506,2043462,64.76,1229.1,91089
2025-12-25,1228.2,1665983,1121439,67.31,1225.69,84034
2025-12-28,1232.0,2209655,1221273,55.27,1226.46,68185
2025-12-29,1246.0,5673233,3702754,65.27,1244.64,134766
2025-12-30,1269.4,3711090,2461126,66.32,1265.01,96887
2025-12-31,1274.4,2022412,1121487,55.45,1273.36,78736
2026-01-01,1266.9,5860547,4315363,73.63,1271.65,211555
2026-01-04,1285.8,6177100,4685944,75.86,1284.83,162722
2026-01-05,1293.8,6751769,3746640,55.49,1294.36,199232
2026-01-06,1295.5,5440002,4021581,73.93,1290.48,136276
2026-01-07,1286.8,3949654,2425645,61.41,1290.68,152491
2026-01-08,1272.0,5531427,4395938,79.47,1275.12,79116
2026-01-11,1274.2,6489750,4677428,72.07,1270.89,125188
2026-01-12,1262.0,5163166,3292037,63.76,1265.13,113890
2026-01-13,1298.8,7776704,4758456,61.19,1289.79,126758
2026-01-15,1294.2,5175495,3557573,68.74,1294.62,165814
2026-01-18,1307.5,8833223,6092561,68.97,1307.01,356409
2026-01-19,1293.5,6268527,4117696,65.69,1301.09,267768
2026-01-20,1284.9,3854702,2236813,58.03,1283.59,124341
2026-01-21,1294.8,5949677,4184705,70.33,1290.97,130682
2026-01-22,1258.0,8885549,6404847,72.08,1270.18,200524
2026-01-26,1315.8,22715357,10037336,44.19,1313.95,580894
2026-01-27,1319.8,15426403,9495130,61.55,1340.5,241075
2026-01-28,1363.7,16107684,11923800,74.03,1346.98,294002
2026-01-29,1370.4,14758482,10784034,73.07,1370.67,357184
2026-01-31,1340.4,3021528,1396755,46.23,1355.42,89560
2026-02-01,1311.5,8647298,5504917,63.66,1317.17,204092
2026-02-02,1356.2,10384723,6075164,58.5,1358.51,211035
2026-02-03,1338.7,6672251,4337855,65.01,1346.62,177322
2026-02-04,1330.6,3766488,2420636,64.27,1326.43,177226
2026-02-05,1341.6,5876574,3985127,67.81,1337.65,140424
2026-02-08,1341.4,4077536,2879691,70.62,1340.56,109591
2026-02-09,1356.7,5478998,3567938,65.12,1354.94,138393
2026-02-10,1347.3,3866272,2531937,65.49,1350.34,137434
2026-02-11,1340.0,4152620,2590275,62.38,1342.61,136392
2026-02-12,1332.3,4624549,2935990,63.49,1331.02,147437
2026-02-15,1358.3,5082167,3606602,70.97,1352.09,129835
2026-02-16,1357.2,4513065,3157080,69.95,1355.82,96196
2026-02-17,1377.0,5556076,4213522,75.84,1369.04,126751
2026-02-18,1356.6,2744704,1493150,54.4,1364.19,88343
2026-02-19,1368.3,3791536,2426640,64.0,1368.8,128928
2026-02-22,1386.7,6160153,3404899,55.27,1390.39,152503
2026-02-23,1387.6,7888492,5148642,65.27,1389.34,190198
2026-02-24,1403.0,4379373,3315083,75.7,1397.17,123830
2026-02-25,1395.5,8979547,5952513,66.29,1395.37,174018
2026-02-26,1383.9,5840317,4131664,70.74,1386.31,127669
2026-03-01,1372.3,5132511,2236138,43.57,1369.22,142220
2026-03-03,1351.3,5832353,4019962,68.93,1342.07,180298
2026-03-04,1349.1,6057499,3791757,62.6,1346.35,129071
2026-03-05,1315.8,11629935,9172821,78.87,1324.83,189348
2026-03-08,1288.3,7926265,4915667,62.02,1276.52,200437
2026-03-09,1314.7,6289277,3229763,51.35,1308.16,128073
2026-03-10,1255.8,6859908,4119923,60.06,1273.87,255758
2026-03-11,1234.5,9663320,6173740,63.89,1239.96,289245
2026-03-12,1197.3,9098187,6351684,69.81,1206.53,282513
2026-03-15,1214.7,8743794,5451726,62.35,1203.58,229185
2026-03-16,1228.1,5707317,3480821,60.99,1224.37,201657
2026-03-17,1253.2,6018952,4060265,67.46,1249.33,194464
2026-03-18,1207.0,8264698,4141013,50.1,1215.73,166109
2026-03-19,1203.9,7518686,4802307,63.87,1211.09,176600
2026-03-22,1170.6,6697446,4247528,63.42,1176.51,225496
2026-03-23,1192.7,8274701,4780574,57.77,1187.47,280052
2026-03-24,1222.1,9645791,6137324,63.63,1225.39,464232
2026-03-26,1205.2,9479301,6207557,65.49,1207.74,216807
2026-03-29,1161.3,18534887,8863323,47.82,1163.71,332645
2026-03-31,1193.1,6595695,3548900,53.81,1194.12,214852
2026-04-01,1197.9,9501543,4495890,47.32,1174.98,206136
2026-04-05,1245.3,7847086,3802289,48.45,1223.83,168625
2026-04-06,1250.1,9248545,5372508,58.09,1240.81,131574
2026-04-07,1333.0,13519723,8933426,66.08,1320.07,298113
2026-04-08,1318.5,6542529,2670006,40.81,1322.72,165716
2026-04-09,1350.8,6755589,4050573,59.96,1349.85,119833
2026-04-12,1353.6,8974851,5033668,56.09,1346.17,153889
2026-04-14,1355.5,6789879,4342787,63.96,1359.66,193748
2026-04-15,1349.6,5232398,1978188,37.81,1351.65,171139
2026-04-16,1359.1,4062181,2435836,59.96,1353.19,91424
2026-04-19,1354.7,4878641,2704282,55.43,1359.32,182299
2026-04-20,1377.7,5145338,2701266,52.5,1373.66,125134
2026-04-21,1379.6,3997911,2319485,58.02,1382.21,103945
2026-04-22,1369.6,5671255,3229817,56.95,1373.93,171053
2026-04-23,1365.9,3648313,2188385,59.98,1361.81,173822
2026-04-26,1324.2,10768267,6182792,57.42,1316.09,368110
2026-04-27,1289.0,9939787,6051470,60.88,1297.09,216728
2026-04-28,1296.4,6228275,3665015,58.84,1293.7,135909
