date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,8922.5,206987,100834,48.72,8895.52,25693
2025-11-03,8751.0,517334,312299,60.37,8764.97,57778
2025-11-05,8720.5,326774,214963,65.78,8756.99,29306
2025-11-06,8721.5,290120,132534,45.68,8665.04,33020
2025-11-09,8772.0,992874,548730,55.27,8756.83,76738
2025-11-10,8895.0,380748,181210,47.59,8858.43,43702
2025-11-11,8868.0,439922,294042,66.84,8856.24,56234
2025-11-12,8867.5,276001,189243,68.57,8869.29,36267
2025-11-13,8843.0,550371,398440,72.39,8809.99,36677
2025-11-16,8945.5,457995,212353,46.37,8973.04,42009
2025-11-17,8921.0,276172,145766,52.78,8957.67,31372
2025-11-18,8884.5,326292,227800,69.81,8920.42,37851
2025-11-19,8979.5,189991,93660,49.3,8968.08,30674
2025-11-20,8892.0,320271,213960,66.81,8904.82,29418
2025-11-23,9007.5,466198,302443,64.87,9005.05,38641
2025-11-24,9048.0,482151,260086,53.94,9079.93,46940
2025-11-25,9164.0,354143,201606,56.93,9129.32,34541
2025-11-26,9022.5,602295,340244,56.49,9094.24,63377
2025-11-27,9073.5,432445,224492,51.91,9011.49,40693
2025-11-30,9096.0,449503,234229,52.11,9115.75,42829
2025-12-01,9085.5,319833,196885,61.56,9057.95,39477
2025-12-02,9000.5,412081,280104,67.97,9006.41,38248
2025-12-03,9085.0,275604,157152,57.02,9045.15,27382
2025-12-04,9109.0,279893,182105,65.06,9095.83,29831
2025-12-07,9026.0,299426,177717,59.35,9013.01,40369
2025-12-08,8961.0,373015,244725,65.61,8968.9,39672
2025-12-09,8991.0,307300,197509,64.27,8957.93,31502
2025-12-10,9053.5,136142,61266,45.0,9040.99,20283
2025-12-11,9015.0,356060,248146,69.69,9024.35,28788
2025-12-14,8940.0,507849,311894,61.41,8923.42,45688
2025-12-15,9008.0,278902,148770,53.34,8977.63,39633
2025-12-16,8895.0,256364,165386,64.51,8929.76,37045
2025-12-17,8831.0,338487,177940,52.57,8798.52,37929
2025-12-18,9002.0,215196,127336,59.17,8962.46,21320
2025-12-21,9164.0,377385,198922,52.71,9142.16,31074
2025-12-22,9099.0,215559,130094,60.35,9120.74,23085
2025-12-23,9170.0,167717,80566,48.04,9155.31,18614
