date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,2074.0,2979629,1707098,57.29,2063.74,137662
2025-11-03,2113.3,12263078,7568409,61.72,2118.36,316732
2025-11-05,2094.9,9546299,6456053,67.63,2103.02,327497
2025-11-06,2001.2,70392750,57886728,82.23,2025.7,260133
2025-11-09,2019.8,7457061,5484860,73.55,2017.05,158704
2025-11-10,2042.3,14825625,11426289,77.07,2043.06,314436
2025-11-11,2073.8,8210277,6173257,75.19,2070.4,196315
2025-11-12,2091.8,5958875,3831879,64.31,2093.54,167057
2025-11-13,2100.7,6312655,5068585,80.29,2090.07,209996
2025-11-16,2112.2,5998770,3998847,66.66,2113.15,138351
2025-11-17,2112.2,6806821,0,,2112.2,1
2025-11-17,2149.2,10972556,6330430,57.69,2144.35,213187
2025-11-18,2159.8,7419461,5651009,76.16,2152.67,151296
2025-11-19,2158.3,7452899,4520206,60.65,2158.31,151163
2025-11-20,2162.7,6720938,4777465,71.08,2162.63,141397
2025-11-23,2152.1,9686848,6920655,71.44,2154.46,140722
2025-11-24,2161.6,7102592,3972745,55.93,2159.81,172471
2025-11-25,2126.8,43174047,36720213,85.05,2102.43,217044
2025-11-26,2115.6,4444877,2533106,56.99,2116.63,154239
2025-11-27,2101.6,6263457,4547918,72.61,2105.61,150812
2025-11-30,2089.7,5058900,3212482,63.5,2095.86,232889
2025-12-01,2104.0,6591396,4435427,67.29,2102.82,266344
2025-12-02,2086.0,4357641,3311787,76.0,2088.46,206107
2025-12-03,2103.8,4611819,2910133,63.1,2090.47,168962
2025-12-04,2108.8,2938290,1819746,61.93,2101.34,109731
2025-12-07,2086.2,4327091,3117230,72.04,2090.51,172189
2025-12-08,2089.7,5139229,3480789,67.73,2088.41,160953
2025-12-09,2067.0,3987451,2801081,70.25,2076.41,123385
2025-12-10,2053.2,3254850,2068938,63.56,2051.1,127700
2025-12-11,2083.4,2706420,2041207,75.42,2074.23,100209
2025-12-14,2069.7,3233614,2284518,70.65,2071.22,176973
2025-12-15,2102.0,5756692,3096635,53.79,2097.67,214465
2025-12-16,2108.0,6412516,4261415,66.45,2106.48,176177
2025-12-17,2092.0,3760341,2180104,57.98,2100.49,177440
2025-12-18,2097.7,10127415,6846524,67.6,2095.28,644521
2025-12-21,2147.6,7670853,5374160,70.06,2137.59,236708
2025-12-22,2122.9,4110853,1484781,36.12,2128.23,154127
2025-12-23,2123.7,3145464,1522663,48.41,2127.5,98425
2025-12-25,2105.4,1297870,768172,59.19,2108.17,82211
2025-12-28,2081.6,2371034,1456906,61.45,2089.02,129894
