date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,367.3,20107281,7253119,36.07,363.33,137606
2025-11-03,372.95,12649509,6584134,52.05,371.69,165873
2025-11-05,367.95,11803637,7218769,61.16,371.38,140792
2025-11-06,367.15,11711108,7142192,60.99,364.59,126650
2025-11-09,365.15,6934285,4158817,59.97,366.36,69034
2025-11-10,374.15,10689646,6210421,58.1,369.76,95827
2025-11-11,375.45,9316462,5988929,64.28,375.99,89349
2025-11-12,374.95,9719258,5970471,61.43,374.73,59007
2025-11-13,371.15,6848609,4200539,61.33,372.72,88345
2025-11-16,374.25,9063998,4695195,51.8,376.96,80628
2025-11-17,371.85,7729409,5164972,66.82,372.76,59373
2025-11-18,365.65,7056032,4798302,68.0,368.12,88688
2025-11-19,365.05,9025414,6465261,71.63,366.17,102521
2025-11-20,364.55,7177944,4521843,63.0,365.22,89430
2025-11-23,359.65,13807356,9513279,68.9,360.74,65465
2025-11-24,355.85,4113590,2196049,53.39,355.43,65601
2025-11-25,367.65,7651793,4406162,57.58,365.23,98963
2025-11-26,364.7,5180488,3240850,62.56,364.11,81024
2025-11-27,359.1,3459790,2069215,59.81,360.33,51534
2025-11-30,354.0,4470807,2635096,58.94,355.55,72368
2025-12-01,358.75,9468149,6132091,64.77,358.04,100699
2025-12-02,358.4,6169622,3914490,63.45,357.8,52252
2025-12-03,356.0,5798181,3610504,62.27,355.95,67920
2025-12-04,360.3,3479044,1883005,54.12,358.71,54260
2025-12-07,357.55,6762135,4274341,63.21,359.09,59367
2025-12-08,355.05,5612269,3066322,54.64,355.63,54918
2025-12-09,355.15,8521964,5306760,62.27,355.91,67183
2025-12-10,351.3,4491115,2656968,59.16,351.95,52574
2025-12-11,365.05,6101145,2577684,42.25,360.46,54030
2025-12-14,367.0,6128925,2908985,47.46,366.28,131231
2025-12-15,368.15,4332510,2250874,51.95,365.79,64436
2025-12-16,368.35,6872112,3618315,52.65,368.85,98045
2025-12-17,363.35,3880069,1965891,50.67,363.57,62601
2025-12-18,365.95,6515994,3914695,60.08,364.99,111815
2025-12-21,369.9,3949754,2104561,53.28,368.78,49714
2025-12-22,370.0,3379297,1421459,42.06,371.27,42973
2025-12-23,365.9,2339154,1150943,49.2,367.28,37935
2025-12-25,366.0,2997958,1452779,48.46,364.74,38501
2025-12-28,371.6,4666863,2519054,53.98,369.74,69422
2025-12-29,369.5,8567519,5145622,60.06,371.61,102267
2025-12-30,384.0,12051156,6564205,54.47,380.75,158154
2025-12-31,381.5,6554899,2575091,39.28,382.75,83594
2026-01-01,381.45,3614573,1574474,43.56,381.34,51474
2026-01-04,377.9,5243413,2545519,48.55,380.12,81547
2026-01-05,370.8,6881934,2628130,38.19,369.37,70738
2026-01-06,368.2,6613161,4127604,62.41,369.05,83810
2026-01-07,354.55,7714421,4011303,52.0,356.16,113120
2026-01-08,354.15,5252007,2854863,54.36,355.34,67145
2026-01-11,358.75,4474234,2058697,46.01,354.63,56811
2026-01-12,355.1,3681627,1797513,48.82,355.31,48406
2026-01-13,356.9,7777436,4457361,57.31,355.76,94999
2026-01-15,363.2,6243090,3427407,54.9,363.78,129196
2026-01-18,361.25,4545354,2111430,46.45,362.39,41359
2026-01-19,355.2,6408732,3570242,55.71,355.75,71875
2026-01-20,351.95,6076732,2734020,44.99,351.67,87073
2026-01-21,354.15,4615713,2663757,57.71,355.79,61375
2026-01-22,349.15,5338663,2986389,55.94,354.86,76402
2026-01-26,357.4,11887552,6284541,52.87,355.04,113319
2026-01-27,362.35,12428097,7186850,57.83,362.31,83962
2026-01-28,366.95,14186586,7828010,55.18,364.56,196726
2026-01-29,364.5,12639803,7786728,61.6,364.17,137523
2026-01-31,359.45,7229752,3158790,43.69,359.94,62780
2026-02-01,366.7,12038292,5529728,45.93,361.7,143429
2026-02-02,373.45,12411365,6283997,50.63,367.8,170018
2026-02-03,382.45,8138573,4295128,52.77,380.64,96178
2026-02-04,382.05,8446290,4174252,49.42,383.51,117196
2026-02-05,386.35,7988984,5143042,64.38,384.73,164932
2026-02-08,388.3,5171617,3367915,65.12,387.38,62107
2026-02-09,386.35,3114005,1411544,45.33,384.76,51357
2026-02-10,387.6,5156493,2831114,54.9,387.76,70500
2026-02-11,377.7,6352805,3698858,58.22,379.32,94295
2026-02-12,374.1,2696607,1370053,50.81,375.06,44143
2026-02-15,374.35,1709180,690603,40.41,371.83,31294
2026-02-16,374.95,2646518,1122240,42.4,371.53,40326
2026-02-17,380.9,2527223,1342610,53.13,379.0,40141
2026-02-18,367.65,5506935,2661058,48.32,371.36,81706
2026-02-19,366.3,6928709,4076224,58.83,365.2,118473
2026-02-22,372.1,7760029,4121559,53.11,372.22,65917
2026-02-23,374.45,7718539,4466427,57.87,373.17,84588
2026-02-24,381.05,7003584,3648162,52.09,378.6,86088
2026-02-25,386.0,4800186,2585862,53.87,382.86,64938
2026-02-26,385.4,9020770,5420311,60.09,386.3,94124
2026-03-01,374.8,14939455,7321656,49.01,373.34,189231
2026-03-03,356.4,13534628,7650695,56.53,359.71,185281
2026-03-04,360.35,12170764,6219157,51.1,357.58,126657
2026-03-05,352.75,10536915,5166461,49.03,354.74,96921
2026-03-08,331.15,34756111,19299354,55.53,331.31,338634
2026-03-09,325.9,15916729,8570291,53.84,327.7,196015
2026-03-10,325.05,13909498,7760141,55.79,325.86,178039
2026-03-11,326.35,11176171,5268626,47.14,324.74,105080
2026-03-12,319.3,7556076,3554404,47.04,320.77,85268
2026-03-15,304.95,18589204,10165497,54.68,306.81,192204
2026-03-16,300.05,16467622,9600427,58.3,300.84,140503
2026-03-17,303.7,9223774,4981961,54.01,303.38,85570
2026-03-18,286.0,15494502,7404620,47.79,289.78,174409
2026-03-19,287.8,16601274,9242190,55.67,290.11,116428
2026-03-22,271.3,14357554,7350601,51.2,273.09,133171
2026-03-23,282.25,19542984,9249441,47.33,276.99,119040
2026-03-24,284.55,18451485,10461070,56.7,284.89,142574
2026-03-26,282.7,29524543,13479640,45.66,285.26,269107
2026-03-29,281.0,14757987,6917344,46.87,281.39,149056
2026-03-31,281.25,16919233,8849041,52.3,284.03,140806
2026-04-01,278.15,13404373,6576845,49.06,272.77,123656
