date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,5820.5,279737,180702,64.6,5823.52,25603
2025-11-03,5892.5,363441,217290,59.79,5873.93,29454
2025-11-05,6013.5,1038063,482777,46.51,6066.91,87601
2025-11-06,6157.5,715809,398280,55.64,6100.9,62317
2025-11-09,6133.5,395489,220086,55.65,6182.62,50146
2025-11-10,5950.5,2154927,1179828,54.75,5845.99,152836
2025-11-11,5880.0,609987,381665,62.57,5898.46,57672
2025-11-12,5851.5,361321,217671,60.24,5863.97,46069
2025-11-13,5803.5,415356,255984,61.63,5799.59,37909
2025-11-16,5830.5,332821,229484,68.95,5823.89,36482
2025-11-17,5840.0,262201,145765,55.59,5833.27,27546
2025-11-18,5874.5,280409,198093,70.64,5856.18,38878
2025-11-19,5819.0,641980,493251,76.83,5841.1,40872
2025-11-20,5813.0,320317,204051,63.7,5810.69,28547
2025-11-23,5815.5,696665,523052,75.08,5811.09,43988
2025-11-24,5867.0,309271,231497,74.85,5831.35,28899
2025-11-25,5880.5,157291,85483,54.35,5881.06,22596
2025-11-26,5826.5,156675,106832,68.19,5847.28,29740
2025-11-27,5846.0,220417,167782,76.12,5827.82,27571
2025-11-30,5813.5,199275,139066,69.79,5832.68,34303
2025-12-01,5875.5,290994,197247,67.78,5839.08,28312
2025-12-02,5824.5,308053,218338,70.88,5849.34,26843
2025-12-03,5876.5,239085,174577,73.02,5862.77,24091
2025-12-04,5961.0,244408,159437,65.23,5915.52,34115
2025-12-07,5847.5,185407,118232,63.77,5878.63,38770
2025-12-08,5884.0,174714,106039,60.69,5854.32,26681
2025-12-09,5828.5,329466,217181,65.92,5877.85,32819
2025-12-10,5847.0,115481,71474,61.89,5849.18,25214
2025-12-11,5915.5,202721,127221,62.76,5883.47,27310
2025-12-14,6038.0,244119,81666,33.45,6012.31,29500
2025-12-15,6066.0,284337,104373,36.71,6096.56,35420
2025-12-16,6096.0,298257,209933,70.39,6096.33,40409
2025-12-17,6040.5,199067,89210,44.81,6053.36,32793
2025-12-18,6103.0,179450,110152,61.38,6085.27,28796
2025-12-21,6083.0,206588,156165,75.59,6085.9,22196
2025-12-22,6061.0,216840,124476,57.4,6068.8,33464
2025-12-23,6030.0,97580,50291,51.54,6032.72,16619
2025-12-25,6032.5,65992,32807,49.71,6040.69,11099
2025-12-28,6041.5,103209,52284,50.66,6036.27,17260
2025-12-29,6013.0,205456,118612,57.73,6012.27,34919
2025-12-30,6031.0,179577,120872,67.31,6039.0,29154
2025-12-31,6009.5,138484,77914,56.26,6021.09,21012
2026-01-01,5984.5,265702,166899,62.81,5990.13,23706
2026-01-04,6026.5,468880,325673,69.46,6019.25,35054
2026-01-05,6129.5,300112,155747,51.9,6046.8,37119
2026-01-06,6185.0,437361,217788,49.8,6214.07,59032
2026-01-07,6033.5,641813,387478,60.37,6026.02,58560
2026-01-08,5977.5,139764,67246,48.11,5998.19,18175
2026-01-11,5943.5,228799,131941,57.67,5933.17,27906
2026-01-12,5918.0,327794,205007,62.54,5919.86,30893
2026-01-13,5906.5,307200,197048,64.14,5909.64,31963
2026-01-15,5898.5,453904,337728,74.41,5904.82,41469
2026-01-18,5943.5,145915,75334,51.63,5926.88,22317
2026-01-19,5884.0,350070,198984,56.84,5912.8,39363
2026-01-20,5802.5,662863,457802,69.06,5828.04,36927
2026-01-21,5932.0,435081,258008,59.3,5927.69,40904
2026-01-22,5835.0,142248,71065,49.96,5876.98,18969
2026-01-26,5886.0,1044402,712117,68.18,5868.77,54424
2026-01-27,5748.5,442618,259710,58.68,5755.01,55143
2026-01-28,5723.0,343244,228026,66.43,5719.84,33906
2026-01-29,5860.5,806045,519831,64.49,5841.27,73906
2026-01-31,5757.5,131755,61422,46.62,5816.89,16148
2026-02-01,5888.5,279213,179833,64.41,5799.49,30980
2026-02-02,5882.0,349825,184250,52.67,5865.65,34080
2026-02-03,5879.0,160343,87347,54.48,5899.09,21761
2026-02-04,5870.5,275290,180256,65.48,5882.47,26819
2026-02-05,5911.0,186858,82425,44.11,5871.85,27119
2026-02-08,5843.0,331118,158316,47.81,5835.32,37526
2026-02-09,5873.5,276901,161942,58.48,5870.25,27207
2026-02-10,6019.0,771051,365292,47.38,6071.73,71748
2026-02-11,6102.0,455997,294024,64.48,6088.92,27822
2026-02-12,5980.5,159821,81337,50.89,6009.49,26653
2026-02-15,6106.0,255274,135770,53.19,6076.97,22224
2026-02-16,6145.5,164220,96185,58.57,6119.62,27446
2026-02-17,6176.0,193569,113641,58.71,6163.48,22496
2026-02-18,6108.5,127940,71314,55.74,6127.39,20646
2026-02-19,6098.5,388361,288403,74.26,6099.03,53851
2026-02-22,6122.5,225252,130565,57.96,6093.61,36646
2026-02-23,6162.5,193510,122326,63.21,6141.01,26761
2026-02-24,6158.0,253773,166613,65.65,6172.24,28235
2026-02-25,6137.0,245317,150322,61.28,6118.28,36165
2026-02-26,6002.5,350612,245904,70.14,6025.47,37726
2026-03-01,5959.0,185417,102270,55.16,5963.66,26978
2026-03-03,5889.5,293377,192818,65.72,5892.06,31474
2026-03-04,5963.0,211179,119451,56.56,5923.17,28780
2026-03-05,5983.0,348722,243933,69.95,5983.93,43627
2026-03-08,5890.0,245594,141677,57.69,5878.4,34962
2026-03-09,5968.0,283327,171812,60.64,5968.21,35315
2026-03-10,5921.5,298621,194685,65.19,5930.08,27319
2026-03-11,5787.0,996754,657435,65.96,5774.1,55769
2026-03-12,5808.5,738522,430520,58.29,5819.74,54924
2026-03-15,5842.0,350827,210847,60.1,5808.57,28832
2026-03-16,5857.5,260165,159131,61.17,5838.71,35278
2026-03-17,5885.0,301564,213117,70.67,5890.69,30309
2026-03-18,5673.5,234382,122035,52.07,5697.2,32834
2026-03-19,5618.5,462806,307813,66.51,5667.1,45898
2026-03-22,5490.0,316325,186124,58.84,5521.55,38282
2026-03-23,5513.5,542905,314725,57.97,5487.37,44637
2026-03-24,5647.0,342559,188785,55.11,5674.58,44631
2026-03-26,5500.0,378825,258090,68.13,5527.53,47458
2026-03-29,5423.0,783793,366736,46.79,5437.31,51437
2026-03-31,5474.0,252740,145054,57.39,5477.86,29606
2026-04-01,5442.0,444248,271013,61.0,5409.1,54662
2026-04-05,5535.0,228390,133854,58.61,5487.33,30956
2026-04-06,5542.0,204113,103760,50.83,5499.48,34376
2026-04-07,5594.5,482250,270262,56.04,5614.97,49614
2026-04-08,5475.0,624921,323582,51.78,5513.0,45854
2026-04-09,5557.5,339513,185136,54.53,5512.33,30892
2026-04-12,5589.0,350782,178156,50.79,5564.27,34935
2026-04-14,5654.5,542939,261407,48.15,5649.96,40171
2026-04-15,5586.0,455115,281079,61.76,5595.67,36104
2026-04-16,5735.5,345936,184613,53.37,5695.67,36481
2026-04-19,5700.0,610941,398186,65.18,5695.34,43819
2026-04-20,5837.5,270416,135153,49.98,5764.76,26256
2026-04-21,5729.5,550506,267718,48.63,5783.4,41336
2026-04-22,5671.5,408915,263995,64.56,5682.28,33892
2026-04-23,5730.5,470926,252280,53.57,5714.03,38354
2026-04-26,5717.5,658091,444095,67.48,5734.13,39021
2026-04-27,5662.0,249233,145626,58.43,5670.78,32236
2026-04-28,5709.0,363567,225523,62.03,5696.58,29478
2026-04-29,5726.0,269033,136455,50.72,5704.54,35545
2026-05-03,5792.5,328011,177925,54.24,5775.02,39954
2026-05-04,5834.5,710839,477603,67.19,5791.08,61093
2026-05-05,5783.0,438886,258719,58.95,5793.89,38028
2026-05-06,5814.0,490345,205067,41.82,5794.65,37761
2026-05-07,5520.0,3173832,1742561,54.9,5552.97,176877
2026-05-10,5410.5,668220,412296,61.7,5423.21,70006
2026-05-11,5334.0,655043,446412,68.15,5346.62,62783
2026-05-12,5336.0,405228,230448,56.87,5346.55,44771
2026-05-13,5372.5,340218,215081,63.22,5366.52,34196
2026-05-14,5406.0,151714,85550,56.39,5400.85,18820
