date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1511.5,1505905,896892,59.56,1506.37,55695
2025-11-03,1503.3,1590643,914762,57.51,1505.34,71469
2025-11-05,1501.5,1596245,992382,62.17,1504.18,112463
2025-11-06,1505.7,1037508,648672,62.52,1502.77,44111
2025-11-09,1511.5,1143959,728881,63.72,1510.73,47003
2025-11-10,1514.9,850772,495350,58.22,1513.66,40922
2025-11-11,1519.3,1179131,720033,61.06,1520.08,40964
2025-11-12,1525.8,1217362,696125,57.18,1525.06,49370
2025-11-13,1532.1,810970,492709,60.76,1529.75,40666
2025-11-16,1535.6,912322,576337,63.17,1534.08,35841
2025-11-17,1514.5,747913,451804,60.41,1521.69,41356
2025-11-18,1526.8,1171078,792524,67.67,1520.33,42158
2025-11-19,1529.2,896750,526494,58.71,1528.88,43167
2025-11-20,1511.8,1126820,787239,69.86,1519.19,38517
2025-11-23,1504.0,2801854,2197200,78.42,1508.55,56727
2025-11-24,1507.5,908386,485281,53.42,1513.37,83775
2025-11-25,1523.8,1087736,773204,71.08,1517.29,47341
2025-11-26,1525.2,810411,485945,59.96,1525.86,40324
2025-11-27,1531.3,991042,673188,67.93,1528.73,32391
2025-11-30,1523.1,1010599,571097,56.51,1526.12,38404
2025-12-01,1516.6,1760512,1137930,64.64,1520.44,49440
2025-12-02,1508.0,1034323,541634,52.37,1506.96,36069
2025-12-03,1521.0,726473,396322,54.55,1515.24,41915
2025-12-04,1520.8,813485,537804,66.11,1521.02,25645
2025-12-07,1497.6,1263559,771165,61.03,1506.25,38913
2025-12-08,1490.6,1646840,945670,57.42,1494.5,57314
2025-12-09,1490.9,1316274,877675,66.68,1493.49,44275
2025-12-10,1512.3,606130,260133,42.92,1506.53,24833
2025-12-11,1517.4,1054050,677122,64.24,1518.35,28933
2025-12-14,1508.0,855508,429061,50.15,1508.37,32525
2025-12-15,1499.6,789492,512617,64.93,1502.36,36785
2025-12-16,1496.9,1000116,584064,58.4,1495.11,35444
2025-12-17,1498.9,974170,504734,51.81,1500.45,25184
2025-12-18,1517.1,769045,442641,57.56,1512.5,24121
2025-12-21,1512.9,757496,442133,58.37,1514.89,28153
2025-12-22,1500.7,826988,448410,54.22,1508.47,32903
2025-12-23,1496.3,1022767,618084,60.43,1496.65,24892
2025-12-25,1506.0,951555,641121,67.38,1506.11,22760
2025-12-28,1494.0,1077645,619771,57.51,1500.15,33036
2025-12-29,1492.5,1993298,1084778,54.42,1486.94,49869
2025-12-30,1511.3,883966,559175,63.26,1503.01,28410
2025-12-31,1500.9,228078,96517,42.32,1501.65,18814
2026-01-01,1511.6,964611,646740,67.05,1509.53,28980
2026-01-04,1519.8,1532549,1081733,70.58,1517.57,35259
2026-01-05,1530.8,1614326,1118736,69.3,1529.78,41535
2026-01-06,1467.9,5076416,2276361,44.84,1474.66,163268
2026-01-07,1460.6,2651011,1888789,71.25,1462.75,101198
2026-01-08,1465.7,1804271,1284294,71.18,1463.2,55520
2026-01-11,1465.2,2380033,1598117,67.15,1457.01,57804
2026-01-12,1448.3,1909873,962285,50.38,1445.63,52859
2026-01-13,1434.5,1775529,1023366,57.64,1433.68,65863
2026-01-15,1397.5,4333315,2000237,46.16,1393.04,135796
2026-01-18,1392.3,1653550,878756,53.14,1386.04,62170
2026-01-19,1378.4,2040403,1236301,60.59,1383.2,69031
2026-01-20,1369.6,2306655,1142484,49.53,1374.0,96467
2026-01-21,1370.4,1536604,790351,51.43,1373.92,40647
2026-01-22,1315.0,6590032,2905307,44.09,1336.24,174755
2026-01-26,1313.0,4109525,2251382,54.78,1307.55,154946
2026-01-27,1328.4,1535898,836990,54.5,1320.88,63047
2026-01-28,1320.9,2099306,1125319,53.6,1317.19,69555
2026-01-29,1324.0,2157826,1471220,68.18,1322.6,45403
2026-01-31,1328.9,1117982,557940,49.91,1322.46,25740
2026-02-01,1311.6,1832963,1046954,57.12,1304.01,63407
2026-02-02,1322.8,2711571,1887014,69.59,1330.08,99462
2026-02-03,1326.7,1590247,985483,61.97,1329.19,45041
2026-02-04,1333.3,999810,573616,57.37,1329.65,61894
2026-02-05,1330.0,1457970,895234,61.4,1327.13,51933
2026-02-08,1342.5,1936551,1307498,67.52,1335.54,74010
2026-02-09,1342.1,1053439,451363,42.85,1346.19,40035
2026-02-10,1349.9,830695,410845,49.46,1346.2,28772
2026-02-11,1330.0,1613374,949764,58.87,1332.6,49480
2026-02-12,1331.5,1236946,701183,56.69,1327.88,43699
2026-02-15,1356.4,1616868,771255,47.7,1347.34,35385
2026-02-16,1343.9,1413727,832939,58.92,1344.75,36422
2026-02-17,1349.8,1119159,657486,58.75,1343.29,42075
2026-02-18,1328.9,587384,190558,32.44,1339.5,31212
2026-02-19,1341.1,1551722,967708,62.36,1336.65,41152
2026-02-22,1326.5,2435610,1131200,46.44,1324.42,84599
2026-02-23,1326.7,2109672,1159530,54.96,1326.56,65981
2026-02-24,1346.1,1018377,569772,55.95,1341.42,46940
2026-02-25,1358.1,2013877,1122053,55.72,1352.99,80916
2026-02-26,1348.2,2609711,1830843,70.16,1346.64,58836
2026-03-01,1351.6,1899674,840728,44.26,1341.45,69800
2026-03-03,1313.2,1938762,1200259,61.91,1324.42,94697
2026-03-04,1326.4,1184085,695582,58.74,1323.05,58140
2026-03-05,1321.2,695774,400927,57.62,1323.74,31127
2026-03-08,1325.0,1674811,970546,57.95,1315.09,65955
