date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,388.55,14152223,10597994,74.89,388.79,97241
2025-11-03,377.55,10536699,6791149,64.45,378.62,120588
2025-11-05,373.15,6648689,4367239,65.69,374.6,78102
2025-11-06,376.0,4650451,2929779,63.0,374.83,74507
2025-11-09,381.35,4451727,2498373,56.12,380.52,60748
2025-11-10,382.8,3299015,1787914,54.2,381.27,50160
2025-11-11,386.5,4326520,2679630,61.93,385.71,53275
2025-11-12,383.2,3480764,1977473,56.81,385.27,56023
2025-11-13,386.95,3760163,2143712,57.01,385.53,59065
2025-11-16,387.85,3847261,2207491,57.38,387.89,45046
2025-11-17,383.95,4462641,2793800,62.6,385.54,45573
2025-11-18,379.05,5332643,3525410,66.11,380.28,54515
2025-11-19,379.65,3971851,2216291,55.8,379.79,47530
2025-11-20,378.2,3088629,1734052,56.14,378.87,41609
2025-11-23,372.55,5543493,3240294,58.45,374.24,75961
2025-11-24,370.05,4902920,3155302,64.36,371.36,78054
2025-11-25,377.35,4102285,2588001,63.09,375.95,56208
2025-11-26,378.05,3330267,2167295,65.08,377.4,61870
2025-11-27,376.15,4689402,2886548,61.55,376.85,77965
2025-11-30,379.65,4217206,2766527,65.6,378.28,62208
2025-12-01,378.95,3695491,2043458,55.3,378.56,47164
2025-12-02,375.25,4650434,2748228,59.1,374.33,62340
2025-12-03,379.05,3135061,1910074,60.93,377.23,49724
2025-12-04,379.95,3154258,2054141,65.12,379.51,36336
2025-12-07,377.35,3911363,2081280,53.21,377.25,53130
2025-12-08,379.35,4242651,2273859,53.6,378.17,63712
2025-12-09,382.15,4752336,2307602,48.56,381.59,53125
2025-12-10,384.0,2695140,1465200,54.36,384.13,43037
2025-12-11,383.35,1410201,743866,52.75,383.87,33764
2025-12-14,384.45,1870236,993288,53.11,383.38,48679
2025-12-15,381.6,5109787,2639429,51.65,380.82,78396
2025-12-16,384.75,3651138,2100089,57.52,384.08,58400
2025-12-17,385.3,2379619,1420942,59.71,385.23,38756
2025-12-18,385.6,3611941,2171465,60.12,385.21,51190
2025-12-21,386.25,3112021,2080067,66.84,385.74,97681
2025-12-22,400.4,18487395,8727882,47.21,398.18,259208
2025-12-23,402.35,17624423,6227322,35.33,406.6,280947
2025-12-25,402.15,5435637,2564106,47.17,404.5,141227
2025-12-28,400.65,6105510,2712494,44.43,401.49,124819
2025-12-29,398.0,4418163,2389903,54.09,398.09,102255
2025-12-30,399.0,4644679,1676667,36.1,400.35,90641
2025-12-31,400.45,3161157,1575218,49.83,400.6,56238
2026-01-01,427.9,35090129,13153830,37.49,420.64,279509
2026-01-04,427.45,17258568,6283128,36.41,428.42,202233
2026-01-05,427.05,6308113,2679484,42.48,427.48,125459
2026-01-06,431.65,8920605,4509140,50.55,428.87,117604
2026-01-07,425.25,5991259,2632786,43.94,427.06,148604
2026-01-08,418.35,7306605,3591940,49.16,422.0,99669
2026-01-11,432.3,14407896,5481785,38.05,429.29,229053
2026-01-12,428.9,7104004,3041839,42.82,430.39,193670
2026-01-13,432.2,17125550,7679005,44.84,436.81,188788
2026-01-15,431.0,6410141,3997526,62.36,430.6,167174
2026-01-18,430.15,7105031,3799177,53.47,430.37,140759
2026-01-19,415.3,6768420,3337826,49.31,421.28,191090
2026-01-20,414.05,7312100,3915545,53.55,415.47,118233
2026-01-21,423.2,11497522,6676094,58.07,422.64,138179
2026-01-22,418.4,6520896,3529860,54.13,419.75,78501
2026-01-26,422.9,8749844,4183856,47.82,423.03,100755
2026-01-27,444.05,17496873,9274603,53.01,438.68,167859
2026-01-28,455.75,16915601,8339637,49.3,452.52,187915
2026-01-29,440.75,10191610,5055748,49.61,441.61,117202
2026-01-31,419.55,6197770,2154710,34.77,427.81,89554
2026-02-01,423.5,9618062,5000048,51.99,418.29,103498
2026-02-02,429.4,13955805,7255312,51.99,425.47,120215
2026-02-03,434.9,11476290,6355017,55.38,435.94,114901
2026-02-04,431.85,5252658,2375979,45.23,431.24,77626
2026-02-05,432.8,4738027,2313910,48.84,430.26,79193
2026-02-08,431.7,4512635,2557694,56.68,431.63,79215
2026-02-09,430.95,5103221,2587054,50.69,430.58,77908
2026-02-10,423.25,5715603,2534978,44.35,422.65,79825
2026-02-11,419.15,5987886,2800848,46.78,419.93,84962
2026-02-12,408.95,8190851,3677393,44.9,410.83,106453
2026-02-15,422.5,9719418,3913220,40.26,420.44,111707
2026-02-16,421.55,4564907,1926666,42.21,421.36,65330
2026-02-17,418.0,4872345,2627368,53.92,415.89,80350
2026-02-18,416.15,3824366,1964980,51.38,416.81,61662
2026-02-19,423.55,8843227,4232850,47.87,422.78,79659
2026-02-22,426.0,6515765,3560862,54.65,422.64,70589
2026-02-23,430.95,8950772,4973867,55.57,427.73,95225
2026-02-24,438.6,8935314,5176789,57.94,436.16,108052
2026-02-25,433.5,8650353,5115513,59.14,434.26,138812
2026-02-26,430.65,8147373,4602703,56.49,430.01,90958
2026-03-01,426.25,7498197,3192591,42.58,424.15,122596
2026-03-03,435.15,18921256,7728254,40.84,434.7,295289
2026-03-04,449.4,30106255,12073134,40.1,452.33,319958
2026-03-05,440.45,10553695,5276151,49.99,443.12,109915
2026-03-08,437.65,15824576,5608643,35.44,440.89,216806
2026-03-09,443.55,10860312,4944803,45.53,440.58,137654
2026-03-10,446.75,9975869,3878412,38.88,448.85,133368
2026-03-11,470.1,27328045,10044801,36.76,464.88,306822
2026-03-12,467.0,20216953,7596409,37.57,467.88,202970
2026-03-15,460.3,12312203,5501836,44.69,461.15,149415
2026-03-16,462.25,9193238,4034630,43.89,462.31,138821
2026-03-17,455.2,9539041,3846675,40.33,453.93,121207
2026-03-18,454.2,10192726,3216004,31.55,455.84,156741
2026-03-19,468.15,23878653,14059686,58.88,468.01,175526
2026-03-22,455.25,10163783,4928957,48.5,456.07,139845
2026-03-23,442.1,20320746,9543633,46.96,443.63,177980
2026-03-24,443.7,8630612,4179865,48.43,443.46,122698
2026-03-26,445.05,17184280,9699359,56.44,443.9,187303
2026-03-29,450.45,19114688,8410865,44.0,454.24,221841
2026-03-31,449.4,14960312,7099778,47.46,451.69,142103
2026-04-01,449.35,6701003,2584403,38.57,446.74,85287
2026-04-05,459.55,12403745,6248631,50.38,457.61,161950
2026-04-06,463.0,11316785,6313174,55.79,461.11,128651
2026-04-07,449.25,20653569,11091427,53.7,449.66,161319
2026-04-08,454.1,9468415,3919708,41.4,453.45,75344
2026-04-09,434.1,29605732,12591071,42.53,439.74,210303
2026-04-12,435.1,18702296,6703230,35.84,434.69,154585
2026-04-14,435.8,10149319,5843978,57.58,434.79,97682
2026-04-15,432.75,11776638,8155688,69.25,432.64,250564
2026-04-16,438.75,10733309,6493187,60.5,436.66,113610
2026-04-19,441.75,8090840,4271687,52.8,440.26,95940
2026-04-20,443.15,5336558,3103852,58.16,443.32,64762
2026-04-21,444.15,6991939,3609478,51.62,444.53,84546
2026-04-22,450.65,8989280,5170429,57.52,447.89,82059
2026-04-23,456.0,16441909,7149991,43.49,456.8,136410
2026-04-26,452.5,6922067,2845147,41.1,453.84,86131
2026-04-27,467.0,26732373,8586432,32.12,468.42,246111
2026-04-28,479.9,18063862,7035454,38.95,479.37,168280
2026-04-29,481.45,16935052,6842129,40.4,483.92,137332
2026-05-03,479.95,7757497,4423275,57.02,481.48,86563
2026-05-04,472.6,6946902,3398345,48.92,473.39,98706
2026-05-05,470.2,8596697,5500989,63.99,472.25,83038
2026-05-06,466.65,24264105,11181187,46.08,465.01,173836
2026-05-07,456.4,15767759,9080824,57.59,457.84,229810
2026-05-10,464.45,6258261,2080772,33.25,461.62,80958
2026-05-11,463.05,6464174,2190366,33.88,465.13,85308
2026-05-12,462.25,12091924,5613427,46.42,465.45,112588
2026-05-13,454.05,11408675,4635091,40.63,461.7,101521
2026-05-14,462.2,7859575,1872361,23.82,464.01,99366
