date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,6804.0,499591,270062,54.06,6809.83,47962
2025-11-03,6804.5,801413,499063,62.27,6807.22,48503
2025-11-05,6883.5,721954,370340,51.3,6841.38,56418
2025-11-06,6656.5,855609,203500,23.78,6732.24,82443
2025-11-09,6691.5,418569,202378,48.35,6686.37,41074
2025-11-10,6539.5,388972,177491,45.63,6548.6,50860
2025-11-11,6520.0,476290,305093,64.06,6516.98,41433
2025-11-12,6593.5,397401,192572,48.46,6552.16,41142
2025-11-13,6511.5,147365,63029,42.77,6558.38,19437
2025-11-16,6518.5,242726,127088,52.36,6515.18,30400
2025-11-17,6473.5,162830,62467,38.36,6495.46,18380
2025-11-18,6454.0,128134,51684,40.34,6461.71,22887
2025-11-19,6462.5,114162,48966,42.89,6459.05,21848
2025-11-20,6373.0,130843,63575,48.59,6399.88,18316
2025-11-23,6359.0,393803,267957,68.04,6353.73,38604
2025-11-24,6412.0,179873,74044,41.16,6397.84,23201
2025-11-25,6510.0,126970,62772,49.44,6491.42,15917
2025-11-26,6490.5,95681,37138,38.81,6490.66,17187
2025-11-27,6477.0,250130,146570,58.6,6466.7,27940
2025-11-30,6422.5,100192,52471,52.37,6448.12,17137
2025-12-01,6417.5,151910,91844,60.46,6411.09,22149
2025-12-02,6455.0,278865,188866,67.73,6429.04,36952
2025-12-03,6469.0,200558,141873,70.74,6469.64,19816
2025-12-04,6473.5,148911,75978,51.02,6447.16,22857
2025-12-07,6328.5,179082,100430,56.08,6340.68,24619
2025-12-08,6294.0,236524,114716,48.5,6297.83,32590
2025-12-09,6294.5,270852,144231,53.25,6348.17,31578
2025-12-10,6430.0,264850,123419,46.6,6426.74,44762
2025-12-11,6426.5,128635,70207,54.58,6442.07,17442
2025-12-14,6347.5,131176,78382,59.75,6370.89,24951
2025-12-15,6335.5,169831,120048,70.69,6316.94,32025
2025-12-16,6293.0,194825,131260,67.37,6323.41,31949
2025-12-17,6380.0,396678,272116,68.6,6377.83,28375
2025-12-18,6478.5,785205,327912,41.76,6516.12,72437
2025-12-21,6511.5,255434,164078,64.23,6514.46,55454
2025-12-22,6476.5,192477,114788,59.64,6491.68,31850
2025-12-23,6496.5,252785,135051,53.43,6537.11,37827
2025-12-25,6427.5,252704,178886,70.79,6454.33,34331
2025-12-28,6390.5,244981,164697,67.23,6395.02,30473
2025-12-29,6360.5,1927570,1520669,78.89,6351.81,100445
2025-12-30,6392.5,273233,150076,54.93,6395.2,29564
2025-12-31,6344.0,146473,84404,57.62,6332.03,14323
2026-01-01,6392.5,108528,59759,55.06,6369.33,14089
2026-01-04,6363.5,145454,89081,61.24,6390.58,20117
2026-01-05,6642.5,732441,268322,36.63,6580.76,60299
2026-01-06,6642.5,423884,204724,48.3,6665.04,40933
2026-01-07,6600.5,331547,203370,61.34,6627.84,35143
2026-01-08,6616.5,351042,184328,52.51,6600.36,31233
2026-01-11,6485.5,665870,368946,55.41,6433.36,63761
2026-01-12,6436.5,253726,116981,46.11,6424.79,32700
2026-01-13,6355.5,524643,368369,70.21,6394.98,36721
2026-01-15,6236.0,409423,234909,57.38,6290.91,33189
2026-01-18,6140.0,351743,193365,54.97,6156.94,39140
2026-01-19,6013.0,204440,87615,42.86,6076.89,24431
2026-01-20,6010.0,324388,196316,60.52,6017.15,33462
2026-01-21,6071.0,372206,254685,68.43,6079.29,23667
2026-01-22,6011.5,460503,318624,69.19,6034.13,49529
2026-01-26,6056.0,367912,223130,60.65,6052.64,43039
2026-01-27,6188.0,335259,218638,65.21,6150.03,33715
2026-01-28,6041.0,405502,262278,64.68,6063.17,60879
2026-01-29,6051.0,347165,251406,72.42,6032.74,45589
2026-01-31,6056.0,144120,63780,44.25,6054.93,16303
2026-02-01,5952.5,400656,259817,64.85,5943.87,41131
2026-02-02,6209.0,454227,228544,50.31,6237.46,51236
2026-02-03,6054.5,327213,185454,56.68,6074.44,46668
2026-02-04,6141.5,370561,154682,41.74,6055.72,41464
2026-02-05,6024.5,433945,253502,58.42,5991.1,49561
2026-02-08,6113.5,219396,123437,56.26,6090.12,40841
2026-02-09,6175.5,237887,120091,50.48,6185.85,48216
2026-02-10,6386.5,1263189,292288,23.14,6281.96,74744
2026-02-11,6185.0,1200795,681664,56.77,6229.74,104048
2026-02-12,6168.5,299364,157102,52.48,6140.13,38739
2026-02-15,6149.5,175634,94363,53.73,6181.99,16953
2026-02-16,6187.5,151261,77176,51.02,6186.6,19060
2026-02-17,6283.5,438670,230598,52.57,6248.96,40514
