date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,7023.5,334962,197687,59.02,7028.59,49888
2025-11-03,6930.0,494329,304989,61.7,6952.28,60658
2025-11-05,6806.5,435650,293655,67.41,6862.33,58833
2025-11-06,6886.0,465149,282694,60.77,6786.33,57430
2025-11-09,6866.5,514365,323308,62.86,6850.18,53710
2025-11-10,6873.0,409676,234421,57.22,6814.09,40020
2025-11-11,6879.0,300606,163859,54.51,6876.31,47141
2025-11-12,6855.0,842032,482219,57.27,6873.84,64247
2025-11-13,6695.0,739163,323207,43.73,6731.43,68163
2025-11-16,6799.0,789635,536217,67.91,6772.04,52111
2025-11-17,6814.5,517129,326722,63.18,6806.4,47443
2025-11-18,6896.5,416170,284943,68.47,6855.95,52852
2025-11-19,7125.5,857232,397360,46.35,7071.0,88980
2025-11-20,7134.5,654156,227754,34.82,7164.68,58940
2025-11-23,7258.5,1229296,772211,62.82,7252.77,96086
2025-11-24,7218.5,521990,358446,68.67,7217.37,47510
2025-11-25,7198.5,313545,190897,60.88,7228.51,70506
2025-11-26,6999.0,480102,228102,47.51,7047.14,55566
2025-11-27,7053.5,449709,250046,55.6,7037.23,40389
2025-11-30,7125.5,974710,449362,46.1,7136.94,75066
2025-12-01,7112.5,448174,267179,59.62,7127.18,79713
2025-12-02,7081.5,333674,221515,66.39,7069.47,49934
2025-12-02,7070.0,141552,0,,7070.0,1
2025-12-03,7100.0,364672,228872,62.76,7107.28,58488
2025-12-04,7208.0,501035,291923,58.26,7170.34,50190
2025-12-07,7142.0,273509,156800,57.33,7158.76,35250
2025-12-08,7123.0,436443,247094,56.62,7138.49,47280
2025-12-09,7250.0,137665,0,,7250.0,1
2025-12-09,7228.5,626505,310222,49.52,7235.54,69759
2025-12-10,7256.0,502052,247093,49.22,7273.86,50425
2025-12-11,7229.0,324682,201454,62.05,7240.04,32653
2025-12-14,7121.5,391821,207019,52.84,7125.62,48441
2025-12-15,7061.5,505906,386700,76.44,7069.54,40289
2025-12-16,7134.5,594264,368564,62.02,7148.66,53603
2025-12-17,7106.5,327756,189004,57.67,7079.33,42052
2025-12-18,7217.0,423435,258530,61.06,7198.82,44558
2025-12-21,7291.5,233966,142206,60.78,7265.88,38341
2025-12-22,7303.0,249187,141029,56.6,7313.15,34073
2025-12-23,7312.5,205296,106037,51.65,7308.19,33262
2025-12-25,7324.0,157706,61359,38.91,7329.13,21162
2025-12-28,7272.0,282572,139572,49.39,7284.69,38107
2025-12-29,7192.5,1976062,1365824,69.12,7219.3,139896
2025-12-30,7312.5,357381,192543,53.88,7269.54,56916
2025-12-31,7348.0,155326,44217,28.47,7327.5,23334
2026-01-01,7334.5,227469,105479,46.37,7341.78,46358
2026-01-04,7482.5,426798,217961,51.07,7465.96,43626
2026-01-05,7522.5,396099,213751,53.96,7534.96,46827
2026-01-06,7582.5,380761,251247,65.99,7557.12,56894
2026-01-07,7551.0,459727,300321,65.33,7565.52,44411
2026-01-08,7507.0,474627,292726,61.67,7560.26,50025
2026-01-11,7436.0,315579,176380,55.89,7402.51,48150
2026-01-12,7404.0,262636,130743,49.78,7418.59,36825
2026-01-13,7358.0,426082,250019,58.68,7313.34,66658
2026-01-15,7315.0,441023,270831,61.41,7343.85,64247
2026-01-18,7323.5,211682,122674,57.95,7318.28,32997
2026-01-19,7173.5,302200,174822,57.85,7259.65,44290
2026-01-20,7140.0,480751,276079,57.43,7099.62,74230
2026-01-21,7049.0,366499,202378,55.22,7130.44,56578
2026-01-22,6973.0,365996,182311,49.81,7010.75,48292
2026-01-26,7164.5,498369,301140,60.43,7072.78,77118
2026-01-27,7071.0,856378,415612,48.53,6965.75,102441
2026-01-28,7056.5,632904,381487,60.28,7047.82,67172
2026-01-29,7122.5,454539,293015,64.46,7090.39,52127
2026-01-31,6889.5,297693,118686,39.87,6971.58,41529
2026-02-01,6985.5,490854,309307,63.01,6899.43,67686
2026-02-02,7215.0,689971,398624,57.77,7182.81,81785
2026-02-03,7277.5,260280,136819,52.57,7281.65,42971
2026-02-04,7209.5,254212,145387,57.19,7214.5,40461
2026-02-05,7177.5,251800,130633,51.88,7160.33,31248
2026-02-08,7195.5,314215,175072,55.72,7171.2,40369
2026-02-09,7296.0,467662,245235,52.44,7278.72,48127
2026-02-10,7771.0,2286430,664327,29.06,7745.02,180801
2026-02-11,7943.0,1107781,480361,43.36,7893.26,77077
2026-02-12,8065.0,967939,429182,44.34,8038.29,87424
2026-02-15,8010.5,589984,356681,60.46,8023.9,43233
2026-02-16,8035.0,266572,106871,40.09,7994.91,35679
2026-02-17,8009.5,223326,119759,53.63,7989.44,38290
2026-02-18,7897.0,424777,118240,27.84,8010.02,45082
2026-02-19,7936.5,264059,137713,52.15,7944.03,41881
2026-02-22,8038.5,247249,108033,43.69,8024.04,35972
2026-02-23,7929.0,430812,268732,62.38,7951.18,69739
2026-02-24,8008.0,618719,316849,51.21,7983.34,87730
2026-02-25,8190.0,427401,170840,39.97,8111.48,47348
2026-02-26,8010.5,774354,445115,57.48,8074.19,85195
2026-03-01,7826.0,494148,229671,46.48,7838.78,78943
2026-03-03,7626.5,593728,359160,60.49,7629.88,93644
2026-03-04,7755.0,568151,343641,60.48,7701.44,61581
2026-03-05,7620.5,366235,210945,57.6,7636.83,61908
2026-03-08,7266.0,554984,304472,54.86,7309.01,87519
2026-03-09,7536.5,494730,240723,48.66,7466.96,85548
2026-03-10,7253.5,621563,355879,57.26,7367.03,86392
2026-03-11,6975.5,1259945,744226,59.07,7025.86,130426
2026-03-12,6741.0,819255,510820,62.35,6773.81,98018
2026-03-15,6827.5,866087,480148,55.44,6761.61,104350
2026-03-16,6910.0,555865,267890,48.19,6901.23,91932
2026-03-17,7027.5,557181,268661,48.22,7022.58,67704
2026-03-18,6793.0,629473,371676,59.05,6825.13,79153
2026-03-19,6909.0,575123,350787,60.99,6892.5,54764
2026-03-22,6681.5,380052,205395,54.04,6729.19,64045
2026-03-23,6871.0,723633,344764,47.64,6877.79,76024
2026-03-24,6992.5,490390,267435,54.54,7018.95,69596
2026-03-26,6811.5,533428,295607,55.42,6820.74,85308
2026-03-29,6586.0,1015357,447089,44.03,6626.99,100992
2026-03-31,6825.5,736957,466020,63.24,6829.6,105684
2026-04-01,6649.5,660432,363245,55.0,6641.65,76160
2026-04-05,6596.0,971230,600938,61.87,6610.91,101817
2026-04-06,6605.5,1150553,627212,54.51,6538.7,123915
2026-04-07,7131.0,917337,431082,46.99,7048.42,83700
2026-04-08,7147.5,648216,330779,51.03,7122.94,72487
2026-04-09,7424.0,705365,288852,40.95,7358.13,74057
2026-04-12,7050.0,1246861,658983,52.85,7104.19,88096
2026-04-14,7128.0,913138,519798,56.92,7116.4,69947
2026-04-15,7131.0,573155,291236,50.81,7100.35,61654
2026-04-16,7189.5,582841,344374,59.09,7162.57,57322
2026-04-19,7243.0,695282,386127,55.54,7219.27,57592
2026-04-20,7240.5,353002,205647,58.26,7267.44,39196
2026-04-21,7230.0,497850,273713,54.98,7204.27,60602
2026-04-22,7092.5,481927,252211,52.33,7107.74,60226
2026-04-23,7111.5,413746,189434,45.79,7112.45,38379
