date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,2899.9,297012,100997,34.0,2901.98,25166
2025-11-03,2882.0,229856,116896,50.86,2884.33,25670
2025-11-05,2700.1,1986853,842914,42.42,2732.37,105144
2025-11-06,2724.6,1101889,669893,60.79,2719.05,41211
2025-11-09,2762.9,489522,238154,48.65,2763.82,35248
2025-11-10,2775.8,399693,215819,54.0,2762.69,26596
2025-11-11,2767.4,531304,280954,52.88,2778.91,27673
2025-11-12,2777.8,687031,455289,66.27,2777.32,26511
2025-11-13,2783.4,510972,347606,68.03,2780.16,41627
2025-11-16,2790.3,459047,318644,69.41,2788.74,22856
2025-11-17,2762.0,437943,279611,63.85,2769.98,23885
2025-11-18,2744.7,468941,260392,55.53,2752.55,36742
2025-11-19,2748.6,519341,331350,63.8,2755.35,37712
2025-11-20,2734.8,471626,301096,63.84,2738.81,30734
2025-11-23,2688.7,917195,623821,68.01,2698.09,53452
2025-11-24,2686.8,558631,374365,67.01,2691.39,38370
2025-11-25,2744.0,444974,267283,60.07,2730.11,42362
2025-11-26,2740.0,399328,232268,58.16,2730.58,35198
2025-11-27,2739.4,297155,192924,64.92,2738.0,27178
2025-11-30,2731.5,288096,160945,55.87,2731.3,29223
2025-12-01,2735.0,388195,227390,58.58,2731.82,51349
2025-12-02,2720.3,435124,231809,53.27,2725.21,32902
2025-12-03,2730.4,276879,169033,61.05,2728.23,27899
2025-12-04,2747.0,173909,101399,58.31,2741.5,18211
2025-12-07,2744.2,715725,404511,56.52,2748.96,59546
2025-12-08,2746.0,419760,192405,45.84,2753.7,28441
2025-12-09,2746.8,344470,162934,47.3,2757.53,29959
2025-12-10,2797.8,453706,234240,51.63,2785.16,33572
2025-12-11,2836.7,927504,560597,60.44,2827.52,41389
2025-12-14,2821.0,736238,574611,78.05,2825.76,27163
2025-12-15,2799.1,545921,377618,69.17,2810.17,35173
2025-12-16,2806.6,420053,309231,73.62,2792.04,21173
2025-12-17,2807.6,252763,142509,56.38,2805.5,22175
2025-12-18,2812.5,546550,351939,64.39,2815.73,32948
2025-12-21,2809.7,796031,558328,70.14,2818.43,42954
2025-12-22,2829.8,399009,226536,56.77,2831.2,21285
2025-12-23,2826.9,444617,273265,61.46,2837.58,30480
2025-12-25,2817.7,506240,309499,61.14,2825.98,19028
2025-12-28,2842.4,607462,321674,52.95,2837.61,32698
2025-12-29,2841.7,729640,458832,62.88,2843.53,44942
2025-12-30,2829.0,327956,170401,51.96,2838.79,22601
2025-12-31,2851.7,449775,284533,63.26,2838.14,20750
2026-01-01,2856.4,698682,427557,61.19,2860.18,27466
2026-01-04,2848.9,861522,590713,68.57,2868.04,34508
2026-01-05,2865.3,720656,486986,67.58,2862.13,38925
