date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1543.5,2252136,1388810,61.67,1540.77,54640
2025-11-03,1529.1,1666863,1027164,61.62,1530.36,56491
2025-11-05,1526.4,2474769,1582516,63.95,1525.7,83301
2025-11-06,1512.4,2238714,1430918,63.92,1508.39,69134
2025-11-09,1540.5,1558896,823136,52.8,1538.01,79181
2025-11-10,1570.0,2270763,1363854,60.06,1558.43,74960
2025-11-11,1594.0,2331564,1477434,63.37,1591.3,113539
2025-11-12,1598.5,1944022,1249265,64.26,1596.49,76589
2025-11-13,1594.6,2543918,1809622,71.14,1588.33,105226
2025-11-16,1606.4,2000978,1427021,71.32,1599.95,65072
2025-11-17,1595.2,1640123,1109368,67.64,1595.15,52117
2025-11-18,1662.6,6342672,3419711,53.92,1650.37,159231
2025-11-19,1645.4,2724035,1710690,62.8,1652.84,97466
2025-11-20,1608.0,2958835,2022536,68.36,1622.45,81557
2025-11-23,1610.4,6392688,4705091,73.6,1617.14,119732
2025-11-24,1601.1,2285950,1608036,70.34,1601.61,99411
2025-11-25,1617.9,1243303,700079,56.31,1618.84,71530
2025-11-26,1629.0,2106176,1401129,66.52,1625.43,61398
2025-11-27,1624.2,1841289,1161817,63.1,1627.54,51177
2025-11-30,1642.9,2034350,1418189,69.71,1639.51,80611
2025-12-01,1635.5,2326220,1541240,66.26,1635.1,77081
2025-12-02,1640.5,2371611,1474264,62.16,1638.68,74755
2025-12-03,1654.6,3935708,2220796,56.43,1658.55,136665
2025-12-04,1683.0,3391204,2136069,62.99,1679.98,69175
2025-12-07,1688.6,2702407,1721389,63.7,1688.85,99082
2025-12-08,1657.6,2817704,1793290,63.64,1666.53,81151
2025-12-09,1666.0,1482249,938334,63.3,1664.38,62506
2025-12-10,1672.4,1408684,781957,55.51,1666.62,57108
2025-12-11,1673.2,1284337,843637,65.69,1669.69,44240
2025-12-14,1684.0,1689723,1142528,67.62,1681.83,67813
2025-12-15,1651.7,1929309,1234129,63.97,1653.45,80374
2025-12-16,1655.0,1394918,911322,65.33,1654.82,60273
2025-12-17,1661.4,1822056,1062386,58.31,1660.82,94524
2025-12-18,1642.4,3487150,2118195,60.74,1644.84,105652
2025-12-21,1670.3,1339691,752237,56.15,1665.51,62953
2025-12-22,1679.9,1614314,948080,58.73,1674.59,60466
2025-12-23,1674.7,989858,594881,60.1,1674.72,48783
2025-12-25,1660.9,921138,553166,60.05,1660.76,53805
2025-12-28,1630.8,1516288,861939,56.85,1642.6,68600
2025-12-29,1615.2,3323273,2279686,68.6,1619.83,112154
2025-12-30,1623.3,1359963,831762,61.16,1624.23,44369
2025-12-31,1634.5,773806,386921,50.0,1636.32,37755
2026-01-01,1640.2,950573,450570,47.4,1636.46,51428
2026-01-04,1607.6,3245802,1758734,54.18,1602.85,111403
2026-01-05,1616.3,2112043,1367734,64.76,1616.64,74528
2026-01-06,1647.7,3816569,2454143,64.3,1638.36,119727
2026-01-07,1646.7,3266398,1930804,59.11,1649.47,137914
2026-01-08,1661.4,3281306,1916808,58.42,1664.49,122218
2026-01-11,1667.6,4175707,2491602,59.67,1657.06,92791
2026-01-12,1665.0,7149266,3108155,43.48,1657.4,163224
2026-01-13,1668.5,2470615,1660046,67.19,1667.72,85398
2026-01-15,1698.0,3098089,1679933,54.22,1690.44,113028
2026-01-18,1716.8,2087629,1294148,61.99,1706.84,78456
2026-01-19,1687.3,1739341,1000569,57.53,1692.73,80668
2026-01-20,1682.5,1728435,961399,55.62,1678.69,92357
2026-01-21,1703.1,1853439,1089098,58.76,1696.66,85689
2026-01-22,1707.0,1874357,1193066,63.65,1710.03,54617
2026-01-26,1720.2,2671530,1534352,57.43,1714.93,103569
2026-01-27,1729.6,2713867,1764996,65.04,1719.01,79816
2026-01-28,1721.6,2235602,1373855,61.45,1712.49,78660
2026-01-29,1695.6,4448681,3119486,70.12,1696.74,129782
2026-01-31,1666.2,1846014,603182,32.67,1673.91,88087
2026-02-01,1676.8,1916380,1123190,58.61,1674.91,85140
2026-02-02,1695.3,3200948,1895809,59.23,1712.72,110557
2026-02-03,1621.8,5834470,3467098,59.42,1609.09,227405
2026-02-04,1610.0,3184531,1890115,59.35,1612.1,152717
2026-02-05,1593.7,3342992,2125052,63.57,1592.41,145738
2026-02-08,1602.0,1863558,1305446,70.05,1601.57,63524
2026-02-09,1573.1,3234785,2105729,65.1,1586.43,101563
2026-02-10,1551.6,2944646,1885739,64.04,1556.12,146047
2026-02-11,1476.1,5397659,3098753,57.41,1492.68,282325
2026-02-12,1455.2,7214938,3634405,50.37,1439.36,258495
2026-02-15,1461.8,2388700,1384394,57.96,1456.22,100918
2026-02-16,1482.6,2840341,1281453,45.12,1490.04,87279
2026-02-17,1467.2,2036245,1101059,54.07,1462.49,68672
2026-02-18,1450.4,2397127,1064022,44.39,1473.32,85422
2026-02-19,1436.5,2392491,1426951,59.64,1441.1,66868
2026-02-22,1426.2,2629763,1579000,60.04,1427.48,75977
2026-02-23,1339.2,10004684,5583981,55.81,1346.66,262757
2026-02-24,1378.2,5703505,3411861,59.82,1379.33,119569
2026-02-25,1373.5,2329520,1015695,43.6,1383.22,125163
2026-02-26,1389.1,8651443,6447547,74.53,1390.09,162388
2026-03-01,1371.0,2088938,889845,42.6,1369.5,108564
2026-03-03,1364.0,3161598,1880428,59.48,1367.86,151012
2026-03-04,1354.1,2217963,1078525,48.63,1346.61,131063
2026-03-05,1356.7,1871596,1053576,56.29,1364.05,74907
2026-03-08,1358.6,2256550,1080613,47.89,1355.54,110627
2026-03-09,1361.5,1671877,924421,55.29,1356.02,88793
2026-03-10,1350.3,1837000,1185972,64.56,1355.4,92591
2026-03-11,1358.1,2616965,1616687,61.78,1355.47,125512
2026-03-12,1325.4,2190786,1407589,64.25,1336.25,97539
2026-03-15,1328.6,3618375,2263105,62.54,1322.95,125684
2026-03-16,1321.1,2285672,1307984,57.23,1318.68,109302
2026-03-17,1357.2,2564106,1392122,54.29,1362.83,142744
2026-03-18,1311.8,1663249,946909,56.93,1325.85,98485
2026-03-19,1333.7,5050431,3215584,63.67,1337.81,144232
2026-03-22,1358.6,5166409,2384879,46.16,1352.36,173461
2026-03-23,1373.3,3555664,1751248,49.25,1378.06,117264
2026-03-24,1381.3,4167275,2252380,54.05,1383.83,215488
2026-03-26,1364.4,8956139,6072450,67.8,1376.5,195122
2026-03-29,1341.6,5541018,3391943,61.22,1345.87,115344
2026-03-31,1354.4,2469237,1392371,56.39,1367.96,105006
2026-04-01,1402.2,6509389,3065773,47.1,1384.54,156129
2026-04-05,1403.3,2134581,892905,41.83,1406.71,89590
2026-04-06,1441.6,3459049,1578866,45.64,1435.93,130355
2026-04-07,1461.0,4239052,2307919,54.44,1450.32,176059
2026-04-08,1464.9,3101205,1723538,55.58,1453.12,122283
2026-04-09,1451.2,3450066,1988724,57.64,1438.64,227938
2026-04-12,1429.4,2252652,1168901,51.89,1427.35,106276
2026-04-14,1451.3,3993858,2295626,57.48,1450.85,125253
2026-04-15,1450.2,5229848,2961588,56.63,1446.11,152645
2026-04-16,1442.3,3319268,1852702,55.82,1438.28,104096
2026-04-19,1428.3,2352656,1240988,52.75,1434.33,99253
2026-04-20,1441.2,3091487,1754233,56.74,1440.59,96067
2026-04-21,1285.3,33066256,14960919,45.25,1304.43,685701
2026-04-22,1277.6,8304759,3992294,48.07,1279.21,210855
2026-04-23,1203.2,10903519,4967012,45.55,1217.49,340026
2026-04-26,1228.2,6066942,3011825,49.64,1218.15,197227
2026-04-27,1196.0,6643295,3979377,59.9,1202.59,147386
2026-04-28,1200.2,4777201,2472024,51.75,1202.38,128407
2026-04-29,1199.1,5070033,2700518,53.26,1200.95,127757
2026-05-03,1200.5,3318673,1639631,49.41,1199.3,120491
2026-05-04,1200.2,2459953,1257250,51.11,1199.4,100748
2026-05-05,1189.1,3541520,1900079,53.65,1194.87,89971
2026-05-06,1183.4,3725309,2016234,54.12,1185.93,94392
2026-05-07,1198.4,2813749,1451556,51.59,1194.9,79508
2026-05-10,1194.9,2505962,1302335,51.97,1200.25,95624
2026-05-11,1145.8,3959561,1935224,48.87,1154.12,127002
2026-05-12,1143.2,2635034,1496507,56.79,1145.7,82384
2026-05-13,1124.0,5837032,2536154,43.45,1119.6,150084
2026-05-14,1132.6,3729249,1760041,47.2,1136.8,70408
