date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,992.65,16607180,9995580,60.19,991.15,288032
2025-11-03,985.25,20024544,10792510,53.9,990.21,302828
2025-11-05,984.65,22279516,11400343,51.17,984.48,278532
2025-11-06,982.3,15004568,10669610,71.11,979.96,315369
2025-11-09,984.5,15988262,11329554,70.86,986.19,373004
2025-11-10,991.7,10200530,5178183,50.76,987.26,229810
2025-11-11,989.5,13137263,9064648,69.0,992.14,166500
2025-11-12,986.65,14124839,8400766,59.48,986.34,289471
2025-11-13,989.6,21386965,15669091,73.26,984.95,301431
2025-11-16,996.55,18396408,12483495,67.86,993.87,197155
2025-11-17,992.45,20002640,13276284,66.37,994.68,217914
2025-11-18,992.45,153702,0,,992.45,1
2025-11-18,994.6,19813847,14380578,72.58,989.67,201324
2025-11-19,1008.85,19850865,12310443,62.01,1003.81,254686
2025-11-20,998.05,17499897,11781873,67.33,1001.07,271649
2025-11-23,999.15,32204053,23158827,71.91,1001.79,280226
2025-11-24,989.8,24989383,14345733,57.41,995.08,275451
2025-11-25,1003.9,19494356,10553283,54.14,999.58,207998
2025-11-26,1009.5,25536848,16830504,65.91,1010.95,313073
2025-11-27,1007.6,15988807,11179507,69.92,1008.93,178196
2025-11-30,1002.1,16746566,10412743,62.18,1005.66,282719
2025-12-01,989.8,27316662,18025565,65.99,990.24,363303
2025-12-02,1000.5,15448777,10662697,69.02,993.84,222651
2025-12-03,997.2,14528169,10117111,69.64,998.28,241847
2025-12-04,1003.3,12843366,7782512,60.6,1000.86,192024
2025-12-07,1003.1,12901022,8540982,66.2,1002.21,219872
2025-12-08,997.1,15294322,8851628,57.88,998.68,206598
2025-12-09,989.8,15322830,10399067,67.87,990.9,275347
2025-12-10,1000.3,11844809,7553960,63.77,996.96,177935
2025-12-11,1001.5,11988618,8974647,74.86,1001.52,153825
2025-12-14,996.1,9790060,5689455,58.11,995.95,182612
2025-12-15,994.3,20049088,10578543,52.76,994.74,307140
2025-12-16,984.0,19080922,13749573,72.06,985.22,288605
2025-12-17,979.7,14912404,9559809,64.11,981.48,412559
2025-12-18,985.5,25952384,19002918,73.22,984.91,246675
2025-12-21,987.7,13540411,8188244,60.47,987.63,253393
2025-12-22,996.6,17927849,9434296,52.62,994.81,227121
2025-12-23,997.2,13699996,6062889,44.25,996.34,203107
2025-12-25,992.1,9360853,7031168,75.11,992.32,196688
2025-12-28,991.7,13545749,8436541,62.28,991.31,190711
2025-12-29,990.9,33155849,22177609,66.89,989.16,393869
2025-12-30,991.2,10963454,7039332,64.21,992.61,193549
2025-12-31,991.15,7132074,2485813,34.85,991.88,126886
2026-01-01,1001.6,11751459,7814202,66.5,998.46,178613
2026-01-04,977.5,27647379,20956352,75.8,984.33,382990
2026-01-05,962.2,31988783,22650555,70.81,962.45,459604
2026-01-06,949.05,52884712,43998886,83.2,950.1,414168
2026-01-07,946.7,21928849,14341808,65.4,947.59,316595
2026-01-08,939.0,38183839,30938163,81.02,940.91,324301
2026-01-11,936.95,21071666,15911209,75.51,936.87,282222
2026-01-12,937.35,32042827,19682550,61.43,940.27,348726
2026-01-13,925.45,36688248,27700155,75.5,929.85,306076
2026-01-15,931.1,37780235,27960990,74.01,929.18,361119
2026-01-18,927.9,38191942,25589700,67.0,927.58,432335
2026-01-19,931.2,36022727,25387797,70.48,930.12,357134
2026-01-20,920.35,32766854,18490570,56.43,924.64,351406
2026-01-21,918.7,44444755,27990021,62.98,918.56,572341
2026-01-22,916.1,30985247,20036841,64.67,916.45,335766
2026-01-26,926.4,44753093,24863244,55.56,917.11,483204
2026-01-27,932.7,35347138,25768276,72.9,934.95,272519
2026-01-28,935.5,37175628,23337389,62.78,933.24,420812
2026-01-29,929.25,29691233,21792184,73.4,931.84,251637
2026-01-31,922.1,9856486,4558330,46.25,929.2,146417
2026-02-01,928.1,28032106,17929669,63.96,924.14,387552
2026-02-02,948.7,50336968,33991872,67.53,954.45,490165
2026-02-03,953.1,24366770,18291924,75.07,952.91,251099
2026-02-04,949.7,28103169,19789477,70.42,950.22,372775
2026-02-05,941.1,18120272,11328454,62.52,941.73,423858
2026-02-08,937.25,23947829,17666012,73.77,938.27,274371
2026-02-09,932.4,31525385,18244866,57.87,933.93,408707
2026-02-10,927.1,24869804,16876206,67.86,928.91,368828
2026-02-11,920.6,33872203,20680584,61.05,922.37,425115
2026-02-12,903.9,50188359,39907545,79.52,912.26,361977
2026-02-15,925.8,18806989,10541147,56.05,922.18,309517
2026-02-16,925.7,22599629,8883355,39.31,925.32,337196
