date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,736.0,2222765,1512175,68.03,735.12,75995
2025-11-03,742.45,2311438,1314286,56.86,743.11,74115
2025-11-05,736.05,1640119,925697,56.44,739.07,53702
2025-11-06,749.25,1709430,949942,55.57,742.73,48275
2025-11-09,750.7,2046515,1090774,53.3,755.02,54498
2025-11-10,763.9,2303525,1324220,57.49,759.26,54279
2025-11-11,783.1,3996339,2646066,66.21,778.56,112588
2025-11-12,782.2,2068084,1287561,62.26,782.44,72445
2025-11-13,773.7,1373199,860629,62.67,773.2,103296
2025-11-16,770.25,2639170,1829058,69.3,769.2,90112
2025-11-17,761.8,1363326,856620,62.83,763.63,48086
2025-11-18,761.1,950947,573610,60.32,759.27,40941
2025-11-19,762.2,2612081,1534067,58.73,757.99,61175
2025-11-20,764.0,2712721,2076455,76.55,763.41,41267
2025-11-23,761.65,5837946,4639335,79.47,762.2,72994
2025-11-24,766.55,1858955,932223,50.15,764.3,67925
2025-11-25,787.55,3006211,1754980,58.38,782.84,107893
2025-11-26,777.8,1165637,567697,48.7,779.31,70216
2025-11-27,764.3,2441514,1468270,60.14,767.23,83728
2025-11-30,766.75,908996,428040,47.09,764.03,46249
2025-12-01,759.0,2054726,1134234,55.2,758.06,47811
2025-12-02,751.95,2877041,1762490,61.26,750.71,68270
2025-12-03,760.8,2649259,1645798,62.12,754.21,90201
2025-12-04,768.3,1693258,930712,54.97,764.62,48547
2025-12-07,764.05,3775906,2054492,54.41,773.75,104082
2025-12-08,762.9,1965538,1126924,57.33,758.99,59989
2025-12-09,771.05,1667376,874755,52.46,771.12,96667
2025-12-10,775.2,2133427,1438434,67.42,772.3,57876
2025-12-11,777.5,1290971,540165,41.84,775.16,31581
2025-12-14,772.7,1510988,813433,53.83,770.52,40580
2025-12-15,764.35,2125078,1194966,56.23,775.59,45749
2025-12-16,753.5,1809434,946129,52.29,755.02,61528
2025-12-17,757.0,731537,353333,48.3,754.61,33537
2025-12-18,766.45,3098157,2121121,68.46,764.39,49102
2025-12-21,761.8,767829,428512,55.81,762.92,39170
2025-12-22,763.95,1246811,670719,53.79,761.66,33058
2025-12-23,755.35,1132272,574250,50.72,760.13,35705
2025-12-25,748.45,1655497,1030000,62.22,749.37,33677
2025-12-28,746.45,2912215,1926756,66.16,745.63,47721
2025-12-29,743.0,13786783,10551015,76.53,741.71,114900
2025-12-30,749.85,2503615,1643896,65.66,749.1,45656
2025-12-31,750.1,820228,484839,59.11,749.68,23640
2026-01-01,754.85,1457089,938204,64.39,755.21,35885
2026-01-04,759.3,1348153,686924,50.95,760.59,33926
2026-01-05,777.85,2900960,1414016,48.74,774.69,79101
2026-01-06,772.35,1349921,759796,56.28,772.93,39977
2026-01-07,758.15,1993731,1164138,58.39,758.74,70380
2026-01-08,749.9,3267663,2077206,63.57,752.2,86568
2026-01-11,754.65,1771176,621577,35.09,758.07,51136
2026-01-12,748.5,1820910,782114,42.95,748.89,45940
2026-01-13,743.2,2909648,1841878,63.3,747.06,42839
2026-01-15,732.55,9855757,7006664,71.09,730.73,201525
2026-01-18,736.8,2566777,1729561,67.38,735.12,78735
2026-01-19,732.1,2322135,1581671,68.11,734.9,129117
2026-01-20,724.35,3455702,2091402,60.52,731.43,168706
2026-01-21,725.1,2374582,1435152,60.44,724.31,110924
2026-01-22,712.1,3232798,2328220,72.02,717.13,70016
2026-01-26,720.05,3344844,1901283,56.84,716.42,139134
2026-01-27,728.6,1778744,1183432,66.53,725.26,44371
2026-01-28,727.1,2511005,1596508,63.58,728.08,62030
2026-01-29,731.0,3672455,2447686,66.65,729.95,82841
2026-01-31,715.3,973885,453703,46.59,722.57,28633
2026-02-01,717.5,1824473,1122073,61.5,715.68,66783
2026-02-02,720.15,3911536,2290955,58.57,725.62,106454
2026-02-03,722.5,4826046,2904710,60.19,721.94,41099
2026-02-04,720.7,1268905,655306,51.64,717.29,36721
2026-02-05,703.5,4114496,2739954,66.59,703.24,63240
2026-02-08,707.9,4093084,3019450,73.77,707.27,73521
2026-02-09,703.95,2320888,1598976,68.9,706.04,69114
2026-02-10,701.1,1873706,1108007,59.13,701.39,43712
2026-02-11,702.7,5334547,3805783,71.34,696.2,66516
2026-02-12,696.8,2076033,1346979,64.88,699.49,50600
2026-02-15,703.9,1975111,1139145,57.67,702.42,40305
2026-02-16,705.8,1320272,746270,56.52,706.17,45799
2026-02-17,729.6,4974855,3181962,63.96,720.39,72896
2026-02-18,733.15,2875538,1545599,53.75,732.02,52834
2026-02-19,728.65,1600534,925484,57.82,730.65,49613
2026-02-22,742.45,2722974,1629481,59.84,742.41,79354
2026-02-23,734.75,1919196,1238486,64.53,735.61,59401
2026-02-24,735.25,2075312,1484049,71.51,736.69,61712
2026-02-25,734.0,2329954,1438279,61.73,736.11,54256
2026-02-26,715.3,3416009,2359951,69.09,717.44,80959
2026-03-01,707.3,2741633,1486352,54.21,709.02,93671
2026-03-03,684.6,5964323,3790726,63.56,692.46,110983
2026-03-04,684.3,5413365,3588110,66.28,677.37,137673
2026-03-05,668.55,2997163,1867605,62.31,671.17,106013
2026-03-08,653.75,4330230,2718628,62.78,653.54,114496
2026-03-09,656.1,3547812,2233300,62.95,657.36,97824
2026-03-10,647.9,1336810,812187,60.76,650.83,65226
2026-03-11,645.7,3339906,2063760,61.79,643.75,113519
2026-03-12,625.75,3167065,2275397,71.85,631.11,83994
2026-03-15,626.0,2750363,1610646,58.56,625.12,111595
2026-03-16,642.3,3465318,1889816,54.54,637.68,84913
2026-03-17,643.35,2424345,1658323,68.4,644.0,88237
2026-03-18,633.5,1942109,991776,51.07,632.92,57295
2026-03-19,623.65,3012022,2008165,66.67,626.14,104614
2026-03-22,592.1,4223148,2730740,64.66,597.7,114800
2026-03-23,603.0,3644510,2293378,62.93,601.27,94330
2026-03-24,612.9,2915736,1804493,61.89,612.92,64807
2026-03-26,610.2,4422345,2770623,62.65,607.17,135245
2026-03-29,590.6,6294260,3206103,50.94,594.65,109725
2026-03-31,572.95,9823726,5858117,59.63,578.92,141231
2026-04-01,566.1,5837873,3194157,54.71,562.29,97820
2026-04-05,580.4,4333557,2549302,58.83,570.36,114862
2026-04-06,581.7,3550393,2550922,71.85,579.31,93512
2026-04-07,598.3,5911479,3863732,65.36,601.76,120848
2026-04-08,591.2,3912249,2444726,62.49,590.32,90445
2026-04-09,604.15,4385843,2754006,62.79,600.47,88562
2026-04-12,619.1,5549755,2279143,41.07,617.15,88924
2026-04-14,640.45,5737074,3457453,60.27,637.42,74981
2026-04-15,631.5,3022526,1343719,44.46,638.67,60985
2026-04-16,616.45,8161002,3205723,39.28,613.39,257133
2026-04-19,609.75,4980912,3199654,64.24,610.24,83695
2026-04-20,614.2,4800986,2756311,57.41,610.66,62898
2026-04-21,604.05,3995083,2554525,63.94,606.79,63581
2026-04-22,598.65,4485591,2529684,56.4,601.93,128612
2026-04-23,588.2,2806940,1400981,49.91,593.79,67683
2026-04-26,597.3,5548234,3245725,58.5,598.44,102316
2026-04-27,590.15,5604921,3798105,67.76,592.82,85226
2026-04-28,594.4,6869287,4689137,68.26,599.34,110298
2026-04-29,586.9,6234625,4166470,66.83,584.6,99463
2026-05-03,588.35,2591864,1455155,56.14,588.92,51373
