date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,5539.0,223771,129778,58.0,5539.61,29651
2025-11-03,5309.0,2003141,1190781,59.45,5321.81,149378
2025-11-05,5326.0,815323,550971,67.58,5345.55,64064
2025-11-06,5296.0,436406,260123,59.61,5292.0,43940
2025-11-09,5359.5,347961,179143,51.48,5372.28,36736
2025-11-10,5417.5,348232,213706,61.37,5400.37,30583
2025-11-11,5534.0,534031,343971,64.41,5509.22,58618
2025-11-12,5508.5,585663,347019,59.25,5541.66,43838
2025-11-13,5538.5,938647,366409,39.04,5569.23,75982
2025-11-16,5798.5,1770568,722471,40.8,5735.67,106357
2025-11-17,5799.5,1182455,622223,52.62,5828.82,94342
2025-11-18,5876.5,935374,480601,51.38,5871.99,90487
2025-11-19,5999.5,1276202,544440,42.66,6005.64,112822
2025-11-20,6002.5,703572,434992,61.83,6012.56,60268
2025-11-23,5982.0,1349305,1067364,79.1,5993.77,75874
2025-11-24,6081.5,707293,424050,59.95,6052.33,67035
2025-11-25,6136.5,452071,266381,58.92,6115.61,42548
2025-11-26,6151.0,352120,173398,49.24,6151.01,44991
2025-11-27,6174.5,504441,304238,60.31,6185.5,38092
2025-11-30,6295.5,912454,535291,58.66,6292.2,85245
2025-12-01,6270.5,809216,477771,59.04,6274.76,54786
2025-12-02,6211.5,543787,356974,65.65,6220.5,46794
2025-12-03,6340.0,883433,557912,63.15,6321.17,80180
2025-12-04,6350.5,651633,440525,67.6,6353.17,61541
2025-12-07,6167.0,707514,440128,62.21,6200.89,99397
2025-12-08,6001.0,1186776,722282,60.86,6024.28,108334
2025-12-09,5945.5,820197,529949,64.61,5956.02,81419
2025-12-10,5979.5,695094,472846,68.03,5975.61,54649
2025-12-11,5960.0,679186,492813,72.56,5975.04,41050
2025-12-14,5959.5,652031,426402,65.4,5935.46,83189
2025-12-15,5946.5,388048,255409,65.82,5951.09,61296
2025-12-16,5817.0,538205,333134,61.9,5837.66,80240
2025-12-17,5748.5,1016539,514742,50.64,5704.46,90707
2025-12-18,5781.0,769295,504720,65.61,5768.21,63636
2025-12-21,5699.5,1213460,923231,76.08,5712.6,83132
2025-12-22,5744.0,351302,177846,50.62,5730.63,46610
2025-12-23,5698.5,313655,180949,57.69,5715.44,40363
