date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,847.2,4885067,3015249,61.72,850.14,66793
2025-11-03,831.4,4673187,3222429,68.96,836.8,79751
2025-11-05,788.4,34786635,20910093,60.11,781.95,437565
2025-11-06,790.4,13189011,7180413,54.44,792.21,151709
2025-11-09,785.2,5914226,3439665,58.16,791.81,110041
2025-11-10,793.75,5411465,3478139,64.27,786.55,91238
2025-11-11,794.4,7589035,4111268,54.17,800.18,102206
2025-11-12,811.95,5854638,2275270,38.86,809.2,108299
2025-11-13,803.65,4113598,2200486,53.49,804.2,63881
2025-11-16,807.15,2770547,1448966,52.3,804.62,48348
2025-11-17,797.15,7299555,4192060,57.43,795.31,78293
2025-11-18,790.95,3005726,1606122,53.44,793.15,48318
2025-11-19,799.8,6016713,3511539,58.36,798.46,84874
2025-11-20,777.7,5099356,1785473,35.01,781.2,93718
2025-11-23,774.65,5666985,3471522,61.26,778.4,70403
2025-11-24,789.35,6090783,3378503,55.47,786.99,77831
2025-11-25,800.8,3842280,1851390,48.18,797.85,78514
2025-11-26,807.55,4481695,1905536,42.52,806.88,99252
2025-11-27,808.4,3200488,1604097,50.12,810.46,55873
2025-11-30,810.8,2064678,911552,44.15,812.09,54460
2025-12-01,806.85,4237151,2671243,63.04,806.83,67556
2025-12-02,816.3,4948661,2320807,46.9,811.12,86799
2025-12-03,810.8,3381601,1594189,47.14,817.06,65853
2025-12-04,823.25,4273147,2060267,48.21,822.17,69262
2025-12-07,819.45,4354685,2237701,51.39,824.7,85351
2025-12-08,812.9,3394966,1649119,48.58,812.04,89656
2025-12-09,821.75,5280811,2790186,52.84,824.61,83614
2025-12-10,824.35,3098584,1624455,52.43,825.21,63759
2025-12-11,852.1,8178645,4243194,51.88,845.2,116874
2025-12-14,847.85,2521938,1382159,54.81,849.01,77201
2025-12-15,837.15,2713249,1477045,54.44,836.91,71704
2025-12-16,848.8,3270389,1856837,56.78,847.16,68944
2025-12-17,856.7,4174631,2488063,59.6,855.1,75116
2025-12-18,852.0,4939377,2996064,60.66,853.5,98146
2025-12-21,864.55,4865457,2769107,56.91,866.96,119409
2025-12-22,863.85,5452783,3704838,67.94,866.28,86186
2025-12-23,864.45,3683590,1676474,45.51,870.87,73187
2025-12-25,872.9,2334952,807838,34.6,868.52,50870
2025-12-28,865.0,9836341,6049023,61.5,870.65,154397
2025-12-29,884.15,15280248,11887108,77.79,881.91,136760
2025-12-30,886.7,3539118,1934223,54.65,886.2,73629
2025-12-31,894.95,2566505,1308717,50.99,892.3,46878
2026-01-01,925.7,5357771,2381333,44.45,917.14,88481
2026-01-04,931.7,5278463,3394618,64.31,931.88,69732
2026-01-05,942.25,10369133,4194258,40.45,953.7,153998
2026-01-06,938.45,6555117,3880493,59.2,944.25,160428
2026-01-07,903.95,6266789,2841981,45.35,909.18,128126
2026-01-08,900.95,4320582,2200669,50.93,899.64,84223
2026-01-11,920.15,6884726,3783904,54.96,910.47,123729
2026-01-12,936.3,6868939,3934711,57.28,932.05,121474
2026-01-13,955.35,7050653,3564286,50.55,951.18,141736
2026-01-15,934.65,4037987,1969486,48.77,942.56,92108
2026-01-18,939.95,4007683,2248367,56.1,940.17,79779
2026-01-19,928.1,5709976,3466024,60.7,937.46,118673
2026-01-20,939.2,5590031,3486746,62.37,936.19,154444
2026-01-21,944.45,6165965,4045700,65.61,942.87,106913
2026-01-22,950.3,5958887,3399653,57.05,955.28,131500
2026-01-26,961.85,10009735,5300662,52.96,962.44,145927
2026-01-27,998.2,12615677,7414678,58.77,993.76,149922
2026-01-28,1024.05,14615261,8635653,59.09,1021.81,208376
2026-01-29,962.6,11977092,5827397,48.65,968.53,190659
2026-01-31,908.2,8740180,2303299,26.35,911.62,211460
2026-02-01,930.5,9659915,5809780,60.14,915.45,156569
2026-02-02,955.3,10099249,4757114,47.1,958.29,181824
2026-02-03,964.95,4388355,2669199,60.82,962.82,95960
2026-02-04,935.45,4580529,2089784,45.62,934.46,109455
2026-02-05,942.55,3830296,1961049,51.2,935.29,92223
2026-02-08,964.25,5294536,3267647,61.72,961.55,99650
2026-02-09,968.9,4101779,2276785,55.51,967.55,69629
2026-02-10,965.95,6275356,3592368,57.25,960.59,85295
2026-02-11,964.4,4557796,1966084,43.14,959.72,98771
2026-02-12,909.0,10170485,4185777,41.16,913.0,257593
2026-02-15,907.45,6943209,4214304,60.7,902.63,180837
2026-02-16,890.1,7099432,3589196,50.56,888.36,138467
2026-02-17,899.25,3909665,1686523,43.14,897.83,96778
2026-02-18,905.65,3522571,1120122,31.8,910.34,74120
2026-02-19,935.7,5855696,2550204,43.55,928.39,99944
2026-02-22,916.2,4932242,2065748,41.88,920.86,95945
2026-02-23,922.85,5179022,2858604,55.2,919.21,127560
2026-02-24,937.4,5288850,3087919,58.39,937.5,81790
2026-02-25,941.3,3075442,1731095,56.29,938.03,84303
2026-02-26,924.7,5418634,3565236,65.8,929.3,87660
2026-03-01,940.0,5573300,2287761,41.05,933.97,260917
2026-03-03,921.8,7575786,4018130,53.04,923.93,191248
2026-03-04,954.95,16533658,6031160,36.48,968.5,436862
2026-03-05,958.9,8295000,4668015,56.28,958.98,356279
2026-03-08,945.35,7016889,3568268,50.85,939.7,156578
2026-03-09,956.6,4839199,2215214,45.78,947.32,146791
2026-03-10,959.1,4456510,2103747,47.21,963.34,96388
2026-03-11,969.75,4664967,1971217,42.26,955.11,111401
2026-03-12,910.05,10347187,4101057,39.63,920.58,200113
2026-03-15,921.15,10755610,3930164,36.54,926.76,188055
2026-03-16,936.65,4862641,1862403,38.3,932.13,140887
2026-03-17,933.05,3906519,1716012,43.93,931.16,109355
2026-03-18,897.05,4733569,2185690,46.17,910.3,110745
2026-03-19,874.25,10063637,5362964,53.29,884.96,204546
2026-03-22,840.25,11372786,6723968,59.12,843.44,235268
2026-03-23,854.65,3526970,1431007,40.57,854.98,92652
2026-03-24,868.65,4491373,2574265,57.32,868.56,122595
2026-03-26,866.7,4104597,1992015,48.53,867.48,117278
2026-03-29,884.45,12727309,3233652,25.41,892.72,218987
2026-03-31,904.6,7777034,3731771,47.98,910.27,165407
2026-04-01,916.25,7698211,3921068,50.93,904.76,166021
2026-04-05,927.45,5555538,2809759,50.58,929.17,149218
2026-04-06,954.5,11877733,4827458,40.64,953.9,221283
2026-04-07,951.8,8174489,4064466,49.72,954.26,163768
2026-04-08,985.65,9386595,3535359,37.66,980.22,207843
2026-04-09,992.1,6013190,3172275,52.76,987.02,140881
2026-04-12,978.25,4754347,2165286,45.54,976.75,226021
2026-04-14,1011.45,11075349,6642699,59.98,1013.99,334145
2026-04-15,1039.9,10942179,6379840,58.31,1038.84,241982
2026-04-16,1039.0,4301884,2079220,48.33,1034.06,129379
2026-04-19,1015.25,4286182,2143543,50.01,1017.93,158862
2026-04-20,1021.65,3002043,1800831,59.99,1020.1,83943
2026-04-21,1039.9,4474181,2380288,53.2,1033.97,113436
2026-04-22,1041.35,4370028,2544891,58.24,1040.58,100678
2026-04-23,1048.35,4526003,2362484,52.2,1042.51,108467
2026-04-26,1061.8,4241483,2399329,56.57,1059.74,117483
2026-04-27,1074.3,7798496,5224193,66.99,1071.51,112532
2026-04-28,1067.2,3710080,2018478,54.41,1068.15,82284
2026-04-29,1038.0,4392857,2482621,56.51,1044.43,142802
2026-05-03,1042.7,3349359,1984710,59.26,1042.4,186708
2026-05-04,1054.7,4580696,2545851,55.58,1049.67,182561
2026-05-05,1045.8,5336857,3225624,60.44,1056.49,171118
2026-05-06,1055.7,4290514,2724663,63.5,1054.37,104888
2026-05-07,1044.4,3065690,1805930,58.91,1044.56,71715
2026-05-10,1023.5,3746752,2353652,62.82,1030.75,118921
2026-05-11,1041.4,4323348,2089150,48.32,1043.34,135246
2026-05-12,1073.1,5341453,2266197,42.43,1069.25,141401
2026-05-13,1103.3,4920811,2561005,52.04,1097.45,92471
2026-05-14,1067.5,6800905,4037718,59.37,1075.04,140520
