date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,2460.0,1049185,565700,53.92,2456.93,48953
2025-11-03,2445.7,1251588,667798,53.36,2448.66,69387
2025-11-05,2436.0,1329256,796575,59.93,2442.42,86424
2025-11-06,2414.0,817896,511000,62.48,2415.47,55901
2025-11-09,2408.8,780558,513198,65.75,2412.28,67685
2025-11-10,2427.5,1422399,617058,43.38,2420.73,78852
2025-11-11,2424.5,1680827,1266967,75.38,2423.71,106929
2025-11-12,2407.6,1256059,770108,61.31,2416.6,69811
2025-11-13,2427.7,975973,654771,67.09,2420.64,59056
2025-11-16,2425.0,920038,624228,67.85,2423.25,63161
2025-11-17,2404.0,1229034,781183,63.56,2408.49,54505
2025-11-18,2441.6,1465143,754532,51.5,2439.89,60539
2025-11-19,2428.4,1396929,854581,61.18,2438.84,82178
2025-11-20,2433.7,1840712,1329910,72.25,2427.38,70142
2025-11-23,2424.2,4092327,3159344,77.2,2426.19,80146
2025-11-24,2414.1,1240672,721702,58.17,2416.92,86768
2025-11-25,2425.2,1242683,819776,65.97,2422.02,80197
2025-11-26,2451.7,1872248,1286892,68.74,2449.98,87101
2025-11-27,2466.6,973225,682232,70.1,2463.35,51567
2025-11-30,2464.5,1924828,1238552,64.35,2474.65,66030
2025-12-01,2477.8,2179406,1628850,74.74,2474.16,95719
2025-12-02,2448.0,3535932,2316586,65.52,2454.52,131931
2025-12-03,2462.2,2587753,1741802,67.31,2461.53,116175
2025-12-04,2338.6,4008271,2726779,68.03,2346.41,135326
2025-12-07,2314.0,1898154,1403835,73.96,2322.65,72452
2025-12-08,2306.5,1471488,701820,47.69,2311.49,70079
2025-12-09,2301.7,2857290,2402404,84.08,2302.04,98617
2025-12-10,2305.6,1108032,784327,70.79,2303.36,77354
2025-12-11,2260.6,3203114,2217934,69.24,2262.88,144063
2025-12-14,2293.5,1274115,714555,56.08,2284.78,89211
2025-12-15,2281.1,1256042,715055,56.93,2290.18,82714
2025-12-16,2275.6,808100,526347,65.13,2276.43,63322
2025-12-17,2265.5,1057295,644791,60.98,2266.63,54095
2025-12-18,2280.0,1237214,897503,72.54,2278.62,53549
2025-12-21,2289.5,790773,505780,63.96,2289.08,56057
2025-12-22,2302.6,1128801,488528,43.28,2298.55,61566
2025-12-23,2282.2,519380,280069,53.92,2289.59,38856
2025-12-25,2285.4,533626,371695,69.65,2283.65,33805
2025-12-28,2293.3,1086695,814552,74.96,2289.7,40468
2025-12-29,2290.2,1556717,1160015,74.52,2290.49,71285
2025-12-30,2315.9,1324220,919058,69.4,2314.36,52630
2025-12-31,2323.0,758866,459415,60.54,2312.95,39091
2026-01-01,2348.0,973413,648298,66.6,2343.2,39595
2026-01-04,2384.1,1344113,792591,58.97,2378.38,63047
2026-01-05,2424.7,1584720,850842,53.69,2407.71,64572
2026-01-06,2399.4,892690,603242,67.58,2402.49,56790
2026-01-07,2386.7,1163828,633764,54.46,2396.25,80271
2026-01-08,2372.6,1189464,658472,55.36,2373.49,61161
2026-01-11,2406.2,1057665,525027,49.64,2390.65,73600
2026-01-12,2389.5,1519683,595179,39.16,2385.94,68250
2026-01-13,2353.5,1027639,574246,55.88,2355.17,64963
2026-01-15,2360.4,1367606,877490,64.16,2360.23,64501
2026-01-18,2413.9,1505238,808174,53.69,2402.31,85339
2026-01-19,2379.1,1460806,668064,45.73,2411.71,95533
2026-01-20,2368.0,1020245,524209,51.38,2380.73,65784
2026-01-21,2390.6,1745964,985012,56.42,2381.03,79675
2026-01-22,2409.5,1378097,705826,51.22,2416.59,71915
2026-01-26,2400.9,2060117,1120613,54.4,2401.47,96373
2026-01-27,2378.4,1797593,1124243,62.54,2371.32,95846
2026-01-28,2352.6,1478536,808374,54.67,2342.89,68266
2026-01-29,2373.0,2090462,1273259,60.91,2369.02,79742
2026-01-31,2350.7,780378,436554,55.94,2352.51,35338
2026-02-01,2357.3,1375089,763524,55.53,2337.79,71449
2026-02-02,2368.6,1553270,685340,44.12,2369.65,84203
2026-02-03,2371.0,1232755,810143,65.72,2373.04,53649
2026-02-04,2354.4,1962066,1181657,60.23,2378.06,83304
2026-02-05,2424.2,1421995,826704,58.14,2396.47,87368
2026-02-08,2435.0,958484,529906,55.29,2424.79,51331
2026-02-09,2453.6,792532,374284,47.23,2446.37,48233
2026-02-10,2462.9,1137856,710225,62.42,2462.38,56393
2026-02-11,2409.7,4656164,1348434,28.96,2410.74,222978
2026-02-12,2305.2,2791519,1489677,53.36,2334.2,123670
2026-02-15,2319.0,2036833,1224914,60.14,2310.73,77469
2026-02-16,2312.3,1233244,830699,67.36,2311.79,54398
2026-02-17,2323.5,830787,534231,64.3,2318.07,49162
2026-02-18,2279.3,940180,412424,43.87,2298.01,69486
2026-02-19,2314.5,1716316,1024786,59.71,2315.18,43733
2026-02-22,2345.4,1300035,781116,60.08,2338.97,53416
2026-02-23,2358.6,1544803,899933,58.26,2358.14,63566
2026-02-24,2374.9,1158620,762889,65.84,2368.34,63805
2026-02-25,2383.3,1470677,961598,65.38,2373.79,80564
2026-02-26,2338.1,3053227,2231242,73.08,2342.97,94884
2026-03-01,2320.6,2273224,1146334,50.43,2313.19,162389
2026-03-03,2261.3,2648737,1734781,65.49,2284.98,139227
2026-03-04,2255.0,1751288,955897,54.58,2245.23,148905
2026-03-05,2225.7,1674258,1089906,65.1,2229.55,134825
2026-03-08,2194.6,1512817,936892,61.93,2188.02,90048
2026-03-09,2190.2,1084986,539399,49.71,2192.48,84905
2026-03-10,2161.4,1313256,776182,59.1,2168.4,111697
2026-03-11,2136.9,1791973,1007989,56.25,2130.18,107326
2026-03-12,2160.0,2298875,1095695,47.66,2165.91,113184
2026-03-15,2175.7,1981511,1250939,63.13,2172.66,81380
2026-03-16,2158.2,1705956,1006869,59.02,2158.64,96887
2026-03-17,2135.3,2441148,1734779,71.06,2144.12,91203
2026-03-18,2077.3,2098905,1275284,60.76,2089.58,127166
2026-03-19,2082.7,2429744,1641208,67.55,2084.35,96599
2026-03-22,2052.2,2599535,1668199,64.17,2057.46,167567
2026-03-23,2085.0,1702418,948416,55.71,2087.97,74728
2026-03-24,2134.8,2069217,1326703,64.12,2135.29,140711
2026-03-26,2074.4,2789151,1861655,66.75,2089.51,121199
2026-03-29,2055.2,2482193,1088666,43.86,2056.87,78854
2026-03-31,2064.7,2028470,1259348,62.08,2073.58,65838
2026-04-01,2065.3,1431905,759524,53.04,2046.66,85859
2026-04-05,2084.8,1661298,975053,58.69,2070.65,70054
2026-04-06,2110.6,2709707,1558424,57.51,2080.65,104674
2026-04-07,2145.6,3794437,2303116,60.7,2157.4,101272
2026-04-08,2133.2,2506245,1418603,56.6,2133.19,80714
2026-04-09,2155.3,2144484,1327654,61.91,2152.87,71708
2026-04-12,2127.2,1994541,1101202,55.21,2127.61,70581
2026-04-14,2157.6,1552971,958318,61.71,2159.24,74946
2026-04-15,2139.1,1845734,1044651,56.6,2141.57,65871
2026-04-16,2240.8,4882697,2836702,58.1,2226.83,127443
2026-04-19,2231.5,1460822,820400,56.16,2238.83,53168
2026-04-20,2310.7,3217281,2003215,62.26,2287.07,85041
2026-04-21,2368.8,5558325,3488477,62.76,2371.26,189123
2026-04-22,2366.4,2063531,1193110,57.82,2372.1,86597
2026-04-23,2327.3,1676706,972770,58.02,2324.24,86343
2026-04-26,2328.3,1099681,602597,54.8,2338.25,59062
2026-04-27,2289.5,1629120,944223,57.96,2303.11,63289
2026-04-28,2314.4,1778765,1034365,58.15,2321.41,70684
2026-04-29,2250.9,4434979,1433314,32.32,2280.18,232691
2026-05-03,2309.3,2554255,1105244,43.27,2327.93,139746
2026-05-04,2327.4,1741424,1002965,57.59,2317.37,73949
2026-05-05,2317.1,1196175,562736,47.04,2306.6,70484
2026-05-06,2272.2,1859012,1015507,54.63,2281.47,100620
2026-05-07,2287.7,1104526,640761,58.01,2284.18,63218
2026-05-10,2307.2,1903862,1171665,61.54,2300.47,69049
2026-05-11,2262.0,983506,503163,51.16,2280.53,72303
2026-05-12,2267.3,1308559,691910,52.88,2273.56,68289
2026-05-13,2248.7,1380764,875529,63.41,2257.02,72439
2026-05-14,2272.2,1038522,523538,50.41,2277.53,61228
