date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1346.4,11071450,6986020,63.1,1344.89,301531
2025-11-03,1336.9,15211183,9647498,63.42,1337.49,276007
2025-11-05,1320.4,24221853,17512617,72.3,1324.61,368806
2025-11-06,1343.0,7719245,5017225,65.0,1337.7,149776
2025-11-09,1348.0,8542340,6119354,71.64,1345.91,155442
2025-11-09,1332.0,141886,0,,1332.0,1
2025-11-10,1358.3,8305184,5315504,64.0,1354.89,208140
2025-11-11,1358.9,9736761,6821183,70.06,1361.79,168204
2025-11-12,1385.9,18296626,13863137,75.77,1383.47,239327
2025-11-13,1373.0,9694498,6715125,69.27,1370.92,190956
2025-11-16,1379.0,7660717,5884501,76.81,1378.91,109085
2025-11-17,1379.0,9467387,0,,1379.0,1
2025-11-17,1373.4,9529560,5696159,59.77,1374.73,143242
2025-11-18,1383.1,10393918,8255745,79.43,1379.61,152320
2025-11-19,1383.0,10131863,6088338,60.09,1381.32,199484
2025-11-20,1369.5,11483595,8258055,71.91,1369.27,171633
2025-11-23,1368.4,15896003,10497061,66.04,1369.72,192513
2025-11-24,1357.8,12235000,6815799,55.71,1362.23,217159
2025-11-25,1375.0,9659004,6155439,63.73,1369.92,140169
2025-11-26,1392.2,15158741,10606393,69.97,1388.89,232290
2025-11-27,1388.8,7683986,5935156,77.24,1390.33,198302
2025-11-30,1390.1,8867593,6105611,68.85,1393.22,225630
2025-12-01,1373.0,12126396,7884547,65.02,1374.68,335552
2025-12-02,1391.5,7955933,5349782,67.24,1383.0,182044
2025-12-03,1386.7,7373909,5194119,70.44,1385.21,189163
2025-12-04,1392.5,4942638,3022563,61.15,1390.49,130513
2025-12-07,1389.6,7826227,5253093,67.12,1388.87,177670
2025-12-08,1375.2,10492030,6508576,62.03,1377.4,175866
2025-12-09,1361.0,1094092,0,,1361.0,1
2025-12-09,1363.6,8725381,6617328,75.84,1366.49,164913
2025-12-10,1360.0,6734750,4575945,67.95,1360.4,166103
2025-12-11,1366.0,3890885,2917482,74.98,1366.43,113064
2025-12-14,1365.2,5342530,3570527,66.83,1364.54,267792
2025-12-15,1366.0,12359741,5395046,43.65,1363.69,345540
2025-12-16,1352.4,9440391,5714275,60.53,1350.59,199498
2025-12-17,1356.8,7314573,3541972,48.42,1360.11,207464
2025-12-18,1354.1,14318512,11321180,79.07,1354.21,224715
2025-12-21,1368.5,9375294,5879943,62.72,1365.67,204189
2025-12-22,1363.0,9105467,4435940,48.72,1361.81,231134
2025-12-23,1359.8,8955140,4398930,49.12,1362.26,163168
2025-12-25,1350.4,2812144,1854240,65.94,1353.25,92194
2025-12-28,1343.3,6057201,3788268,62.54,1346.07,145962
2025-12-29,1342.5,18621277,12833261,68.92,1341.94,261375
2025-12-30,1342.9,6150634,3809816,61.94,1344.37,133779
2025-12-31,1338.0,4179311,1320425,31.59,1340.3,92659
2026-01-01,1355.4,8226205,5710169,69.41,1348.97,123080
2026-01-04,1371.5,6920565,4515341,65.25,1369.03,251280
2026-01-05,1411.2,17260416,11908090,68.99,1404.16,338562
2026-01-06,1427.7,15813795,12127276,76.69,1421.98,263196
2026-01-07,1435.0,14861699,10579816,71.19,1435.94,290412
2026-01-08,1404.3,12555636,8994277,71.64,1407.82,176569
2026-01-11,1413.1,10923811,7393741,67.68,1409.1,213429
2026-01-12,1437.0,14295581,7660517,53.59,1432.77,324654
2026-01-13,1418.4,13832255,7806913,56.44,1425.59,258446
2026-01-15,1410.8,12530886,8685738,69.31,1413.4,310123
2026-01-18,1380.6,23302883,15034912,64.52,1374.22,443246
