date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,796.9,2640561,1478025,55.97,797.55,50593
2025-11-03,790.2,3505823,2318554,66.13,792.59,29260
2025-11-05,786.2,2640541,1147075,43.44,786.17,51742
2025-11-06,797.25,2079256,1020231,49.07,791.25,33393
2025-11-09,799.35,1894738,961263,50.73,800.12,39320
2025-11-10,826.1,7150449,2836222,39.66,820.11,117860
2025-11-11,864.4,11714519,4567293,38.99,856.31,147424
2025-11-12,863.45,9325204,3766545,40.39,875.72,136126
2025-11-13,848.25,4460991,1797590,40.3,856.73,93390
2025-11-16,854.05,4019335,1738320,43.25,852.87,64960
2025-11-17,847.95,1958051,1040149,53.12,850.34,36259
2025-11-18,839.6,2317710,1154318,49.8,841.61,39143
2025-11-19,829.4,5136903,3280853,63.87,833.38,73546
2025-11-20,846.55,7304707,3109200,42.56,844.71,113258
2025-11-23,836.05,5082933,2916356,57.38,843.41,72632
2025-11-24,839.9,3021941,1448055,47.92,837.09,57064
2025-11-25,850.7,2939823,1482599,50.43,852.67,63886
2025-11-26,857.45,3016014,1389974,46.09,855.45,84761
2025-11-27,858.55,2901007,1395653,48.11,857.54,66685
2025-11-30,847.15,3019328,1843832,61.07,850.14,64965
2025-12-01,850.3,2674933,1805086,67.48,851.17,47641
2025-12-02,846.9,2063761,1056327,51.18,848.24,41693
2025-12-03,863.0,4259999,1917844,45.02,864.43,81553
2025-12-04,870.1,3377823,1566715,46.38,864.89,91700
2025-12-07,841.4,2015558,953910,47.33,847.34,46022
2025-12-08,844.35,3015385,1807666,59.95,842.62,53973
2025-12-09,833.85,2623610,1374485,52.39,838.72,44325
2025-12-10,835.55,2810755,1434926,51.05,835.79,40890
2025-12-11,846.15,3492109,1961320,56.16,844.94,68805
2025-12-14,851.25,2458486,1438780,58.52,846.68,52251
2025-12-15,845.05,2811166,1446415,51.45,846.11,55942
2025-12-16,833.85,3107473,1460559,47.0,835.61,64857
2025-12-17,834.9,1537403,574093,37.34,833.85,26070
2025-12-18,844.7,7000947,5121053,73.15,843.2,43168
2025-12-21,856.4,2387606,1232996,51.64,855.77,61375
2025-12-22,849.9,1628642,800309,49.14,851.99,32720
2025-12-23,848.05,1947886,807150,41.44,850.98,33964
2025-12-25,849.85,4257972,2243041,52.68,852.34,48050
2025-12-28,839.6,1907670,1049877,55.03,843.86,37668
2025-12-29,841.5,4409838,2501746,56.73,839.49,81270
2025-12-30,864.2,2887744,1280445,44.34,860.16,43833
2025-12-31,890.2,4244931,1936096,45.61,883.1,64814
2026-01-01,902.45,6250730,3372822,53.96,902.96,76209
2026-01-04,899.95,2521435,1260650,50.0,902.27,44379
2026-01-05,914.25,8308942,4358973,52.46,913.56,85273
2026-01-06,897.85,2952528,1183711,40.09,903.24,51119
2026-01-07,883.45,3567518,1785711,50.05,884.74,49688
2026-01-08,882.25,2515780,1284070,51.04,884.28,42981
2026-01-11,905.45,4015935,2155033,53.66,894.25,97999
2026-01-12,910.55,3958844,2606116,65.83,903.72,44062
2026-01-13,944.5,11559313,6899785,59.69,940.66,214074
2026-01-15,953.85,10345071,6914922,66.84,951.55,125599
2026-01-18,949.8,5455304,3537857,64.85,950.45,123782
2026-01-19,905.15,6701234,3326658,49.64,917.21,88099
2026-01-20,907.15,3567143,1301359,36.48,906.86,66365
2026-01-21,902.45,2338485,1032681,44.16,902.56,43830
2026-01-22,892.45,5907525,3228190,54.65,905.67,74776
2026-01-26,894.75,8419598,3520688,41.82,879.62,160713
2026-01-27,901.7,2982683,1593270,53.42,892.59,82303
2026-01-28,898.4,4382116,2412336,55.05,897.54,55136
2026-01-29,896.1,2867342,1649675,57.53,896.15,62269
2026-01-31,895.6,2530553,1061273,41.94,893.06,37023
2026-02-01,910.25,3762702,2250559,59.81,902.17,56762
2026-02-02,922.4,9608114,4595002,47.82,938.94,86650
2026-02-03,921.3,2883259,1789366,62.06,923.64,54479
2026-02-04,914.4,2552518,1266272,49.61,910.71,72560
2026-02-05,903.6,2711855,1480029,54.58,900.68,77280
2026-02-08,927.9,6863941,4511096,65.72,925.8,96754
2026-02-09,927.6,2768617,1821151,65.78,926.73,33835
2026-02-10,925.0,2473671,1637523,66.2,922.95,37787
2026-02-11,922.7,3082642,1633541,52.99,927.74,59635
2026-02-12,926.05,2860622,1621038,56.67,919.11,51986
2026-02-15,931.9,2098887,991560,47.24,926.22,38029
2026-02-16,943.8,6284594,4184854,66.59,944.22,70496
2026-02-17,944.65,3474257,2344099,67.47,942.53,53838
2026-02-18,927.35,2641817,1682735,63.7,936.1,37890
2026-02-19,926.05,6462199,3714834,57.49,937.37,71214
2026-02-22,919.75,4217172,2401608,56.95,920.06,93485
2026-02-23,931.4,3079572,1349103,43.81,926.55,62431
2026-02-24,937.35,1173030,615274,52.45,937.07,42422
2026-02-25,964.6,8974624,5443370,60.65,955.73,109784
2026-02-26,956.75,3745120,2261631,60.39,958.25,72763
2026-03-01,942.5,1568186,485932,30.99,944.72,37948
2026-03-03,927.55,2527046,1038597,41.1,927.16,52403
2026-03-04,937.2,1949212,741565,38.04,937.01,51503
2026-03-05,917.85,1153433,409265,35.48,931.65,33188
2026-03-08,881.2,3362985,1575661,46.85,879.47,66763
2026-03-09,898.7,4547967,2412285,53.04,895.76,94859
2026-03-10,877.15,2754525,1258944,45.7,889.65,65120
2026-03-11,831.35,7514347,2802107,37.29,838.99,142722
2026-03-12,814.4,5606889,2456569,43.81,813.69,91201
2026-03-15,825.05,3107008,1388823,44.7,820.97,61549
2026-03-16,820.85,3713235,2032631,54.74,816.1,89282
2026-03-17,842.15,4695600,2158140,45.96,833.71,91302
2026-03-18,816.3,5080824,2455212,48.32,820.82,93424
2026-03-19,818.6,7872290,4694954,59.64,821.76,93409
2026-03-22,778.35,7448050,4470263,60.02,788.76,139253
2026-03-23,797.25,6347812,2966309,46.73,787.47,189511
2026-03-24,818.4,3095936,1104505,35.68,820.8,61494
2026-03-26,792.55,6211886,3475584,55.95,794.34,123941
2026-03-29,752.45,7093604,2943496,41.5,760.6,192608
2026-03-31,785.65,4336917,2264389,52.21,782.27,59606
2026-04-01,778.7,2481604,1103540,44.47,765.14,50512
2026-04-05,786.2,2512596,701909,27.94,773.19,50423
2026-04-06,784.8,1165539,341556,29.3,780.08,32734
2026-04-07,835.95,3572416,1579441,44.21,831.87,65851
2026-04-08,814.55,2531440,882251,34.85,820.04,51362
2026-04-09,830.9,1509168,468587,31.05,828.89,32763
2026-04-12,818.9,1555260,420480,27.04,814.19,38290
2026-04-14,840.1,3272348,1624917,49.66,838.47,53208
2026-04-15,847.9,3785293,1534583,40.54,847.21,54150
2026-04-16,853.9,1850548,804953,43.5,849.3,35638
2026-04-19,851.95,2453075,1215820,49.56,850.56,46471
2026-04-20,856.4,975223,355207,36.42,860.08,20046
2026-04-21,870.1,2253573,1102557,48.92,867.46,34183
2026-04-22,860.35,1561128,667316,42.75,861.39,39563
2026-04-23,847.95,1453183,500658,34.45,849.69,36973
2026-04-26,900.15,11254307,5356619,47.6,888.7,165285
2026-04-27,885.55,5748485,3727765,64.85,889.4,70832
2026-04-28,913.75,3485256,1226500,35.19,913.73,63189
2026-04-29,916.05,3438569,1573394,45.76,910.04,61423
2026-05-03,913.9,1973688,884189,44.8,926.92,58374
2026-05-04,910.7,2006111,1051102,52.4,911.73,62770
2026-05-05,946.75,2901974,1554602,53.57,932.06,58335
2026-05-06,946.95,2007411,922800,45.97,945.08,64347
2026-05-07,950.75,1604266,801676,49.97,948.25,41514
2026-05-10,922.3,1584134,533565,33.68,926.27,51419
2026-05-11,892.85,1374763,509347,37.05,899.7,44291
2026-05-12,892.5,1428120,695680,48.71,899.87,67264
2026-05-13,907.9,1862991,760629,40.83,904.99,48135
2026-05-14,886.4,1437283,563782,39.23,895.21,38836
