date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1485.5,5470600,3175928,58.05,1482.11,166500
2025-11-03,1467.9,8691330,6004186,69.08,1470.61,250131
2025-11-05,1466.7,7944752,5296745,66.67,1471.99,288667
2025-11-06,1476.8,8765759,5814986,66.34,1466.5,254091
2025-11-09,1513.5,9787975,5871349,59.99,1510.83,223666
2025-11-10,1530.3,13692989,9354527,68.32,1523.87,255611
2025-11-11,1551.7,14635417,10902389,74.49,1551.22,394127
2025-11-12,1541.8,19655689,15342199,78.05,1546.18,384451
2025-11-13,1502.8,9739549,5702326,58.55,1502.86,236102
2025-11-16,1507.6,7910354,4894475,61.87,1502.37,271436
2025-11-17,1486.4,7525119,3499941,46.51,1489.33,164811
2025-11-18,1541.1,10981126,5416586,49.33,1531.48,212749
2025-11-19,1536.5,7387584,3669775,49.67,1539.6,174272
2025-11-20,1545.0,9186302,6477046,70.51,1543.83,227357
2025-11-23,1548.0,19270381,11831028,61.39,1558.71,267249
2025-11-24,1530.6,8107952,4456829,54.97,1532.04,170664
2025-11-25,1557.9,7575038,4546624,60.02,1550.71,122796
2025-11-26,1566.4,7552252,4672092,61.86,1563.46,168875
2025-11-27,1560.1,4453221,2581298,57.96,1561.93,115190
2025-11-30,1564.0,5341800,3036715,56.85,1564.42,189364
2025-12-01,1561.0,6335969,3350493,52.88,1564.22,243238
2025-12-02,1578.7,12895312,8287934,64.27,1574.15,339751
2025-12-03,1597.6,12609619,7983181,63.31,1591.52,325755
2025-12-04,1616.2,10344725,6276473,60.67,1617.78,327955
2025-12-07,1610.8,7550413,4714448,62.44,1616.8,302234
2025-12-08,1599.0,6957599,3500119,50.31,1596.28,156650
2025-12-09,1584.8,5116140,3515380,68.71,1590.84,191185
2025-12-10,1598.0,5159319,2549319,49.41,1592.84,154906
2025-12-11,1598.2,4633912,3098128,66.86,1593.93,144042
2025-12-14,1606.8,4190558,2678830,63.93,1603.88,163737
2025-12-15,1592.9,5499258,2734561,49.73,1591.77,220591
2025-12-16,1602.0,4817628,2477747,51.43,1600.21,155044
2025-12-17,1626.8,6577293,3452858,52.5,1623.68,288341
2025-12-18,1638.7,13149023,8571381,65.19,1640.02,201281
2025-12-21,1689.6,23098923,17433819,75.47,1682.86,412335
2025-12-22,1668.3,6593060,2882141,43.71,1666.35,228310
2025-12-23,1663.4,4271167,1654750,38.74,1660.54,142602
2025-12-25,1656.1,2006491,1136350,56.63,1657.89,97220
2025-12-28,1644.7,4062817,2063179,50.78,1647.3,103013
2025-12-29,1621.6,9395937,6731182,71.64,1625.72,150131
2025-12-30,1615.4,6538656,4819875,73.71,1616.58,102413
2025-12-31,1629.8,3658165,1356702,37.09,1630.77,96560
2026-01-01,1640.4,2524526,1586098,62.83,1638.65,86514
2026-01-04,1606.4,5917885,3120876,52.74,1602.81,220171
2026-01-05,1612.2,4466729,2559970,57.31,1612.25,132512
2026-01-06,1639.0,4508079,2395056,53.13,1633.23,129457
2026-01-07,1613.3,3942131,1942792,49.28,1619.65,130780
2026-01-08,1614.1,6816681,4725239,69.32,1616.35,131498
2026-01-11,1595.9,6985362,4891397,70.02,1599.67,210446
2026-01-12,1599.0,8080618,3987983,49.35,1595.24,176411
2026-01-13,1599.8,7557157,4015848,53.14,1598.47,157399
2026-01-15,1689.8,19335957,10328756,53.42,1679.42,404792
2026-01-18,1681.2,5104958,2976398,58.3,1678.98,144195
2026-01-19,1658.9,6406503,3375861,52.69,1664.2,190297
2026-01-20,1654.4,6224582,3365346,54.07,1648.33,195264
2026-01-21,1663.5,6228892,3191901,51.24,1661.08,184046
2026-01-22,1670.8,5869137,3940873,67.15,1668.83,152342
2026-01-26,1682.7,10673087,7217960,67.63,1679.04,223960
2026-01-27,1666.5,8588664,5218768,60.76,1662.8,180512
2026-01-28,1659.5,4749582,2167216,45.63,1655.78,159472
2026-01-29,1641.0,9207926,6283488,68.24,1634.5,167212
2026-01-31,1654.5,6241188,2534721,40.61,1643.3,156229
2026-02-01,1629.4,6784887,4284565,63.15,1631.44,221651
2026-02-02,1656.0,8805868,4693760,53.3,1673.77,213721
2026-02-03,1535.8,28828622,15615829,54.17,1539.37,708823
2026-02-04,1520.2,10628127,5571534,52.42,1528.44,321300
2026-02-05,1507.1,13900866,8307735,59.76,1500.77,378234
2026-02-08,1497.2,8294615,5553334,66.95,1501.27,217667
2026-02-09,1497.8,8657000,4028941,46.54,1501.34,193569
2026-02-10,1471.9,7934411,4381775,55.22,1482.71,215446
2026-02-11,1386.0,26048896,14378387,55.2,1398.59,697120
2026-02-12,1369.1,45785709,20879125,45.6,1335.86,866417
2026-02-15,1365.6,14621891,6886286,47.1,1350.57,265381
2026-02-16,1391.2,25347684,8513708,33.59,1405.93,437387
2026-02-17,1373.7,20241373,9098442,44.95,1366.92,332674
2026-02-18,1370.5,14574228,5899630,40.48,1385.83,284487
2026-02-19,1353.2,12633552,5753712,45.54,1354.72,228342
2026-02-22,1327.5,12887826,6902219,53.56,1330.99,298012
2026-02-23,1275.5,27839061,15953772,57.31,1277.7,675579
2026-02-24,1290.1,16669618,7719120,46.31,1302.76,282845
2026-02-25,1289.1,11493914,4428173,38.53,1296.59,218393
2026-02-26,1300.1,23141724,14652215,63.32,1304.82,252495
2026-03-01,1288.9,9700361,3364327,34.68,1286.79,273789
2026-03-03,1307.4,15154950,7784554,51.37,1305.61,300021
2026-03-04,1305.8,10362147,4769562,46.03,1301.28,191689
2026-03-05,1308.4,8724291,4657152,53.38,1313.84,178932
2026-03-08,1315.0,10068514,5364924,53.28,1300.34,219959
2026-03-09,1295.6,9600171,2782988,28.99,1295.54,233660
2026-03-10,1276.3,7868891,3601915,45.77,1283.2,199350
2026-03-11,1265.8,7599940,3360894,44.22,1268.31,246055
2026-03-12,1248.3,7366098,3476334,47.19,1253.62,219682
2026-03-15,1249.8,12314450,6170064,50.1,1240.47,229608
2026-03-16,1232.9,11223276,5064325,45.12,1231.34,310645
2026-03-17,1267.1,12365381,6063376,49.04,1273.96,250603
2026-03-18,1220.8,9156461,3927850,42.9,1229.3,216034
2026-03-19,1255.9,27299975,13670533,50.08,1252.63,284225
2026-03-22,1256.8,12420293,7350402,59.18,1250.8,307309
2026-03-23,1278.3,13613495,7579038,55.67,1281.37,318400
2026-03-24,1279.1,10824030,5551632,51.29,1280.38,214173
2026-03-26,1269.7,13092541,6653171,50.82,1275.47,254408
2026-03-29,1250.6,14108486,6991018,49.55,1252.83,186753
2026-03-31,1275.7,8137156,3325634,40.87,1285.76,165242
2026-04-01,1300.8,12873492,5472993,42.51,1285.35,270496
2026-04-05,1306.2,10208682,6063879,59.4,1308.79,178362
2026-04-06,1339.4,15355792,7561995,49.25,1329.8,286203
2026-04-07,1346.2,16030133,8577549,53.51,1344.07,358674
2026-04-08,1331.6,14894607,6880666,46.2,1325.55,253395
2026-04-09,1292.5,19233369,10137268,52.71,1292.69,400593
2026-04-12,1276.8,10366082,3488997,33.66,1274.61,239931
2026-04-14,1305.3,12098912,6397523,52.88,1307.53,244777
2026-04-15,1319.2,18527029,7627528,41.17,1318.24,257560
2026-04-16,1318.7,12064048,7221032,59.86,1314.73,259325
2026-04-19,1312.6,7172300,3764728,52.49,1315.09,247560
2026-04-20,1313.2,10057440,4226621,42.02,1313.32,258765
2026-04-21,1268.6,20088378,10962883,54.57,1269.3,477139
2026-04-22,1240.6,14792854,7821073,52.87,1250.48,301379
2026-04-23,1154.6,42078914,24267713,57.67,1176.27,853322
2026-04-26,1170.3,19579883,12726126,65.0,1172.14,369480
2026-04-27,1152.1,12720276,6123998,48.14,1155.41,324704
2026-04-28,1167.5,8303109,4421835,53.26,1170.79,195759
2026-04-29,1181.8,12205669,5251658,43.03,1178.22,274308
2026-05-03,1168.4,7735811,4258976,55.06,1175.3,192293
2026-05-04,1178.1,8164108,3179505,38.94,1174.9,162395
2026-05-05,1167.2,9856963,5753750,58.37,1172.21,202253
2026-05-06,1162.7,12013987,6795220,56.56,1166.46,193359
2026-05-07,1179.2,7582770,4285714,56.52,1174.01,148760
2026-05-10,1177.0,7336288,4503512,61.39,1180.51,154970
2026-05-11,1140.3,16891948,8694986,51.47,1137.2,359355
2026-05-12,1123.1,6664111,3533941,53.03,1128.99,229143
2026-05-13,1095.0,16914842,9437024,55.79,1098.25,561427
2026-05-14,1119.0,17482450,10852181,62.07,1120.63,243995
