date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,413.95,7635440,4411700,57.78,415.71,168846
2025-11-03,408.9,10085404,6914720,68.56,410.16,140114
2025-11-05,407.5,10095563,6152789,60.95,408.26,146248
2025-11-06,404.05,8411611,5916918,70.34,405.13,92747
2025-11-09,405.55,6650003,4213671,63.36,405.75,128591
2025-11-10,406.85,12005318,8058840,67.13,406.29,97321
2025-11-11,407.0,7987236,5007110,62.69,406.82,107940
2025-11-12,405.7,6617185,3931292,59.41,406.31,90395
2025-11-13,408.15,64020258,56149205,87.71,401.39,151924
2025-11-16,407.1,7855399,4851834,61.76,407.38,114679
2025-11-17,407.1,47551346,0,,407.1,1
2025-11-17,405.85,7661681,3931926,51.32,405.64,92029
2025-11-18,403.55,7882450,5063831,64.24,403.68,134281
2025-11-19,405.45,6693410,3948834,59.0,405.55,108333
2025-11-20,407.85,5808131,3897974,67.11,407.28,92059
2025-11-23,403.55,11037491,8719220,79.0,404.39,128280
2025-11-24,400.8,8199785,5192578,63.33,402.29,114076
2025-11-25,402.3,11443953,7833650,68.45,402.6,107847
2025-11-26,404.3,8679529,5374198,61.92,403.22,105551
2025-11-27,404.25,6883500,4628335,67.24,403.67,104754
2025-11-30,404.25,13442658,7121279,52.98,402.48,204438
2025-12-01,400.95,8093808,4660483,57.58,401.68,112342
2025-12-02,400.5,10772192,7422026,68.9,400.33,145572
2025-12-03,403.05,8057989,4940817,61.32,402.09,100529
2025-12-04,404.95,4419747,2798339,63.31,404.12,73360
2025-12-07,402.3,6056866,3481554,57.48,402.89,101139
2025-12-08,401.05,9426717,5447982,57.79,402.28,119643
2025-12-09,403.15,6969146,4636497,66.53,403.31,106280
2025-12-10,402.9,6980147,4124620,59.09,402.4,99653
2025-12-11,400.1,12407516,9825962,79.19,400.55,115410
2025-12-14,402.3,7756564,4828405,62.25,401.8,96420
2025-12-15,401.7,12347384,7579095,61.38,403.11,120140
2025-12-16,399.8,8087490,5674568,70.16,400.53,117330
2025-12-17,400.4,7227668,4867729,67.35,400.74,106780
2025-12-18,401.05,10654835,6957888,65.3,401.39,138048
2025-12-21,402.7,6847871,4902207,71.59,402.79,96410
2025-12-22,407.35,10081997,5484078,54.39,405.66,158483
