date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1195.0,1486643,785990,52.87,1201.11,45673
2025-11-03,1181.4,1110884,595298,53.59,1183.87,36933
2025-11-05,1168.8,1304994,720134,55.18,1170.07,40025
2025-11-06,1171.7,845047,319249,37.78,1167.18,44358
2025-11-09,1179.3,740226,295545,39.93,1179.09,35871
2025-11-10,1191.5,1588730,621093,39.09,1190.21,46432
2025-11-11,1181.8,976290,503551,51.58,1184.72,35032
2025-11-12,1183.9,1427189,418798,29.34,1189.1,44776
2025-11-13,1167.8,1059030,592680,55.96,1167.36,36437
2025-11-16,1175.5,1102752,749935,68.01,1173.94,27580
2025-11-17,1175.5,1516106,0,,1175.5,1
2025-11-17,1163.0,1912105,1046303,54.72,1162.05,36260
2025-11-18,1164.9,522344,224993,43.07,1164.69,22556
2025-11-19,1170.0,908758,504195,55.48,1167.95,26781
2025-11-20,1140.3,1045627,570318,54.54,1150.74,36112
2025-11-23,1106.0,2209717,1296117,58.66,1113.94,53734
2025-11-24,1112.0,1394051,660301,47.37,1116.44,45255
2025-11-25,1154.4,2167703,544535,25.12,1148.47,53678
2025-11-26,1160.6,2342042,1207737,51.57,1148.43,53804
2025-11-27,1160.3,1243394,560181,45.05,1162.48,40704
2025-11-30,1168.4,3039396,1615234,53.14,1167.38,62112
2025-12-01,1162.0,2834317,1781810,62.87,1163.23,54477
2025-12-02,1143.6,6026786,2642929,43.85,1146.12,97497
2025-12-03,1150.6,2285777,700663,30.65,1152.05,55242
2025-12-04,1162.2,2326439,1467205,63.07,1154.89,42247
2025-12-07,1119.1,1727184,877063,50.78,1130.82,51250
2025-12-08,1107.8,1947088,932153,47.87,1111.06,48918
2025-12-09,1096.8,1222924,500059,40.89,1101.96,46225
2025-12-10,1105.4,759090,242381,31.93,1104.16,28097
2025-12-11,1125.5,827546,265599,32.09,1122.02,32951
2025-12-14,1114.8,1017965,397959,39.09,1114.94,38091
2025-12-15,1082.6,2000325,1232067,61.59,1088.42,50863
2025-12-16,1079.3,1781774,1041270,58.44,1081.21,40479
2025-12-17,1082.2,1134603,509668,44.92,1083.33,42284
2025-12-18,1079.6,1068212,659430,61.73,1080.64,35673
2025-12-21,1094.9,1086319,457723,42.14,1094.56,36663
