date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,3980.5,1154072,678636,58.8,4004.5,119302
2025-11-03,3924.4,2042881,1193640,58.43,3938.35,120854
2025-11-05,3881.6,1749063,831032,47.51,3905.55,199865
2025-11-06,3882.5,1577294,982949,62.32,3866.22,88564
2025-11-09,3918.5,1397176,804202,57.56,3926.38,112929
2025-11-10,3955.0,1775462,923586,52.02,3943.73,91807
2025-11-11,3954.6,981350,671317,68.41,3952.55,61125
2025-11-12,4002.5,1834962,1197533,65.26,3993.68,100532
2025-11-13,4004.4,1916910,1379792,71.98,3994.47,108120
2025-11-16,4027.7,1206133,763641,63.31,4017.12,93147
2025-11-17,3999.6,1748928,768346,43.93,4001.54,104985
2025-11-18,4019.6,923032,542129,58.73,4011.22,66571
2025-11-19,4037.4,1463574,675287,46.14,4031.15,107944
2025-11-20,4024.9,1241149,705351,56.83,4031.54,98448
2025-11-23,4013.3,1584741,1141787,72.05,4016.71,78477
2025-11-24,3996.7,1749083,797907,45.62,4023.11,111665
2025-11-25,4062.0,2058237,1184804,57.56,4053.14,144192
2025-11-26,4081.3,2225064,1097959,49.35,4103.11,160848
2025-11-27,4069.6,1318133,797023,60.47,4076.06,112407
2025-11-30,4073.2,1251770,720227,57.54,4071.67,116745
2025-12-01,4030.5,1490917,790822,53.04,4040.9,115931
2025-12-02,3988.0,1123990,713170,63.45,3988.6,93872
2025-12-03,3983.6,1026968,577767,56.26,3992.23,87986
2025-12-04,4038.2,1073758,495467,46.14,4026.21,73212
2025-12-07,3996.7,1127841,575007,50.98,4000.97,85324
2025-12-08,3997.5,1788464,842252,47.09,3995.83,109657
2025-12-09,3991.3,957277,547600,57.2,4005.14,78323
2025-12-10,4003.9,841371,435445,51.75,4002.75,70935
2025-12-11,4074.1,2207898,1230441,55.73,4079.28,117889
2025-12-14,4092.3,1064975,711671,66.83,4082.07,99196
2025-12-15,4063.8,2199214,1559697,70.92,4063.44,90672
2025-12-16,4062.4,1087334,624752,57.46,4057.12,69688
2025-12-17,4031.1,1004303,504610,50.24,4042.18,104514
2025-12-18,4073.5,1327935,831050,62.58,4077.08,98050
2025-12-21,4072.4,764774,415588,54.34,4077.39,79255
2025-12-22,4058.8,1867147,954800,51.14,4071.48,148137
2025-12-23,4053.6,1021436,502918,49.24,4057.61,95816
2025-12-25,4047.3,594330,363869,61.22,4040.73,46406
2025-12-28,4038.7,952143,593213,62.3,4043.97,63280
2025-12-29,4052.0,1362208,796676,58.48,4047.07,89322
2025-12-30,4083.5,1160164,764219,65.87,4075.9,88267
2025-12-31,4140.4,1360716,663745,48.78,4132.19,103110
2026-01-01,4163.4,984027,543323,55.21,4155.35,82278
2026-01-04,4150.4,1167460,763912,65.43,4163.02,89730
2026-01-05,4140.6,1205337,648094,53.77,4150.71,85290
2026-01-06,4157.0,1213160,776950,64.04,4136.92,100608
2026-01-07,4028.4,2328813,1334775,57.32,4076.57,155478
2026-01-08,4025.2,1718127,868326,50.54,4036.45,88250
2026-01-11,4019.0,1386513,701479,50.59,3989.1,95355
2026-01-12,3887.4,4978634,2223057,44.65,3896.1,257347
2026-01-13,3865.8,1914244,978315,51.11,3878.74,126414
2026-01-15,3856.4,1807300,1104280,61.1,3875.35,126699
2026-01-18,3869.8,1709380,898758,52.58,3841.62,88630
2026-01-19,3810.5,1658119,892942,53.85,3826.2,119992
2026-01-20,3766.5,2537185,1497775,59.03,3762.25,169934
2026-01-21,3793.8,1856812,870224,46.87,3779.3,99239
2026-01-22,3743.8,1898703,1256731,66.19,3747.94,87816
2026-01-26,3787.8,2162193,1133348,52.42,3772.11,112278
2026-01-27,3794.0,2111741,1226290,58.07,3797.75,108273
2026-01-28,3932.9,4227139,1955557,46.26,3922.3,186910
2026-01-29,3932.3,2208465,1579119,71.5,3923.36,120197
2026-01-31,3814.0,2654727,1094146,41.22,3927.7,141332
2026-02-01,3921.3,3034613,1778487,58.61,3906.67,170586
2026-02-02,4038.8,3742190,2194084,58.63,4061.32,258219
2026-02-03,4087.1,1403373,838870,59.78,4083.65,113811
2026-02-04,4063.3,1433240,831946,58.05,4060.81,128802
2026-02-05,4068.1,1630836,1020140,62.55,4062.59,87660
2026-02-08,4113.6,1830267,1274824,69.65,4108.26,92278
2026-02-09,4169.0,1890409,1056385,55.88,4157.31,92437
2026-02-10,4170.4,1689489,1249211,73.94,4164.75,86964
2026-02-11,4185.9,2006458,1342616,66.91,4186.53,89895
2026-02-12,4173.9,2234376,1698283,76.01,4175.19,147111
2026-02-15,4201.5,852552,548119,64.29,4182.21,51800
2026-02-16,4279.8,1763048,941131,53.38,4251.49,93683
2026-02-17,4325.9,2042626,1413063,69.18,4300.66,111448
2026-02-18,4280.5,2007080,1205316,60.05,4294.14,108010
2026-02-19,4380.6,2542442,1639728,64.49,4359.84,143149
2026-02-22,4418.1,2122782,1399460,65.93,4402.62,109789
2026-02-23,4259.2,3673070,2434445,66.28,4317.04,166929
2026-02-24,4298.5,2481469,1528229,61.59,4305.28,145176
2026-02-25,4286.5,2370148,1164589,49.14,4304.38,146788
2026-02-26,4278.3,2357853,1664003,70.57,4282.4,109719
2026-03-01,4066.7,6542141,3528625,53.94,4053.82,436388
2026-03-03,3882.6,7635350,4031671,52.8,3827.67,489192
2026-03-04,4038.7,4996312,2606988,52.18,3992.61,263610
2026-03-05,3949.8,2379314,1161565,48.82,3961.11,158659
2026-03-08,3842.1,4248784,2427298,57.13,3791.51,243130
2026-03-09,3876.0,3330102,1674864,50.29,3880.02,183996
2026-03-10,3838.8,2066473,1217140,58.9,3859.76,130657
2026-03-11,3719.5,4255443,2320855,54.54,3760.74,262924
2026-03-12,3439.0,10778730,7112796,65.99,3511.18,507723
2026-03-15,3469.4,8459233,5087391,60.14,3445.58,369512
2026-03-16,3542.8,5003418,2952728,59.01,3501.41,309529
2026-03-17,3607.9,4190485,2486460,59.34,3605.55,200293
2026-03-18,3434.5,4898518,2624249,53.57,3457.2,310251
2026-03-19,3434.8,4743217,2948775,62.17,3452.81,227003
2026-03-22,3342.4,5645839,3221419,57.06,3327.17,319335
2026-03-23,3516.8,6037848,3007866,49.82,3478.27,305220
2026-03-24,3649.3,5090205,2585519,50.79,3621.06,320240
2026-03-26,3564.1,3991388,2421908,60.68,3572.11,174878
2026-03-29,3504.1,3549203,2029284,57.18,3515.48,244514
2026-03-31,3607.5,4099786,2110095,51.47,3630.24,187793
2026-04-01,3613.1,4121638,2005604,48.66,3548.95,201362
2026-04-05,3727.7,3353246,1723099,51.39,3669.5,160528
2026-04-06,3723.3,3083714,1676088,54.35,3711.01,150098
2026-04-07,4005.9,7368477,4148816,56.3,3994.91,316063
2026-04-08,3896.2,4415151,2160784,48.94,3921.44,251770
