date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,3548.9,1776510,968536,54.52,3553.25,101811
2025-11-03,3581.2,3494428,1576038,45.1,3579.83,158797
2025-11-05,3618.5,4535984,2497541,55.06,3632.9,236481
2025-11-06,3690.2,2595934,1497107,57.67,3657.39,114599
2025-11-09,3663.9,1620889,927400,57.22,3670.99,108575
2025-11-10,3749.1,3044040,1524811,50.09,3718.02,151361
2025-11-11,3754.3,1984901,1311813,66.09,3759.25,122975
2025-11-12,3699.5,1599079,854417,53.43,3722.97,82467
2025-11-13,3698.6,1847028,1226646,66.41,3694.19,99835
2025-11-16,3734.9,2094008,1418085,67.72,3731.18,113027
2025-11-17,3694.8,2613743,1856129,71.01,3704.51,80348
2025-11-18,3722.5,1626043,1072009,65.93,3719.32,79016
2025-11-19,3716.7,1815617,1223759,67.4,3734.77,109216
2025-11-20,3749.6,3184145,1787061,56.12,3758.37,133438
2025-11-23,3690.8,4059935,3019887,74.38,3698.21,173533
2025-11-24,3669.3,1714176,966524,56.38,3675.94,112437
2025-11-25,3686.4,2116524,1315000,62.13,3686.1,102699
2025-11-26,3681.2,1993274,1191871,59.79,3684.9,125917
2025-11-27,3757.3,2944457,1578092,53.6,3749.96,150530
2025-11-30,3741.6,1830158,987225,53.94,3755.36,124425
2025-12-01,3716.5,2285922,1266571,55.41,3721.62,108543
2025-12-02,3649.4,2002476,1272068,63.52,3660.65,111944
2025-12-02,3665.0,274288,0,,3665.0,1
2025-12-03,3671.6,1984001,1316332,66.35,3662.6,114158
2025-12-04,3717.1,2393280,1465642,61.24,3704.63,80840
2025-12-07,3681.7,1500195,827104,55.13,3689.44,97521
2025-12-08,3635.9,3901255,2475149,63.44,3633.2,159487
2025-12-09,3630.0,1593915,972873,61.04,3654.49,99751
2025-12-10,3665.2,981456,494077,50.34,3642.92,81623
2025-12-11,3679.6,1078982,789591,73.18,3679.41,88836
2025-12-14,3608.0,1704069,1085048,63.67,3619.21,152694
2025-12-15,3621.0,1394406,821666,58.93,3617.75,108047
2025-12-16,3612.8,1209367,784289,64.85,3612.94,103978
2025-12-17,3586.6,2446168,1504816,61.52,3568.76,142491
2025-12-18,3603.6,1647819,1126245,68.35,3598.04,93791
2025-12-21,3616.7,1400786,899452,64.21,3606.92,108908
2025-12-22,3625.1,1413628,752026,53.2,3621.54,95084
2025-12-23,3636.7,842897,481991,57.18,3640.27,53785
2025-12-25,3623.1,829910,576999,69.53,3626.77,38529
2025-12-28,3592.1,1034692,670941,64.84,3614.18,59021
2025-12-29,3660.3,2063179,1266316,61.38,3646.84,123302
2025-12-30,3709.2,1868363,1192725,63.84,3684.25,105249
2025-12-31,3761.0,1498161,540724,36.09,3756.9,95505
2026-01-01,3802.4,1478292,773276,52.31,3797.33,119277
2026-01-04,3790.3,1574098,1050225,66.72,3809.25,99676
2026-01-05,3785.6,1299489,735101,56.57,3776.88,74634
2026-01-06,3748.8,1046776,610550,58.33,3754.25,88136
2026-01-07,3724.0,1261005,663692,52.63,3725.81,90546
2026-01-08,3677.3,1235928,679319,54.96,3696.91,80815
2026-01-11,3682.0,1665237,779619,46.82,3656.44,97831
2026-01-12,3661.5,1700985,702241,41.28,3654.66,102955
2026-01-13,3649.5,1573135,1020657,64.88,3655.07,132116
2026-01-15,3666.0,163487,0,,3666.0,1
2026-01-15,3658.2,2089943,1328066,63.55,3689.08,136506
2026-01-18,3657.4,1715818,975119,56.83,3649.89,108381
2026-01-19,3557.5,1753439,994347,56.71,3598.28,132221
2026-01-20,3553.3,1587467,984572,62.02,3552.5,135680
2026-01-21,3573.7,2107171,1243128,59.0,3566.97,104976
2026-01-22,3543.4,1922549,1347224,70.07,3561.01,97459
2026-01-26,3393.5,7139715,4241175,59.4,3396.79,345827
2026-01-27,3449.2,3964878,2582012,65.12,3422.39,174289
2026-01-28,3384.4,5592638,3547676,63.43,3364.46,196343
