date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,15651.0,942850,511696,54.27,15667.0,152759
2025-11-03,15374.0,748848,541805,72.35,15465.51,112323
2025-11-05,15452.0,429800,249725,58.1,15434.11,80278
2025-11-06,15479.0,227247,119738,52.69,15392.88,47159
2025-11-09,15583.0,274191,138591,50.55,15537.33,51294
2025-11-10,15645.0,181524,98901,54.48,15613.47,42423
2025-11-11,15696.0,244015,133749,54.81,15667.14,41126
2025-11-12,15749.0,250711,140874,56.19,15744.77,43187
2025-11-13,15684.0,253698,143933,56.73,15650.28,43613
2025-11-16,15878.0,301069,173126,57.5,15825.89,39462
2025-11-17,15930.0,392903,265985,67.7,15918.31,40550
2025-11-18,15768.0,286434,178772,62.41,15799.67,49334
2025-11-19,15801.0,249492,149858,60.07,15740.97,49594
2025-11-20,15977.0,586351,321918,54.9,15987.46,66516
2025-11-23,15958.0,525788,405050,77.04,15979.02,65816
2025-11-24,15889.0,214525,117032,54.55,15957.35,43693
2025-11-25,16156.0,314946,185011,58.74,16113.07,63775
2025-11-26,15903.0,339986,227972,67.05,16003.54,71283
2025-11-27,15900.0,352340,252632,71.7,15926.22,61014
2025-11-30,16097.0,434052,248205,57.18,16023.48,72923
2025-12-01,16239.0,383165,228977,59.76,16196.02,64843
2025-12-02,16082.0,264397,158937,60.11,16083.48,46875
2025-12-03,15994.0,248812,151920,61.06,15984.58,43223
2025-12-04,16282.0,332032,184539,55.58,16194.46,48006
2025-12-07,16187.0,220513,129651,58.8,16178.36,45874
2025-12-08,16020.0,276388,168192,60.85,16073.38,46812
2025-12-09,16019.0,293374,177580,60.53,16041.87,60509
2025-12-10,16248.0,268701,147965,55.07,16218.56,58929
2025-12-11,16522.0,404711,267389,66.07,16480.31,67799
2025-12-14,16415.0,225221,153803,68.29,16420.85,41307
2025-12-15,16354.0,156134,101331,64.9,16378.9,34270
2025-12-16,16398.0,257406,190476,74.0,16408.94,37624
2025-12-17,16329.0,213981,134915,63.05,16333.39,34024
2025-12-18,16414.0,360190,277222,76.97,16412.92,35290
2025-12-21,16649.0,271590,194437,71.59,16555.45,47733
2025-12-22,16585.0,215650,147589,68.44,16607.0,35212
2025-12-23,16703.0,258486,168008,65.0,16684.35,53697
2025-12-25,16596.0,212925,147597,69.32,16594.13,23053
2025-12-28,16542.0,251796,167109,66.37,16576.16,47443
2025-12-29,16647.0,1055843,756829,71.68,16658.79,122607
2025-12-30,16697.0,314427,195953,62.32,16682.77,65813
2025-12-31,16708.0,171293,77189,45.06,16718.22,39926
2026-01-01,16960.0,388562,240431,61.88,16948.66,61874
2026-01-04,17155.0,305668,143652,47.0,17193.57,50038
2026-01-05,17292.0,192182,97979,50.98,17235.1,37949
2026-01-06,16809.0,427979,213466,49.88,16840.8,78385
2026-01-07,16664.0,238421,126712,53.15,16676.7,48973
2026-01-08,16501.0,286302,188745,65.93,16512.7,54207
2026-01-11,16582.0,288686,180037,62.36,16463.42,63050
2026-01-12,16426.0,312205,170435,54.59,16444.13,51846
2026-01-13,16152.0,240043,122284,50.94,16219.81,45952
2026-01-15,15859.0,703056,497537,70.77,15946.07,106310
2026-01-18,16176.0,385141,216396,56.19,16102.93,61748
2026-01-19,15879.0,289609,157002,54.21,15980.62,65162
2026-01-20,15770.0,345738,192243,55.6,15785.48,66372
2026-01-21,15765.0,352320,201638,57.23,15813.11,57179
2026-01-22,15469.0,338669,206429,60.95,15550.6,70474
2026-01-26,15245.0,565768,291028,51.44,15185.7,108384
2026-01-27,14877.0,1584483,642467,40.55,14934.27,222111
2026-01-28,14502.0,716545,364454,50.86,14484.41,130039
2026-01-29,14599.0,946509,606309,64.06,14496.54,122639
2026-01-31,14199.0,393678,185692,47.17,14416.1,66751
2026-02-01,14384.0,621514,384833,61.92,14235.31,128565
2026-02-02,14782.0,638870,369860,57.89,14790.3,102006
2026-02-03,15071.0,451065,298470,66.17,15053.01,69763
2026-02-04,15059.0,374759,248826,66.4,15050.4,54533
2026-02-05,14997.0,276529,154793,55.98,14996.27,49861
2026-02-08,14978.0,200034,107555,53.77,14982.94,35504
2026-02-09,15146.0,360240,139318,38.67,15192.63,54830
2026-02-10,15412.0,360742,184725,51.21,15359.12,56899
2026-02-11,15326.0,201895,98210,48.64,15358.45,33240
2026-02-12,15237.0,208645,97530,46.74,15307.46,40029
2026-02-15,15051.0,210175,102817,48.92,15060.95,43446
2026-02-16,15179.0,166765,60906,36.52,15140.83,35494
2026-02-17,15164.0,280772,178215,63.47,15134.34,50345
2026-02-18,14903.0,152788,58201,38.09,15075.27,28480
2026-02-19,14977.0,515847,338662,65.65,14995.02,57723
2026-02-22,15072.0,242968,138179,56.87,15051.28,46904
2026-02-23,14926.0,300991,177120,58.85,14945.34,45176
2026-02-24,15070.0,356495,203090,56.97,15033.87,44815
2026-02-25,15213.0,308213,171298,55.58,15154.42,48205
