date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1266.7,847050,467024,55.14,1262.94,41265
2025-11-03,1265.0,770668,481566,62.49,1263.61,40358
2025-11-05,1266.1,1171263,667924,57.03,1270.1,53749
2025-11-06,1262.7,596683,363181,60.87,1262.31,38241
2025-11-09,1262.9,737986,429798,58.24,1267.21,43373
2025-11-10,1268.1,729912,421280,57.72,1265.19,39920
2025-11-11,1278.2,824792,436340,52.9,1276.57,37918
2025-11-12,1275.2,691337,424217,61.36,1280.9,41032
2025-11-13,1271.6,675047,361678,53.58,1269.85,36082
2025-11-16,1270.3,774802,483401,62.39,1269.32,27274
2025-11-17,1265.1,810387,489652,60.42,1264.22,30664
2025-11-18,1279.0,726287,405620,55.85,1274.47,42084
2025-11-19,1279.2,796864,484842,60.84,1280.31,33449
2025-11-20,1280.7,673231,359608,53.42,1281.98,27775
2025-11-23,1269.2,2636542,2004326,76.02,1271.13,57181
2025-11-24,1263.2,1065974,597213,56.03,1263.23,41695
2025-11-25,1276.8,810809,500476,61.73,1277.01,37566
2025-11-26,1266.4,708607,458054,64.64,1268.04,41091
2025-11-27,1261.1,626947,451638,72.04,1262.48,32455
2025-11-30,1260.6,644563,367010,56.94,1257.77,39603
2025-12-01,1258.9,911551,617874,67.78,1258.23,40748
2025-12-02,1241.9,642993,360854,56.12,1242.85,32451
2025-12-03,1242.4,664641,433324,65.2,1240.07,48009
2025-12-04,1246.9,911699,625325,68.59,1241.13,31774
2025-12-07,1214.8,1534927,1069701,69.69,1223.72,58972
2025-12-08,1215.8,810028,426969,52.71,1215.44,36570
2025-12-09,1209.3,514862,261721,50.83,1210.42,31191
2025-12-10,1215.0,339626,151120,44.5,1215.59,22271
2025-12-11,1238.3,841766,518323,61.58,1232.05,29433
2025-12-14,1243.5,857798,450714,52.54,1240.46,45062
2025-12-15,1240.6,1086329,550992,50.72,1247.53,58626
2025-12-16,1234.6,526222,288848,54.89,1233.18,35136
2025-12-17,1233.5,707432,440493,62.27,1237.02,34228
2025-12-18,1244.4,754446,504560,66.88,1242.57,33711
2025-12-21,1257.2,880387,570834,64.84,1253.1,37470
2025-12-22,1256.5,663261,469307,70.76,1256.99,29578
2025-12-23,1259.7,598956,349618,58.37,1260.75,27285
2025-12-25,1272.6,1433973,946549,66.01,1269.42,36397
2025-12-28,1280.0,888206,460500,51.85,1279.74,46136
2025-12-29,1274.1,2043408,1368216,66.96,1276.68,66242
2025-12-30,1288.0,738631,450034,60.93,1286.62,46323
2025-12-31,1295.0,932297,563514,60.44,1292.81,46054
2026-01-01,1279.7,736473,436663,59.29,1284.76,40947
2026-01-04,1314.6,2397082,1425197,59.46,1311.44,88405
2026-01-05,1319.9,866154,440212,50.82,1313.38,45965
2026-01-06,1314.8,676669,327540,48.4,1319.3,40780
2026-01-07,1306.9,555817,326926,58.82,1305.3,36988
2026-01-08,1299.1,1194489,701348,58.72,1298.25,40483
2026-01-11,1312.4,1032516,592078,57.34,1305.86,39255
2026-01-12,1318.7,1316337,907110,68.91,1315.97,53454
2026-01-13,1307.1,904110,483024,53.43,1313.88,34191
2026-01-15,1315.9,1491989,944548,63.31,1315.16,50371
2026-01-18,1315.6,867546,499709,57.6,1314.42,60712
2026-01-19,1295.7,1173676,520243,44.33,1306.84,62943
2026-01-20,1283.2,1046054,506803,48.45,1288.18,67181
2026-01-21,1306.0,994359,462259,46.49,1297.04,58629
2026-01-22,1293.8,744221,399190,53.64,1297.86,45334
2026-01-26,1303.3,1159495,527673,45.51,1301.88,72208
2026-01-27,1292.4,940426,455827,48.47,1287.68,44918
2026-01-28,1287.9,1151521,544496,47.28,1279.9,50013
2026-01-29,1332.4,5292100,1712558,32.36,1323.11,145734
2026-01-31,1282.5,1104646,380976,34.49,1298.3,41933
2026-02-01,1308.3,1254558,658041,52.45,1299.42,64323
2026-02-02,1308.0,1232271,471242,38.24,1307.67,63527
2026-02-03,1303.2,875783,500382,57.14,1310.89,35252
2026-02-04,1303.5,854891,476485,55.74,1303.17,44406
2026-02-05,1303.3,835646,472661,56.56,1293.48,45016
2026-02-08,1295.6,746303,466467,62.5,1295.83,37736
2026-02-09,1308.6,936331,579078,61.85,1304.25,39499
2026-02-10,1305.3,911500,539281,59.16,1308.56,45998
2026-02-11,1305.5,534672,226307,42.33,1303.58,36607
2026-02-12,1282.6,522586,320128,61.26,1287.98,37039
2026-02-15,1289.8,456222,231925,50.84,1287.72,28094
2026-02-16,1285.3,396198,193276,48.78,1283.77,34540
2026-02-17,1300.9,446022,241063,54.05,1289.72,22082
2026-02-18,1278.5,659360,390240,59.18,1283.0,23699
2026-02-19,1293.8,754146,456198,60.49,1294.44,31095
2026-02-22,1315.1,933582,575841,61.68,1310.26,44034
2026-02-23,1320.0,1120203,675392,60.29,1317.21,71636
2026-02-24,1323.4,991399,653647,65.93,1326.08,46738
2026-02-25,1318.0,438946,194724,44.36,1317.57,29611
2026-02-26,1291.7,1640870,1036352,63.16,1293.21,60900
2026-03-01,1279.7,1161869,512477,44.11,1274.04,68299
2026-03-03,1245.3,1112032,668150,60.08,1248.92,69188
2026-03-04,1250.9,935711,516298,55.18,1239.65,50141
2026-03-05,1252.4,830769,497295,59.86,1253.25,52153
2026-03-08,1235.8,1467475,855793,58.32,1230.43,66170
2026-03-09,1241.2,1301806,751526,57.73,1242.63,53468
2026-03-10,1233.7,1472136,944534,64.16,1233.08,55848
2026-03-11,1220.8,1358564,842203,61.99,1220.26,62582
2026-03-12,1202.2,1681371,822173,48.9,1217.4,65785
2026-03-15,1213.4,1100151,547953,49.81,1209.59,49407
2026-03-16,1206.9,1673011,1002875,59.94,1207.44,52106
2026-03-17,1204.8,1144239,673732,58.88,1205.97,44898
2026-03-18,1186.3,826831,435013,52.61,1184.11,47987
2026-03-19,1193.6,1395157,742031,53.19,1192.43,51563
2026-03-22,1166.8,944890,526227,55.69,1172.49,67109
2026-03-23,1183.2,1001494,542025,54.12,1183.38,53324
2026-03-24,1204.1,1003662,633734,63.14,1205.32,65174
2026-03-26,1193.2,2005121,1342146,66.94,1201.59,113160
2026-03-29,1174.8,1814954,770487,42.45,1178.49,61162
