date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,335.2,10242245,6494311,63.41,335.36,114014
2025-11-03,330.6,11887651,7898395,66.44,330.89,110498
2025-11-05,326.65,11587302,7482803,64.58,326.94,141436
2025-11-06,326.1,8578167,5777378,67.35,324.82,112832
2025-11-09,325.45,5246998,2986861,56.93,325.58,90496
2025-11-10,326.65,6103758,3236786,53.03,325.62,82355
2025-11-11,327.15,6850550,4273919,62.39,327.09,79520
2025-11-11,327.15,1,1,100.0,326.0,1
2025-11-12,326.95,7276001,4686634,64.41,328.04,67836
2025-11-13,328.45,1,1,100.0,327.05,1
2025-11-13,328.45,9169855,6846707,74.67,328.03,76040
2025-11-16,330.2,6283156,4234500,67.39,330.05,80876
2025-11-17,328.45,6776200,4415774,65.17,328.33,65963
2025-11-18,326.6,6935056,4127903,59.52,326.26,87505
2025-11-19,326.6,5155775,3130077,60.71,327.92,68423
2025-11-20,326.65,6142545,3563096,58.01,326.71,69603
2025-11-23,323.45,13719726,10791382,78.66,324.3,120108
2025-11-24,323.7,8074651,5561480,68.88,324.26,114353
2025-11-25,326.1,7101095,4506543,63.46,326.18,89326
2025-11-26,327.35,6755179,4196993,62.13,327.31,82771
2025-11-27,326.45,8930988,6215710,69.6,326.34,106653
2025-11-30,327.1,6936186,4585981,66.12,326.75,92193
2025-12-01,328.6,5806943,3645214,62.77,328.7,65559
2025-12-02,322.95,8546132,5094687,59.61,323.22,98608
2025-12-03,322.95,5965357,3556101,59.61,322.99,83669
2025-12-04,323.3,6574010,4574532,69.59,322.99,90066
2025-12-07,319.5,7906928,4951642,62.62,320.23,88014
2025-12-08,319.85,7152584,4371252,61.11,319.35,100590
2025-12-09,321.6,5484712,3038926,55.41,321.88,104215
2025-12-10,322.6,6317942,3345148,52.95,322.3,105882
2025-12-11,325.05,4261023,2751656,64.58,324.69,86278
2025-12-14,323.95,10219819,6950562,68.01,323.8,135503
2025-12-15,321.0,5241263,3488118,66.55,321.1,94764
2025-12-16,321.25,5043027,3764265,74.64,321.11,65975
2025-12-17,318.5,5554193,3410070,61.4,318.3,118016
2025-12-18,319.9,10833662,8210123,75.78,318.97,96336
2025-12-21,320.7,8925871,6527108,73.13,321.4,82210
2025-12-22,323.25,6024641,3966181,65.83,323.63,89348
2025-12-23,322.55,5678004,3321579,58.5,323.98,98330
2025-12-25,324.1,4174183,2336059,55.96,324.22,43074
2025-12-28,325.5,14043845,11247890,80.09,325.01,80508
2025-12-29,324.9,8035909,5306309,66.03,324.82,80890
2025-12-30,329.55,8497983,5517048,64.92,329.34,98277
2025-12-31,336.3,10357315,5789145,55.89,334.63,76770
2026-01-01,352.1,23128940,14917934,64.5,347.18,217079
2026-01-04,350.6,18248271,12966317,71.06,351.26,149755
2026-01-05,350.8,8641743,5919269,68.5,349.9,102297
2026-01-06,348.85,7165806,4625383,64.55,347.99,66191
2026-01-07,344.4,8805975,5224296,59.33,345.05,113854
2026-01-08,336.0,10161744,5490414,54.03,337.79,113153
2026-01-11,337.45,9406174,5749984,61.13,337.65,100035
2026-01-12,337.9,5583379,3256176,58.32,337.28,60455
2026-01-13,349.1,20389924,14137913,69.34,347.49,233158
2026-01-15,346.35,14275582,10258310,71.86,349.85,134221
2026-01-18,343.35,9974363,7203837,72.22,344.62,155127
2026-01-19,338.75,7718407,3168969,41.06,343.54,98641
2026-01-20,338.7,6948955,4108644,59.13,339.02,171223
2026-01-21,342.45,5885972,3053590,51.88,341.14,79357
2026-01-22,336.7,10084314,6382935,63.3,340.19,97566
2026-01-26,344.7,12203590,7378963,60.47,342.8,146713
2026-01-27,348.05,13566973,8849054,65.22,348.8,134238
2026-01-28,358.15,20624409,10583812,51.32,356.28,214992
2026-01-29,356.0,22641103,15901767,70.23,354.86,172601
2026-01-31,344.75,13976105,6078078,43.49,349.66,156840
2026-02-01,350.35,12622760,8359271,66.22,346.1,189339
2026-02-02,358.55,11559806,6941542,60.05,357.72,232493
2026-02-03,367.25,15515053,9705353,62.55,365.59,252797
2026-02-04,367.0,18789794,13640630,72.6,367.61,148823
2026-02-05,365.05,7328789,4251137,58.01,363.21,87860
2026-02-08,361.9,7983235,5679383,71.14,364.33,110283
2026-02-09,366.9,8319282,5238310,62.97,366.61,192217
2026-02-10,368.45,5782448,4056109,70.15,367.52,106746
2026-02-11,368.25,6763353,3681852,54.44,368.9,128798
2026-02-12,363.0,7111972,5120121,71.99,364.19,105259
2026-02-15,369.1,6292850,3610325,57.37,368.52,180346
2026-02-16,368.4,4442793,2724970,61.33,367.57,76034
2026-02-17,368.4,4871319,3474160,71.32,368.48,99061
2026-02-18,363.2,5375352,3051041,56.76,365.25,69566
2026-02-19,372.95,16736731,11818121,70.61,371.77,149006
2026-02-22,375.45,16135451,11495414,71.24,374.85,256534
2026-02-23,382.75,20774629,12483195,60.09,378.73,239139
2026-02-24,384.9,12750016,8369692,65.64,385.41,280313
2026-02-25,381.9,10721570,6325367,59.0,381.67,196701
2026-02-26,381.9,11548959,8017670,69.42,382.55,286694
2026-03-01,377.55,14732253,8139819,55.25,375.27,184879
2026-03-03,365.8,11433169,6861488,60.01,366.88,286645
2026-03-04,378.05,16158714,10211167,63.19,375.87,224562
