date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,257.55,5450040,2806957,51.5,257.07,85290
2025-11-03,252.35,6006851,3535437,58.86,254.51,73364
2025-11-05,251.5,6987258,3588663,51.36,252.43,80574
2025-11-06,252.2,4449104,2368898,53.24,252.1,48360
2025-11-09,251.4,7418162,3780742,50.97,252.11,66078
2025-11-10,249.45,16183880,7862989,48.59,248.68,110895
2025-11-11,253.85,11917811,5904585,49.54,253.75,105711
2025-11-12,250.85,13057927,6369604,48.78,250.15,95303
2025-11-13,247.6,9185042,4965792,54.06,247.64,80309
2025-11-16,248.05,6281588,3502355,55.76,248.45,66099
2025-11-17,246.95,7708871,4972160,64.5,247.66,60958
2025-11-18,249.0,7075882,4475827,63.25,248.38,55097
2025-11-19,248.05,1,1,100.0,247.75,1
2025-11-19,248.05,6918642,4495316,64.97,249.25,66828
2025-11-20,246.95,7589240,5755917,75.84,247.37,58912
2025-11-23,245.75,15875282,11987338,75.51,245.84,66010
2025-11-24,245.35,8983620,6511959,72.49,246.3,70899
2025-11-25,247.7,7232643,5111527,70.67,247.23,59221
2025-11-26,244.0,5600832,3280581,58.57,244.36,81158
2025-11-27,243.25,3804191,2513581,66.07,243.54,50494
2025-11-30,244.83,6307936,4512621,71.54,244.77,66219
2025-12-01,243.54,5413988,3364720,62.15,243.87,54988
2025-12-02,240.02,11829802,8247258,69.72,240.47,99443
2025-12-03,242.23,1,1,100.0,240.06,1
2025-12-03,242.23,10825420,7624028,70.43,241.9,67076
2025-12-04,241.23,7645591,5229701,68.4,241.84,90643
2025-12-04,241.23,1,1,100.0,242.23,1
2025-12-07,238.52,5285903,3431728,64.92,239.67,61833
2025-12-08,239.84,9026401,6432249,71.26,239.4,66077
2025-12-09,239.29,3492031,1861185,53.3,239.23,72030
2025-12-10,238.41,8868641,6181956,69.71,239.43,64037
2025-12-11,238.02,4252781,2603193,61.21,237.8,72977
2025-12-14,235.35,12334408,3505689,28.42,233.03,119942
2025-12-15,232.21,7238404,4374498,60.43,232.33,90675
2025-12-16,232.91,5848233,3039740,51.98,232.28,84432
2025-12-17,232.0,3964839,2379404,60.01,232.17,78738
2025-12-18,232.89,5070902,3328754,65.64,232.68,59615
2025-12-21,234.18,4614185,2954691,64.03,234.43,76234
2025-12-22,235.49,5810236,3087026,53.13,235.94,61269
2025-12-23,233.77,4114036,2350601,57.14,234.44,56162
2025-12-25,234.53,3710774,2056690,55.42,234.41,43633
2025-12-28,234.82,12621499,6964362,55.18,236.38,84852
2025-12-29,234.68,6236729,4245199,68.07,234.46,67077
2025-12-30,240.38,11514802,4998010,43.41,239.31,67327
2025-12-31,237.94,5840586,3083200,52.79,238.88,57612
2026-01-01,241.46,5925943,2921438,49.3,240.95,75940
2026-01-04,238.09,21201434,7153661,33.74,239.49,192399
2026-01-05,241.89,10840459,5479044,50.54,240.79,140143
2026-01-06,239.06,8253161,5243516,63.53,239.87,115642
2026-01-07,231.42,9218488,5011067,54.36,233.24,104877
2026-01-08,234.09,12706408,6340712,49.9,234.53,156687
2026-01-11,235.71,9807980,5444527,55.51,234.37,106713
2026-01-12,243.78,22527192,11619913,51.58,242.0,137249
2026-01-13,248.23,33094088,18603428,56.21,248.46,219517
2026-01-15,247.17,12287680,7425456,60.43,246.17,99186
2026-01-18,243.11,6459249,3280529,50.79,244.23,79020
2026-01-19,240.39,6496057,3476720,53.52,241.66,85972
2026-01-20,242.37,9610477,5152246,53.61,242.27,101696
2026-01-21,244.01,10746306,7177589,66.79,244.27,114558
2026-01-22,245.47,8080247,4360609,53.97,244.94,105787
2026-01-26,247.95,15915509,8626396,54.2,247.54,160349
2026-01-27,268.58,73427983,32060227,43.66,264.21,442275
2026-01-28,275.39,48267023,25801169,53.46,273.66,385282
2026-01-29,268.96,24420043,12427636,50.89,270.45,229912
2026-01-31,254.3,17179276,6329831,36.85,263.94,152556
2026-02-01,253.95,17015974,8518154,50.06,252.14,120727
2026-02-02,257.0,19213406,8794344,45.77,253.91,162324
2026-02-03,266.95,26628393,11440573,42.96,267.02,187500
2026-02-04,269.2,15268335,8802985,57.66,268.66,142697
2026-02-05,268.95,10013728,5115317,51.08,267.55,81139
2026-02-08,266.6,10824044,6215484,57.42,267.27,109538
2026-02-09,272.15,13459684,7499897,55.72,270.62,129354
2026-02-10,274.6,18388416,9903050,53.85,271.3,201896
2026-02-11,276.35,22753270,9223711,40.54,276.82,202920
2026-02-12,267.4,20748628,12011351,57.89,268.08,256384
2026-02-15,271.55,13247757,6934377,52.34,270.9,186392
2026-02-16,271.85,21292868,13913965,65.35,270.58,262323
2026-02-17,264.6,11621040,6100437,52.49,264.12,208148
2026-02-18,274.65,37728943,16339900,43.31,272.56,407485
2026-02-19,278.65,31971956,13992510,43.76,277.97,191769
2026-02-22,275.65,13113050,6003737,45.78,273.9,115401
2026-02-23,276.5,16311581,8250819,50.58,275.59,171159
2026-02-24,277.45,7573116,3498880,46.2,276.71,140253
2026-02-25,280.1,13301761,8077496,60.73,278.56,170193
2026-02-26,279.7,18554482,10236545,55.17,280.36,104599
2026-03-01,282.2,65843426,25018065,38.0,282.78,636194
2026-03-03,276.95,53722773,28205309,52.5,281.13,384825
2026-03-04,276.35,40569479,17303699,42.65,281.83,373121
2026-03-05,278.95,30725344,12828189,41.75,277.05,183148
2026-03-08,270.8,56512457,23037906,40.77,274.96,487759
2026-03-09,269.2,18476370,8341388,45.15,268.63,172911
2026-03-10,270.75,16130216,8655622,53.66,270.91,327726
2026-03-11,270.55,20059801,9227301,46.0,270.62,201578
2026-03-12,264.1,18411729,11017456,59.84,265.68,115374
2026-03-15,260.45,21725887,10939101,50.35,260.94,130681
2026-03-16,264.75,15662659,8009070,51.13,262.08,217323
2026-03-17,265.0,8780857,4415366,50.28,264.79,79493
2026-03-18,269.1,28685305,8903046,31.04,268.62,192492
2026-03-19,265.4,19436124,9944872,51.17,267.88,149956
2026-03-22,265.45,23991581,8380056,34.93,266.83,181852
2026-03-23,268.05,18567283,8348299,44.96,270.06,140733
2026-03-24,270.2,13380625,8541599,63.84,269.77,111925
2026-03-26,281.95,60048871,21445042,35.71,280.47,380215
