date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,288.0,8578207,5582900,65.08,288.7,67955
2025-11-03,279.05,26098629,17869185,68.47,279.88,132753
2025-11-05,270.2,21919591,13561375,61.87,271.71,150603
2025-11-06,272.0,11379131,8327537,73.18,271.43,79210
2025-11-09,268.2,10717941,7010409,65.41,268.98,95966
2025-11-10,267.65,11154806,7362933,66.01,266.82,99964
2025-11-11,267.1,16444701,12749246,77.53,268.51,126273
2025-11-12,269.85,12573141,8440110,67.13,269.01,90099
2025-11-13,271.3,10308317,6063228,58.82,270.89,127366
2025-11-16,273.55,9884392,7219582,73.04,272.71,89984
2025-11-17,274.2,16434280,11718569,71.31,274.68,80036
2025-11-18,275.15,15765235,11984142,76.02,274.52,77562
2025-11-19,277.2,15337345,11323664,73.83,277.63,99778
2025-11-20,277.6,12941485,10060956,77.74,277.44,66807
2025-11-23,275.8,49791096,43123324,86.61,275.68,90160
2025-11-24,273.45,12114606,8963727,73.99,274.42,96719
2025-11-25,275.05,8352869,5550881,66.45,275.02,68826
2025-11-26,273.7,9865039,7165504,72.64,274.3,98121
2025-11-27,269.95,12580231,9415290,74.84,270.75,92273
2025-11-30,269.65,10428760,6997639,67.1,270.04,130049
2025-12-01,267.45,11029817,7637430,69.24,268.02,101674
2025-12-02,268.45,9063557,6118713,67.51,266.88,93238
2025-12-03,269.1,5103204,3362610,65.89,268.74,67712
2025-12-04,269.8,5535798,3424874,61.87,269.78,67426
2025-12-07,265.2,10203843,7392326,72.45,266.1,92756
2025-12-08,264.55,10686557,7333582,68.62,264.44,87852
2025-12-09,265.5,7157092,4623495,64.6,265.73,80151
2025-12-10,264.8,8336183,5390820,64.67,264.6,70022
2025-12-11,263.6,5522827,4143455,75.02,264.24,62742
2025-12-14,262.2,6400400,4087272,63.86,261.92,77595
2025-12-15,260.35,9241981,5976549,64.67,261.33,100354
2025-12-16,261.1,10944698,8556156,78.18,261.63,82018
2025-12-17,257.95,10930748,7299786,66.78,257.56,104251
2025-12-18,263.45,16657897,12791101,76.79,261.89,89092
2025-12-21,265.0,10054250,7425661,73.86,264.3,92175
2025-12-22,267.0,10526826,7249564,68.87,267.62,81979
2025-12-23,268.05,6131188,3930098,64.1,268.6,67720
2025-12-25,265.45,6029003,4323204,71.71,266.27,47852
2025-12-28,260.6,7270521,4562725,62.76,261.45,67235
2025-12-29,260.35,10929200,7554891,69.13,260.32,95502
2025-12-30,264.6,5145868,2899231,56.34,263.97,49233
2025-12-31,266.8,4298196,2172803,50.55,266.03,46089
2026-01-01,270.95,13348375,8817277,66.06,270.19,75336
2026-01-04,271.65,11526602,8369255,72.61,270.84,62487
2026-01-05,268.55,11777253,8218712,69.78,268.96,79269
2026-01-06,264.1,14877056,11403983,76.65,264.71,104230
2026-01-07,259.3,11762204,7950619,67.59,260.17,95689
2026-01-08,258.0,14100782,9695748,68.76,259.93,87164
2026-01-11,258.55,9698555,6189671,63.82,256.71,67199
2026-01-12,258.8,9734559,6410777,65.86,258.22,91997
2026-01-13,258.35,15435341,10105039,65.47,258.35,135961
2026-01-15,257.3,9648251,6365298,65.97,258.98,71727
2026-01-18,257.65,10588722,6616802,62.49,257.81,96232
2026-01-19,254.05,12452441,8629589,69.3,255.35,111573
2026-01-20,255.8,14263346,8978089,62.95,256.1,108743
2026-01-21,259.25,15520530,11149344,71.84,257.57,109535
2026-01-22,254.15,18022018,11953276,66.33,254.56,108467
2026-01-26,254.35,17375059,11082827,63.79,254.14,123355
2026-01-27,259.8,16046343,11138845,69.42,258.44,83736
2026-01-28,260.5,26914029,20080647,74.61,260.37,87913
2026-01-29,256.5,23292764,16729741,71.82,256.84,105414
2026-01-31,251.35,9956550,4211196,42.3,254.73,94570
2026-02-01,270.4,37109237,19123500,51.53,264.93,263264
2026-02-02,283.2,52651170,34779926,66.06,280.67,229644
2026-02-03,289.4,27775044,17854899,64.28,288.98,141637
2026-02-04,289.35,9870342,5501789,55.74,288.65,106321
2026-02-05,292.75,19951107,13439917,67.36,292.01,125376
2026-02-08,289.75,13114576,9177391,69.98,289.63,75558
2026-02-09,294.35,21823214,16022503,73.42,292.3,120356
2026-02-10,294.45,10508852,7002005,66.63,294.29,100872
2026-02-11,293.9,10482579,6809558,64.96,293.59,96610
2026-02-12,287.2,10914157,7656624,70.15,289.31,88001
2026-02-15,300.5,22196951,11190746,50.42,297.73,158849
2026-02-16,300.75,11190989,7013221,62.67,299.39,172511
2026-02-17,300.55,9147320,5781853,63.21,300.47,83781
2026-02-18,294.65,7552362,4267594,56.51,296.38,92135
2026-02-19,298.95,11762183,6904296,58.7,298.75,109030
2026-02-22,303.35,11774742,7835467,66.54,302.48,167710
2026-02-23,304.8,15863867,8591909,54.16,304.18,142944
2026-02-24,307.25,14240500,6909431,48.52,307.64,121781
2026-02-25,303.25,14249515,9341322,65.56,303.73,123673
2026-02-26,298.65,21400679,16968614,79.29,299.92,96725
2026-03-01,296.8,15690227,8409330,53.6,295.97,221915
2026-03-03,291.95,28191826,19727198,69.97,291.84,474502
2026-03-04,299.45,19467441,13199552,67.8,297.34,270434
2026-03-05,299.15,15887540,11020424,69.37,300.51,116065
2026-03-08,295.2,21591866,12814171,59.35,292.12,160203
2026-03-09,298.65,14627316,9768623,66.78,297.8,101424
2026-03-10,298.8,12618289,8217244,65.12,300.21,126504
2026-03-11,303.6,15284297,8726189,57.09,302.54,161294
2026-03-12,300.95,23615092,13468118,57.03,302.66,215962
