date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1484.7,8452085,4106209,48.58,1488.29,245664
2025-11-03,1473.1,10007806,4092497,40.89,1480.96,218103
2025-11-05,1496.1,16772678,9133200,54.45,1494.08,269902
2025-11-06,1478.0,7821765,4772863,61.02,1486.71,139608
2025-11-09,1489.3,7068438,4298505,60.81,1492.69,154602
2025-11-10,1493.4,7127506,3557777,49.92,1489.58,149607
2025-11-11,1511.5,12384459,7862490,63.49,1515.0,252417
2025-11-12,1510.9,7196443,4619589,64.19,1514.35,209774
2025-11-13,1518.9,7682823,5426632,70.63,1516.51,194941
2025-11-16,1518.3,5871416,3191232,54.35,1516.89,123473
2025-11-17,1519.4,11045042,5992310,54.25,1520.18,165850
2025-11-18,1519.4,398012,0,,1519.4,1
2025-11-18,1518.9,5692366,3425018,60.17,1518.64,131481
2025-11-19,1549.1,18171724,12259441,67.46,1543.57,246552
2025-11-20,1546.6,9615271,5216783,54.26,1549.35,240250
2025-11-20,1546.6,20,0,0.0,1540.0,2
2025-11-20,1534.0,352107,0,,1534.0,1
2025-11-23,1535.9,18433951,12818848,69.54,1537.26,198313
2025-11-24,1539.7,15033482,7863116,52.3,1546.34,299805
2025-11-25,1569.9,14054299,8561296,60.92,1562.98,285274
2025-11-26,1563.4,9794643,5655438,57.74,1563.68,278929
2025-11-27,1567.5,8959508,4892138,54.6,1571.94,229373
2025-11-30,1566.1,8920233,4919907,55.15,1571.31,292601
2025-12-01,1546.3,11389150,7433861,65.27,1550.62,323713
2025-12-02,1538.8,6090883,4053636,66.55,1539.45,156721
2025-12-03,1535.6,11867930,7707822,64.95,1543.73,203260
2025-12-04,1540.6,10183266,6539615,64.22,1534.8,181528
2025-12-07,1543.0,11301491,6613331,58.52,1540.71,182756
2025-12-08,1529.4,11503971,6492653,56.44,1530.0,205129
2025-12-09,1536.9,7991629,5365813,67.14,1539.72,202989
2025-12-10,1545.0,4706197,2212402,47.01,1540.61,168155
2025-12-11,1556.5,5106655,3405248,66.68,1555.21,139702
2025-12-14,1556.2,5774543,3925713,67.98,1553.69,185872
2025-12-15,1542.3,11731856,4405594,37.55,1544.3,246980
2025-12-16,1544.4,7116649,3802545,53.43,1544.14,176852
2025-12-17,1544.4,6580829,3202789,48.67,1545.3,175814
2025-12-18,1565.1,13937275,9411406,67.53,1566.6,279233
2025-12-21,1575.4,10184852,6779085,66.56,1571.96,371017
2025-12-22,1570.7,7506564,2344588,31.23,1573.01,179265
2025-12-23,1558.2,8815745,4392605,49.83,1559.55,243970
2025-12-25,1559.2,2311495,1282416,55.48,1558.05,81976
2025-12-28,1545.6,5972105,2987586,50.03,1547.8,158162
2025-12-29,1539.8,8815884,4965382,56.32,1543.21,199428
2025-12-30,1570.4,5771830,2978159,51.6,1566.86,141792
2025-12-31,1575.6,6408128,2100118,32.77,1578.67,134062
2026-01-01,1592.3,6602230,4876895,73.87,1589.16,156023
2026-01-04,1578.1,8704973,5829320,66.97,1589.36,227204
2026-01-05,1507.6,27417125,13827457,50.43,1516.17,583917
2026-01-06,1504.2,11199340,6718330,59.99,1506.81,302077
2026-01-07,1470.6,16518684,11541052,69.87,1477.72,443727
2026-01-08,1475.3,8335311,4678450,56.13,1472.13,237412
2026-01-11,1483.2,8883745,4884119,54.98,1469.79,236827
2026-01-12,1452.8,13499760,5901025,43.71,1457.67,289198
2026-01-13,1458.8,8321764,3893699,46.79,1458.22,167816
2026-01-15,1457.9,17167161,11151787,64.96,1464.15,289037
2026-01-18,1413.6,20392765,10847268,53.19,1415.36,569720
2026-01-19,1394.0,13189498,6601674,50.05,1401.05,382470
2026-01-20,1404.6,17352720,8416217,48.5,1399.14,412452
2026-01-21,1402.5,15721693,7029268,44.71,1403.8,391641
