date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1969.6,687299,410925,59.79,1970.07,35804
2025-11-03,1971.5,664256,322655,48.57,1977.75,50416
2025-11-05,1970.8,1094086,724028,66.18,1973.55,78297
2025-11-06,1998.9,1241016,881731,71.05,1991.29,58288
2025-11-09,1989.3,1087154,791950,72.85,1995.8,60573
2025-11-10,1997.3,901898,615614,68.26,1993.64,71864
2025-11-11,1996.7,1006737,697159,69.25,1995.84,64948
2025-11-12,1987.9,671028,422177,62.91,1987.43,45796
2025-11-13,2000.9,678599,441552,65.07,1990.28,43562
2025-11-16,1996.0,726715,511314,70.36,2000.85,41766
2025-11-17,1993.3,855558,553195,64.66,1998.04,48160
2025-11-18,2004.8,894171,687937,76.94,2002.85,55045
2025-11-19,2027.1,805778,551572,68.45,2019.07,31816
2025-11-20,2022.5,506477,319581,63.1,2023.88,34796
2025-11-23,2014.8,2592739,2142884,82.65,2014.28,81742
2025-11-24,2031.0,748087,366790,49.03,2022.15,43344
2025-11-25,2029.1,826123,564552,68.34,2031.44,46463
2025-11-26,2004.5,652128,441703,67.73,2007.18,35922
2025-11-27,1966.0,1011160,644072,63.7,1977.97,50844
2025-11-30,1971.6,483716,279424,57.77,1963.94,41733
2025-12-01,1981.5,942591,545753,57.9,1969.42,55575
2025-12-02,1972.8,515105,300420,58.32,1971.08,32213
2025-12-03,2002.9,660360,365752,55.39,1999.24,49507
2025-12-04,2023.7,749526,301019,40.16,2026.83,44203
2025-12-07,2020.7,1050200,541297,51.54,2024.29,58247
2025-12-08,2006.2,887191,544683,61.39,2001.51,69854
2025-12-09,2020.0,499251,0,,2020.0,1
2025-12-09,2014.5,598172,326025,54.5,2015.13,45413
2025-12-10,2006.9,635250,388650,61.18,2010.11,34638
2025-12-11,2025.9,557472,323587,58.05,2018.93,38267
2025-12-14,2034.9,565860,394372,69.69,2027.9,40952
2025-12-15,2036.0,815797,503548,61.72,2042.01,70869
2025-12-16,2010.2,896027,593266,66.21,2009.84,66417
2025-12-17,2014.4,301399,126043,41.82,2012.95,26780
2025-12-18,2028.4,751874,539126,71.7,2026.46,55514
2025-12-21,2022.3,526892,346464,65.76,2020.55,29480
2025-12-22,2024.8,290105,174163,60.03,2025.59,17128
2025-12-23,2025.4,353971,202721,57.27,2027.77,25636
2025-12-25,2019.1,180039,102066,56.69,2016.42,13491
2025-12-28,2009.8,407998,258510,63.36,2015.0,23147
2025-12-29,1995.5,3166927,2336038,73.76,1990.18,92710
2025-12-30,2034.9,751134,438945,58.44,2027.51,37701
2025-12-31,2040.4,235630,112682,47.82,2036.52,24391
2026-01-01,2067.4,472182,239138,50.65,2065.21,25202
2026-01-04,2075.6,788144,534047,67.76,2081.91,45074
2026-01-05,2095.8,618958,395595,63.91,2095.93,48541
2026-01-06,2070.8,1065734,752450,70.6,2089.08,73142
2026-01-07,2082.9,956736,524156,54.79,2081.7,57868
2026-01-08,2070.0,455165,213432,46.89,2076.47,47519
2026-01-11,2098.0,1051481,573381,54.53,2093.68,50292
2026-01-12,2082.4,425540,203627,47.85,2086.11,27843
2026-01-13,2068.8,942775,671245,71.2,2071.76,36612
2026-01-15,2075.0,240731,0,,2075.0,1
2026-01-15,2081.0,753887,420728,55.81,2079.56,42512
2026-01-18,2073.7,552463,367575,66.53,2077.66,35845
2026-01-19,2049.1,576100,361756,62.79,2058.78,54913
2026-01-20,2055.4,1014083,666255,65.7,2057.74,72264
2026-01-21,2022.0,1829617,1171711,64.04,2023.11,87243
2026-01-22,2002.6,1128576,636489,56.4,2000.2,57675
2026-01-26,2038.2,1396624,883388,63.25,2030.53,97072
2026-01-27,2053.2,1391036,656260,47.18,2056.24,68392
2026-01-28,1996.3,3546891,1966269,55.44,1991.86,134806
2026-01-29,1998.5,2050622,1361508,66.39,1994.01,69140
2026-01-31,1974.3,805792,352807,43.78,1976.79,40542
2026-02-01,2001.0,1337964,894001,66.82,1989.26,83038
2026-02-02,2002.1,1915073,1138594,59.45,2026.8,97451
