date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,949.7,11744735,4440992,37.81,948.05,257905
2025-11-03,957.6,19154518,4714905,24.62,951.24,274272
2025-11-05,960.75,23088096,13397703,58.03,962.26,295608
2025-11-06,955.85,13371323,7959780,59.53,955.55,213279
2025-11-09,951.15,7343249,3897836,53.08,952.71,152876
2025-11-10,953.3,8648917,4657015,53.85,951.16,194994
2025-11-11,957.15,7043323,4074618,57.85,958.12,135063
2025-11-12,954.0,8894441,5037758,56.64,957.93,164831
2025-11-13,967.85,11032927,7101035,64.36,962.38,191862
2025-11-16,973.35,7415026,4733813,63.84,973.09,117287
2025-11-17,973.35,7275312,0,,973.35,1
2025-11-17,972.45,6594686,3596058,54.53,972.74,107945
2025-11-18,982.75,8291226,4914972,59.28,979.31,142097
2025-11-19,981.55,6440857,3856730,59.88,982.12,139178
2025-11-20,972.6,5377241,3526428,65.58,975.11,113553
2025-11-23,970.6,9901946,6465112,65.29,972.3,112062
2025-11-24,983.6,9140201,4782863,52.33,983.32,207975
2025-11-25,983.9,13943490,8480096,60.82,989.4,178538
2025-11-26,972.85,11909168,6251102,52.49,975.62,174267
2025-11-27,979.0,8117842,4945604,60.92,978.89,150394
2025-11-30,973.1,8808306,4672529,53.05,979.16,237856
2025-12-01,967.3,13444314,8460301,62.93,973.23,177697
2025-12-02,951.05,14051968,9786367,69.64,952.61,233255
2025-12-03,948.1,13622724,10093237,74.09,947.46,272677
2025-12-04,971.5,17347847,8919256,51.41,961.57,190193
2025-12-07,956.4,15386438,9560791,62.14,957.71,201129
2025-12-08,959.35,9580294,4733387,49.41,959.08,196017
2025-12-09,959.75,6989178,4697040,67.2,958.76,130262
2025-12-10,963.25,5979035,3460867,57.88,962.82,154525
2025-12-11,963.15,5681930,3781173,66.55,961.54,129140
2025-12-14,967.25,4416952,2393856,54.2,964.79,136982
2025-12-15,961.15,4764786,2564613,53.82,963.41,161741
2025-12-16,975.85,8013382,4403763,54.96,974.78,157698
2025-12-17,977.55,4926879,2866960,58.19,977.85,123255
2025-12-18,980.3,5376584,3858700,71.77,979.9,105980
2025-12-21,974.3,5959037,3825938,64.2,975.83,172900
2025-12-22,971.9,5123287,3076142,60.04,973.41,142849
2025-12-23,968.95,4105643,2078323,50.62,972.14,127471
2025-12-25,966.3,3286321,1928614,58.69,967.5,101940
2025-12-28,965.05,5267233,3621874,68.76,965.03,143589
2025-12-29,973.45,15030644,11034482,73.41,971.99,221265
2025-12-30,982.2,5807630,3834684,66.03,982.0,109225
2025-12-31,984.75,4328348,2382544,55.05,984.57,95120
2026-01-01,998.95,7357435,4418601,60.06,993.34,117850
2026-01-04,1005.55,11259060,6742218,59.88,1007.59,183843
2026-01-05,1018.9,9575742,5659882,59.11,1018.15,223012
2026-01-06,1007.15,7896720,4907366,62.14,1009.83,140422
2026-01-07,998.0,6854268,3817691,55.7,1001.81,184563
2026-01-08,1000.5,7809460,4272745,54.71,1001.78,127785
2026-01-11,1015.15,7617922,4160641,54.62,1006.21,161160
2026-01-12,1028.45,11016895,6911009,62.73,1025.2,165775
2026-01-13,1028.35,7370514,3757925,50.99,1026.09,131534
2026-01-15,1042.3,11051580,7305291,66.1,1039.49,247268
2026-01-18,1038.4,5460164,3287159,60.2,1039.62,150416
2026-01-19,1036.4,8905718,5445587,61.15,1040.41,194593
2026-01-20,1028.65,7408949,4318078,58.28,1029.89,154792
2026-01-21,1048.35,12001641,7166872,59.72,1046.47,230274
2026-01-22,1029.5,10917698,6860438,62.84,1038.67,206940
2026-01-26,1053.15,14420630,7273214,50.44,1044.18,225915
2026-01-27,1063.5,12171257,7496477,61.59,1058.02,185549
2026-01-28,1066.2,14800724,10056175,67.94,1069.34,240283
2026-01-29,1077.15,9480769,5649219,59.59,1074.86,167283
2026-01-31,1018.2,12051593,4310120,35.76,1037.87,287388
2026-02-01,1028.7,14434549,7093883,49.15,1012.48,304031
2026-02-02,1064.2,16129381,9649437,59.83,1060.86,243054
2026-02-03,1068.2,7312276,5107562,69.85,1068.3,270312
2026-02-04,1073.5,9551567,6309756,66.06,1073.99,307940
2026-02-05,1066.4,7041557,3904344,55.45,1061.27,149134
2026-02-08,1146.0,40852966,21865606,53.52,1134.48,670729
2026-02-09,1144.1,17280036,10516689,60.86,1143.87,250192
2026-02-10,1182.9,29491859,17701261,60.02,1173.34,401532
2026-02-11,1192.4,33214985,19957777,60.09,1193.67,376330
2026-02-12,1198.6,18141390,11464332,63.19,1194.68,226098
2026-02-15,1208.1,14972739,8908625,59.5,1194.69,271610
2026-02-16,1213.4,20107196,11513885,57.26,1217.0,267679
2026-02-17,1218.9,10417264,6248563,59.98,1218.94,255363
2026-02-18,1205.7,9630899,4684664,48.64,1211.52,177689
2026-02-19,1216.1,9958162,5395542,54.18,1210.22,199855
2026-02-22,1227.8,9733835,5906884,60.68,1225.65,201974
2026-02-23,1223.3,15788449,9799064,62.06,1225.16,254767
2026-02-24,1200.1,19581100,13787323,70.41,1205.52,257788
2026-02-25,1209.5,16196052,9811625,60.58,1200.9,324026
2026-02-26,1201.7,10700355,6985916,65.29,1202.73,177264
2026-03-01,1189.9,16270835,9008139,55.36,1187.73,295263
2026-03-03,1174.5,13855065,8436616,60.89,1167.0,278411
2026-03-04,1169.5,22100665,14295949,64.69,1165.03,281615
2026-03-05,1143.0,20333328,13855646,68.14,1153.49,265693
2026-03-08,1098.5,24631198,13024138,52.88,1082.98,501841
2026-03-09,1112.2,17491459,9566402,54.69,1111.52,251051
2026-03-10,1091.1,8364878,4673445,55.87,1101.7,195732
2026-03-11,1085.2,14614140,7482048,51.2,1080.46,290778
2026-03-12,1047.0,15978675,10423369,65.23,1056.49,326824
2026-03-15,1066.7,15322269,8360612,54.57,1055.71,257314
2026-03-16,1064.7,16427877,5338861,32.5,1059.34,320717
2026-03-17,1069.8,10749915,5325014,49.54,1067.78,240312
2026-03-18,1048.9,13431191,6379272,47.5,1049.88,376097
2026-03-19,1058.0,17748625,9830264,55.39,1068.9,497694
2026-03-22,1031.9,16039603,8461504,52.75,1031.01,335720
2026-03-23,1030.8,30416734,15712404,51.66,1035.19,310955
2026-03-24,1060.6,16205333,7537854,46.51,1057.61,251103
2026-03-26,1019.5,20445349,12703916,62.14,1032.18,444041
2026-03-29,979.4,21438137,9371295,43.71,988.29,314799
2026-03-31,1017.8,17424479,7917435,45.44,1014.18,250727
2026-04-01,1018.4,20777629,8523263,41.02,1000.77,388413
2026-04-05,1032.75,23576634,11150138,47.29,1020.29,332091
2026-04-06,1030.4,15021291,5350752,35.62,1024.42,218422
2026-04-07,1061.45,28533742,14682235,51.46,1068.54,315463
2026-04-08,1040.95,24772948,10826945,43.7,1047.89,300821
2026-04-09,1066.7,17861336,9154450,51.25,1060.04,250442
2026-04-12,1063.55,17763348,7009975,39.46,1052.98,243852
2026-04-14,1071.5,16195810,7707583,47.59,1074.29,252841
2026-04-15,1067.15,20313165,8716041,42.91,1070.72,274626
2026-04-16,1080.25,16823879,10692540,63.56,1073.16,174866
2026-04-19,1107.85,31179584,18283825,58.64,1109.38,409719
2026-04-20,1111.85,16963734,8669708,51.11,1111.12,221554
2026-04-21,1103.3,12412659,7407492,59.68,1105.72,173846
2026-04-22,1094.25,13669001,6338319,46.37,1094.33,167995
2026-04-23,1101.1,13774745,8580511,62.29,1097.12,194209
2026-04-26,1111.85,11624385,6727510,57.87,1109.38,189849
2026-04-27,1091.3,10727835,4493353,41.88,1097.54,177701
2026-04-28,1086.9,10611104,5916997,55.76,1095.45,170982
2026-04-29,1068.45,14269539,6670067,46.74,1069.56,229719
2026-05-03,1068.4,11693211,6887314,58.9,1076.63,162818
2026-05-04,1059.9,12194631,4566629,37.45,1060.29,222176
2026-05-05,1096.0,14384779,7370433,51.24,1078.83,196273
2026-05-06,1092.0,16105163,7178302,44.57,1094.08,261618
2026-05-07,1019.3,48065909,21794655,45.34,1037.45,592384
2026-05-10,973.6,46927396,28316556,60.34,980.59,1016193
2026-05-11,974.6,25787092,11136191,43.19,972.2,443183
2026-05-12,970.1,17584580,6724500,38.24,972.53,313800
2026-05-13,979.9,16487142,5898688,35.78,977.65,260699
2026-05-14,963.2,26972493,16782316,62.22,966.7,298397
