date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1706.4,1099955,629062,57.19,1700.86,66768
2025-11-03,1690.0,1597993,1038733,65.0,1689.7,69263
2025-11-05,1685.9,3389867,1700433,50.16,1692.12,109525
2025-11-06,1691.4,1512908,750184,49.59,1692.91,59783
2025-11-09,1697.8,1235665,784413,63.48,1696.74,57380
2025-11-10,1716.1,1315353,784851,59.67,1707.49,63980
2025-11-11,1732.1,1833097,1089426,59.43,1731.35,87893
2025-11-12,1737.4,1727602,1105829,64.01,1738.76,98434
2025-11-13,1757.1,1667322,1170855,70.22,1752.44,76895
2025-11-16,1763.9,1430618,908929,63.53,1760.29,57594
2025-11-17,1763.9,1446414,0,,1763.9,1
2025-11-17,1758.8,1429522,944633,66.08,1757.88,68012
2025-11-18,1784.1,2131124,1419633,66.61,1780.63,77851
2025-11-19,1777.4,1513894,982180,64.88,1779.52,92396
2025-11-20,1779.7,2199311,1723197,78.35,1779.36,105515
2025-11-23,1780.8,3434492,2624479,76.42,1779.46,75407
2025-11-24,1776.8,1848114,1229894,66.55,1782.02,81893
2025-11-25,1804.9,1158948,673708,58.13,1796.22,59574
2025-11-26,1810.3,2902053,2373074,81.77,1811.18,72954
2025-11-27,1831.6,1623103,1057389,65.15,1824.62,75151
2025-11-30,1807.4,1869293,1125549,60.21,1813.24,90208
2025-12-01,1799.5,2948688,2067538,70.12,1797.04,81274
2025-12-02,1806.7,2114510,1413209,66.83,1798.78,69470
2025-12-03,1818.3,1713961,1120042,65.35,1813.77,80509
2025-12-04,1805.3,1777401,1212533,68.22,1807.51,73764
2025-12-07,1796.2,2410074,1658133,68.8,1795.15,83796
2025-12-08,1776.0,2401728,1506135,62.71,1785.37,92205
2025-12-09,1785.5,2321746,1719314,74.05,1780.6,93159
2025-12-10,1807.2,1280916,843120,65.82,1798.06,56389
2025-12-11,1793.5,1442309,1051905,72.93,1798.37,65597
2025-12-14,1797.1,1396948,957150,68.52,1790.31,77261
2025-12-15,1781.3,1533979,1016878,66.29,1784.82,86772
2025-12-16,1792.9,1910628,1423814,74.52,1787.62,100983
2025-12-17,1745.9,3461351,2353457,67.99,1747.03,182076
2025-12-18,1744.9,2768986,2054389,74.19,1746.75,77946
2025-12-21,1769.8,1467257,1078558,73.51,1762.72,81361
2025-12-22,1755.9,1124853,737464,65.56,1763.78,46712
2025-12-23,1737.0,2224786,1419582,63.81,1735.44,86875
2025-12-25,1719.5,2507337,1444889,57.63,1716.05,101172
2025-12-28,1717.2,1800816,1238928,68.8,1720.24,68826
2025-12-29,1720.2,2639497,2030102,76.91,1717.43,102167
2025-12-30,1719.7,1428439,1029019,72.04,1720.23,77219
2025-12-31,1721.1,877515,574242,65.44,1718.56,31190
2026-01-01,1728.0,974123,744525,76.43,1726.2,29743
2026-01-04,1728.9,1416698,920572,64.98,1735.55,55519
2026-01-05,1760.2,1658801,1007454,60.73,1749.19,63551
2026-01-06,1782.6,3059500,1725421,56.4,1778.55,88117
2026-01-07,1760.7,1910656,1185717,62.06,1767.33,73921
2026-01-08,1729.9,1585689,1059053,66.79,1736.65,49564
2026-01-11,1736.0,2327272,1571828,67.54,1727.2,77257
2026-01-12,1728.7,1770082,1188052,67.12,1722.48,42237
2026-01-13,1700.7,2479677,1558003,62.83,1701.62,94476
2026-01-15,1668.9,3697596,2509566,67.87,1671.95,249009
2026-01-18,1675.4,2975272,1677433,56.38,1668.73,98665
2026-01-19,1613.8,5019166,3599107,71.71,1632.88,156302
2026-01-20,1612.9,3947877,2616741,66.28,1620.54,131871
2026-01-21,1634.2,2279862,1395091,61.19,1627.51,88059
2026-01-22,1631.9,1678658,1038689,61.88,1634.48,65473
2026-01-26,1638.9,2666522,1461961,54.83,1635.62,115421
2026-01-27,1610.6,4124391,3154879,76.49,1608.34,62966
2026-01-28,1589.3,5796513,4216696,72.75,1592.48,115745
2026-01-29,1595.3,3962196,2792341,70.47,1595.94,78221
2026-01-31,1610.1,2373624,595982,25.11,1622.66,75134
2026-02-01,1627.9,2721280,1633746,60.04,1617.48,95488
2026-02-02,1702.1,8520586,5781024,67.85,1697.42,271636
2026-02-03,1704.4,3952775,2954964,74.76,1708.83,203292
2026-02-04,1702.6,3074842,2437754,79.28,1700.8,108065
2026-02-05,1695.1,1277116,968473,75.83,1695.07,73261
2026-02-08,1704.6,2647031,2020220,76.32,1707.59,79298
2026-02-09,1707.8,1869988,1396481,74.68,1710.17,98706
2026-02-10,1711.1,1175501,886618,75.42,1710.17,70325
2026-02-11,1714.9,1359444,943073,69.37,1713.5,74644
2026-02-12,1697.5,1148165,840932,73.24,1704.75,57795
2026-02-15,1700.5,1247403,817279,65.52,1700.03,72604
2026-02-16,1717.1,1053855,647878,61.48,1714.57,46102
2026-02-17,1724.4,1262429,778723,61.68,1725.51,47912
2026-02-18,1713.4,1143429,760725,66.53,1719.67,47406
2026-02-19,1724.4,1203988,888887,73.83,1722.21,35649
