date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1197.5,2595111,504101,19.43,1183.56,82337
2025-11-03,1179.3,2886618,1060562,36.74,1171.25,83417
2025-11-05,1190.4,2401724,1658875,69.07,1184.41,68778
2025-11-06,1167.2,1351606,806384,59.66,1173.83,41091
2025-11-09,1142.7,1586398,980905,61.83,1152.15,74760
2025-11-10,1156.2,1177071,659610,56.04,1150.19,59237
2025-11-11,1162.0,1168588,712212,60.95,1161.16,57386
2025-11-12,1154.8,1603498,1082686,67.52,1157.21,51317
2025-11-13,1157.8,1832598,1415796,77.26,1157.15,58177
2025-11-16,1178.9,2105780,1381411,65.6,1174.29,50731
2025-11-17,1154.1,1695622,1165592,68.74,1162.86,31432
2025-11-18,1162.1,1935207,1370790,70.83,1156.91,43361
2025-11-19,1173.9,2193836,1588044,72.39,1172.77,62036
2025-11-20,1183.1,3194549,2296143,71.88,1176.05,49506
2025-11-23,1186.0,4765158,3769089,79.1,1183.71,61476
2025-11-24,1177.7,1258048,667089,53.03,1177.88,47170
2025-11-25,1185.3,713335,332088,46.55,1181.77,27587
2025-11-26,1177.7,1118308,630301,56.36,1178.75,43191
2025-11-27,1172.4,1020242,608425,59.64,1172.03,31601
2025-11-30,1163.8,487062,257983,52.97,1164.25,32280
2025-12-01,1162.2,708989,455900,64.3,1161.93,39200
2025-12-02,1140.0,716554,327991,45.77,1141.76,31877
2025-12-03,1148.4,703643,281605,40.02,1144.83,30615
2025-12-04,1162.9,699541,434442,62.1,1156.8,36297
2025-12-07,1145.8,590111,313189,53.07,1152.09,39067
2025-12-08,1146.7,851746,495274,58.15,1144.93,60314
2025-12-09,1140.1,342793,145013,42.3,1143.52,35204
2025-12-10,1142.1,616435,316596,51.36,1146.26,32399
2025-12-11,1149.3,751834,479234,63.74,1144.95,28360
2025-12-14,1157.4,1037323,579732,55.89,1158.92,47310
2025-12-15,1169.9,1181775,576254,48.76,1169.96,49423
2025-12-16,1179.8,1502200,941748,62.69,1179.65,47313
2025-12-17,1171.5,568209,284151,50.01,1174.45,29565
2025-12-18,1184.0,598033,355498,59.44,1180.69,27184
2025-12-21,1178.8,670307,397902,59.36,1179.09,33482
2025-12-22,1185.6,805182,551274,68.47,1182.12,37955
2025-12-23,1179.2,530345,312535,58.93,1178.53,27692
2025-12-25,1175.7,322741,229332,71.06,1176.02,15989
2025-12-28,1195.2,1806020,1003786,55.58,1188.23,45508
2025-12-29,1179.0,2256987,1439767,63.79,1181.72,85821
2025-12-30,1192.0,960678,590460,61.46,1188.36,30192
2025-12-31,1176.9,947192,613961,64.82,1180.74,27933
2026-01-01,1170.7,955406,647577,67.78,1174.24,54782
2026-01-04,1182.1,1521762,1051115,69.07,1181.57,50509
2026-01-05,1210.4,1202300,634553,52.78,1201.62,49271
2026-01-06,1212.6,1021615,580069,56.78,1212.41,51596
2026-01-07,1197.4,562710,266144,47.3,1198.78,32218
2026-01-08,1175.9,555547,268035,48.25,1187.35,28651
2026-01-11,1192.3,663978,217794,32.8,1187.0,33990
2026-01-12,1189.4,598454,300718,50.25,1190.79,25663
2026-01-13,1171.4,577684,318891,55.2,1174.6,35722
2026-01-15,1189.1,1250225,762611,61.0,1189.9,39783
2026-01-18,1180.2,547580,308121,56.27,1183.02,26211
2026-01-19,1185.0,2027446,1043524,51.47,1192.7,49919
2026-01-20,1163.6,946906,435543,46.0,1174.23,52276
2026-01-21,1175.2,1495139,951936,63.67,1176.51,43747
2026-01-22,1153.5,1456971,864325,59.32,1167.15,48620
