date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,417.0,8952229,4506210,50.34,413.91,116167
2025-11-03,406.5,8889004,5147981,57.91,409.34,121609
2025-11-05,407.85,6862359,3679642,53.62,407.81,112326
2025-11-06,405.7,6930046,3546187,51.17,404.77,135368
2025-11-09,410.45,7913640,3829387,48.39,410.2,133206
2025-11-10,407.6,8120946,3456417,42.56,405.76,125989
2025-11-11,402.15,12940220,7874682,60.85,404.4,159229
2025-11-12,397.95,13165727,7840657,59.55,399.51,159478
2025-11-13,391.2,21834856,14292112,65.46,391.92,191160
2025-11-16,372.7,32393346,15484168,47.8,372.85,365825
2025-11-17,371.3,17484757,10081221,57.66,371.64,187800
2025-11-18,360.85,17854517,9887864,55.38,363.84,254289
2025-11-19,359.8,15999034,9955699,62.23,361.28,193006
2025-11-20,362.25,10829322,4412665,40.75,361.72,133734
2025-11-23,358.3,12671925,7408248,58.46,358.65,159958
2025-11-24,352.45,12577566,8240712,65.52,354.86,176255
2025-11-25,359.25,13130211,5965110,45.43,358.82,155509
2025-11-26,357.8,8871759,3759237,42.37,358.93,136972
2025-11-27,356.8,10905212,7049860,64.65,356.97,125408
2025-11-30,363.8,12714139,5021858,39.5,362.16,163903
2025-12-01,361.75,8576018,4690033,54.69,361.28,124642
2025-12-02,356.85,9504331,5344375,56.23,356.67,182012
2025-12-03,356.45,9173145,5597976,61.03,356.4,132488
2025-12-04,353.6,5667381,3064908,54.08,354.49,113172
2025-12-07,348.3,7186158,3343558,46.53,350.29,142693
2025-12-08,344.7,9143402,4415105,48.29,345.24,135669
2025-12-09,343.4,8705054,4749301,54.56,344.12,153819
2025-12-10,346.65,6756893,3092652,45.77,345.12,102158
2025-12-11,347.45,7241621,3817739,52.72,347.07,100793
2025-12-14,347.15,8169383,4334249,53.05,345.98,158931
2025-12-15,345.45,8391226,5454001,65.0,346.04,178496
2025-12-16,346.35,7045390,3460424,49.12,347.25,134403
2025-12-17,345.8,15417506,6798363,44.1,342.64,207631
2025-12-18,352.65,74052760,57351632,77.45,352.46,254504
2025-12-21,359.15,10798315,6058230,56.1,358.33,202003
2025-12-22,363.25,11885576,5990522,50.4,363.13,138274
2025-12-23,359.2,9212351,5161073,56.02,360.4,184509
2025-12-25,358.8,8589856,4877942,56.79,357.32,97598
2025-12-28,358.6,10050266,5762307,57.33,359.73,99849
2025-12-29,361.75,13807060,8499912,61.56,361.45,125229
2025-12-30,367.35,10439184,5703026,54.63,365.71,98599
2025-12-31,367.55,7214281,2730487,37.85,367.93,71670
2026-01-01,370.35,7077536,3587957,50.7,370.71,109207
2026-01-04,373.55,9591926,5546247,57.82,372.22,124850
2026-01-05,368.9,17493345,9885210,56.51,366.21,170731
2026-01-06,363.35,10682229,5379806,50.36,361.93,130101
2026-01-07,359.45,7353203,3812772,51.85,360.86,129887
2026-01-08,354.15,8018768,3825081,47.7,355.63,138083
2026-01-11,350.55,9771562,5319411,54.44,350.68,135928
2026-01-12,349.75,7527115,3572599,47.46,348.4,103315
2026-01-13,349.8,6249594,3367827,53.89,351.19,89759
2026-01-15,353.6,10735620,6344538,59.1,355.52,161518
2026-01-18,344.0,14364958,7498992,52.2,343.53,252371
2026-01-19,337.85,11541904,6438389,55.78,339.6,155485
2026-01-20,339.25,9873473,5202593,52.69,340.32,137689
2026-01-21,347.3,10714263,5412045,50.51,347.69,122161
2026-01-22,344.45,8354700,4258848,50.98,346.04,108772
2026-01-26,340.55,12510469,5802876,46.38,339.96,168648
2026-01-27,340.45,9425163,4775819,50.67,340.75,103188
2026-01-28,351.8,13586977,6108945,44.96,345.6,138064
2026-01-29,350.05,9910289,6094024,61.49,350.33,135196
2026-01-31,344.65,8423914,2943977,34.95,350.75,95204
2026-02-01,362.9,19654613,7230955,36.79,356.71,217734
2026-02-02,372.05,16720225,7434566,44.46,372.54,192145
2026-02-03,375.45,10142353,5134500,50.62,373.4,110390
2026-02-04,374.15,14013838,6205438,44.28,370.22,121022
2026-02-05,369.5,23116970,7926921,34.29,372.38,244742
2026-02-08,377.4,8800284,4165750,47.34,376.27,133652
2026-02-09,379.35,8921719,4726337,52.98,380.0,123404
2026-02-10,384.7,10933658,4596283,42.04,384.88,112379
2026-02-11,383.45,8324442,3920754,47.1,383.64,102778
2026-02-12,380.25,15565868,9040190,58.08,380.98,121721
2026-02-15,377.25,5004467,2732795,54.61,377.22,72990
2026-02-16,382.85,7843059,3868507,49.32,379.88,82474
2026-02-17,382.85,4796850,2090055,43.57,382.02,78078
2026-02-18,375.7,6910527,3343454,48.38,380.99,85587
2026-02-19,378.0,6324165,3636778,57.51,377.68,86008
2026-02-22,379.95,11701520,8266771,70.65,379.21,91273
2026-02-23,377.55,7213746,3633974,50.38,377.46,87436
2026-02-24,381.85,7748663,3817147,49.26,381.77,100090
2026-02-25,391.55,14697484,7312452,49.75,389.12,164892
2026-02-26,382.65,15951041,10052402,63.02,385.64,129158
2026-03-01,370.6,11804909,5655986,47.91,371.82,186718
2026-03-03,351.2,17733124,10211891,57.59,354.17,311500
2026-03-04,355.15,10574236,4933946,46.66,352.37,157419
2026-03-05,350.75,6929668,3655584,52.75,351.71,102529
2026-03-08,332.0,17240937,7190033,41.7,332.18,252967
2026-03-09,345.2,13770080,6213573,45.12,340.78,140116
2026-03-10,335.35,5949596,2658610,44.69,339.44,131900
2026-03-11,324.55,9707654,4003939,41.25,326.41,180161
2026-03-12,314.1,17073811,6970258,40.82,314.09,261796
2026-03-15,314.4,10394023,4332552,41.68,312.44,134847
2026-03-16,319.2,7953108,2566019,32.26,316.98,105843
2026-03-17,324.75,7533727,2793331,37.08,325.77,94169
2026-03-18,309.3,10146164,4401676,43.38,311.73,168351
2026-03-19,314.1,13905760,8413366,60.5,314.06,109330
2026-03-22,305.25,10816349,5405656,49.98,306.18,144969
2026-03-23,311.2,8524890,3547999,41.62,309.88,104244
2026-03-24,317.95,7857557,3532018,44.95,319.08,105144
2026-03-26,303.2,19009638,8419511,44.29,304.16,239488
2026-03-29,296.2,16410266,7018501,42.77,298.34,176251
2026-03-31,302.95,8911554,4089690,45.89,304.08,111874
2026-04-01,303.3,9098035,3860388,42.43,299.39,116298
2026-04-05,307.4,6425909,2307778,35.91,304.96,88846
