date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,182.67,16652212,7407669,44.48,182.88,130699
2025-11-03,179.29,18746387,10481402,55.91,180.22,129742
2025-11-05,177.27,23664538,14115355,59.65,177.84,189659
2025-11-06,181.37,19165876,6493130,33.88,179.19,123190
2025-11-09,181.48,18376132,8747877,47.6,181.48,148991
2025-11-10,181.04,14109340,4987091,35.35,180.7,121889
2025-11-11,178.61,19037263,9495175,49.88,179.57,143638
2025-11-12,176.65,82083661,20752557,25.28,179.35,302852
2025-11-13,174.26,38345500,17228177,44.93,173.94,213625
2025-11-16,173.17,28204282,14370278,50.95,173.36,151929
2025-11-17,172.45,34278387,18862691,55.03,171.82,126450
2025-11-18,173.21,19621610,9027485,46.01,173.0,114117
2025-11-19,172.46,15968891,7653182,47.93,172.93,120735
2025-11-20,168.0,28412865,15142035,53.29,169.39,143970
2025-11-23,165.36,31202769,21487853,68.87,166.04,133342
2025-11-24,166.33,19983310,9683306,48.46,166.29,148206
2025-11-25,169.67,15044796,5421115,36.03,169.26,108996
2025-11-26,168.13,17546627,7583833,43.22,168.71,129556
2025-11-27,167.96,11975539,6489176,54.19,168.06,107176
2025-11-30,168.63,11758473,5475408,46.57,168.56,122675
2025-12-01,167.78,15355023,8243744,53.69,167.8,154239
2025-12-02,166.92,18873943,9104610,48.24,166.32,144843
2025-12-03,166.77,11419966,5104436,44.7,166.93,122230
2025-12-04,167.11,33500436,22276386,66.5,165.82,119942
2025-12-07,163.47,15772400,7653559,48.53,164.74,143653
2025-12-08,160.67,25766371,13424036,52.1,161.41,206014
2025-12-09,162.23,22537548,9901031,43.93,162.27,199408
2025-12-10,166.38,32603566,11917082,36.55,164.96,175721
2025-12-11,171.89,41130927,18800043,45.71,170.7,331595
2025-12-14,172.87,23254201,13384696,57.56,172.45,250886
2025-12-15,169.83,22981935,12781669,55.62,170.21,203504
2025-12-16,170.34,11624504,4919924,42.32,170.28,133540
2025-12-17,168.12,13152378,5133368,39.03,169.05,129480
2025-12-18,168.69,28448892,18661663,65.6,168.6,145333
2025-12-21,169.22,23729300,13879916,58.49,170.0,168942
2025-12-22,170.9,17348078,8428408,48.58,170.54,129321
2025-12-22,170.9,1,1,100.0,170.0,1
2025-12-23,170.07,17430406,9045171,51.89,170.67,100506
2025-12-25,169.12,16904834,8687681,51.39,168.71,114915
2025-12-28,172.3,48001907,21253973,44.28,172.74,201065
2025-12-29,175.8,33741158,16616438,49.25,174.36,211409
2025-12-30,180.08,50897201,21978807,43.18,180.1,394423
2025-12-31,181.89,21507757,8849050,41.14,181.32,139910
2026-01-01,182.88,23006840,11657795,50.67,182.93,175683
2026-01-04,185.72,30646009,14284484,46.61,185.36,186230
2026-01-05,186.2,28514282,12126735,42.53,186.48,225277
2026-01-06,183.8,18231588,8128611,44.59,184.27,123638
2026-01-07,180.12,38454951,15080151,39.22,181.41,200933
2026-01-08,178.4,25318701,13341486,52.69,179.22,131450
2026-01-11,183.24,25782267,10074548,39.08,181.0,207911
2026-01-12,182.57,19155081,7477338,39.04,182.74,128721
2026-01-13,189.25,55907778,21885610,39.15,188.13,258123
2026-01-15,188.21,26028519,10755859,41.32,189.04,168803
2026-01-18,188.27,19709364,9461622,48.01,188.22,189987
2026-01-19,183.56,20094927,8195868,40.79,185.8,176293
2026-01-20,184.41,35037961,16382193,46.76,183.43,214852
2026-01-21,189.1,35681682,15663413,43.9,188.41,241558
2026-01-22,187.61,28492706,11892773,41.74,189.81,164985
2026-01-26,192.28,42314287,22323902,52.76,190.97,261478
