date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,3016.8,2194877,1336910,60.91,3024.83,101452
2025-11-03,2990.2,2670720,1483484,55.55,2992.11,168525
2025-11-05,3010.9,2542721,1413297,55.58,3010.5,200775
2025-11-06,2991.8,1830520,1109024,60.59,2979.65,106949
2025-11-09,3025.2,1556656,816069,52.42,3022.51,78119
2025-11-10,3047.0,2806868,1342988,47.85,3037.03,112361
2025-11-11,3131.8,4460315,3015019,67.6,3114.78,175446
2025-11-12,3105.7,1740435,1055344,60.64,3113.07,120845
2025-11-13,3106.0,2210794,1541959,69.75,3095.35,105008
2025-11-16,3102.2,2232853,1388889,62.2,3099.87,96155
2025-11-17,3087.1,2548350,1403839,55.09,3090.92,110903
2025-11-18,3147.7,3151053,1788158,56.75,3136.67,160625
2025-11-19,3144.8,2700767,1467605,54.34,3152.05,113822
2025-11-20,3150.6,4177037,2277567,54.53,3153.22,136571
2025-11-23,3141.2,6703764,4763581,71.06,3151.71,176937
2025-11-24,3119.2,2737920,1619081,59.14,3127.55,144573
2025-11-25,3162.9,2508527,1616953,64.46,3157.95,112405
2025-11-26,3136.6,2836233,1656213,58.39,3142.97,171374
2025-11-27,3137.5,1616690,1002178,61.99,3137.82,79463
2025-11-30,3133.4,1747647,1072880,61.39,3133.29,130698
2025-12-01,3135.7,2512003,1603990,63.85,3133.36,127701
2025-12-02,3180.0,3952112,2122464,53.7,3185.48,192454
2025-12-03,3229.2,5025905,3363573,66.92,3231.21,185585
2025-12-04,3238.2,5244013,3239404,61.77,3246.03,178219
2025-12-07,3236.5,2544725,1536350,60.37,3236.92,121186
2025-12-08,3208.3,2734893,1262341,46.16,3201.08,138787
2025-12-09,3189.2,1386849,722010,52.06,3191.56,82261
2025-12-10,3191.9,1914362,944111,49.32,3184.35,100793
2025-12-11,3220.5,1146554,740058,64.55,3209.12,83968
2025-12-14,3230.2,1562190,970452,62.12,3220.97,107289
2025-12-15,3205.1,1734623,1029972,59.38,3204.68,97265
2025-12-16,3217.8,1376350,821318,59.67,3218.6,88357
2025-12-17,3280.8,2307422,1185210,51.37,3260.45,166551
2025-12-18,3282.0,3902511,2437494,62.46,3295.0,122711
2025-12-21,3324.9,2632816,1733705,65.85,3314.14,101733
2025-12-22,3310.0,2365420,1069663,45.22,3304.76,139216
2025-12-23,3319.0,1367708,753755,55.11,3312.41,84873
2025-12-25,3280.0,1176664,738341,62.75,3287.91,89363
2025-12-28,3251.5,2079473,1403152,67.48,3254.98,117390
2025-12-29,3246.8,2807593,1939014,69.06,3250.64,184541
2025-12-30,3206.2,3362634,2428193,72.21,3216.08,145683
2025-12-31,3227.4,1255735,497590,39.63,3219.97,56642
2026-01-01,3250.7,1184324,743388,62.77,3241.1,63356
2026-01-04,3216.1,2341703,1488966,63.58,3220.21,115281
2026-01-05,3255.8,2912325,2176224,74.72,3242.4,163408
2026-01-06,3295.6,1989442,1187319,59.68,3284.64,87338
2026-01-07,3203.9,4159336,2332774,56.09,3211.48,191554
2026-01-08,3207.8,1938673,1163231,60.0,3209.44,134640
2026-01-11,3239.6,2228342,1179907,52.95,3212.14,126371
2026-01-12,3268.0,5645341,2928026,51.87,3251.44,198353
2026-01-13,3192.5,3539511,2236476,63.19,3205.64,146477
2026-01-15,3206.7,4293470,2649992,61.72,3200.62,149121
2026-01-18,3163.6,3387562,2279253,67.28,3168.85,177858
2026-01-19,3102.3,4499273,2937139,65.28,3127.35,152322
2026-01-20,3122.6,2015150,1047132,51.96,3112.68,138565
2026-01-21,3150.4,2269827,1234423,54.38,3142.82,91528
2026-01-22,3162.5,2068857,1218491,58.9,3176.59,89144
2026-01-26,3158.0,4279874,2999663,70.09,3146.85,149619
2026-01-27,3200.1,2751234,2076924,75.49,3191.18,151790
2026-01-28,3144.4,2457641,1424483,57.96,3143.88,120763
2026-01-29,3123.9,3022068,2101964,69.55,3121.64,80949
2026-01-31,3186.9,3012937,1220232,40.5,3182.48,145412
2026-02-01,3169.6,2636272,1585558,60.14,3164.69,108170
2026-02-02,3225.3,4366060,2537328,58.11,3231.27,204924
2026-02-03,2999.1,10852595,6586991,60.7,3020.56,503705
2026-02-04,2991.5,3521545,1752189,49.76,3000.1,178696
2026-02-05,2941.6,4687389,2849084,60.78,2934.09,347514
2026-02-08,2948.2,2380318,1557664,65.44,2949.18,141131
2026-02-09,2984.6,3547763,2015776,56.82,2985.3,220699
2026-02-10,2909.8,3363513,2200770,65.43,2938.39,237669
2026-02-11,2750.1,10612156,6190643,58.34,2778.17,660406
2026-02-12,2692.2,11168735,4653582,41.67,2649.41,415060
2026-02-15,2706.6,2918730,1261501,43.22,2692.22,134363
2026-02-16,2717.4,4209118,1524494,36.22,2735.6,163505
2026-02-17,2694.9,2950820,1336904,45.31,2687.82,140494
2026-02-18,2677.9,3238849,1301446,40.18,2709.33,137884
2026-02-19,2686.2,2293482,966093,42.12,2684.4,98725
2026-02-22,2676.3,4699596,3214650,68.4,2675.99,171914
2026-02-23,2573.7,7798833,4812488,61.71,2586.99,424406
2026-02-24,2629.3,3621285,1584614,43.76,2632.16,170312
2026-02-25,2647.7,3464267,1582112,45.67,2649.37,148371
2026-02-26,2637.4,5083717,3300124,64.92,2644.9,166737
2026-03-01,2613.5,3374385,1608755,47.68,2606.37,227265
2026-03-03,2587.8,3446434,1905680,55.29,2598.18,193409
2026-03-04,2578.8,2960636,1090558,36.84,2567.95,186527
2026-03-05,2557.6,3998643,2597729,64.97,2581.54,143599
2026-03-08,2527.4,3653428,1897338,51.93,2525.33,191560
2026-03-09,2513.1,4323710,2372694,54.88,2507.26,214008
2026-03-10,2464.9,2720664,1433802,52.7,2482.92,192326
2026-03-11,2442.4,2752075,1319312,47.94,2450.97,165970
2026-03-12,2410.5,2466488,1262517,51.19,2418.06,180674
2026-03-15,2409.2,3807907,1714733,45.03,2394.18,169215
2026-03-16,2391.7,2993367,1419384,47.42,2387.21,207239
2026-03-17,2440.8,3082388,1209087,39.23,2457.23,149271
2026-03-18,2356.0,2757060,1412111,51.22,2378.78,171760
