date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,1419.8,2136091,1565245,73.28,1420.49,62796
2025-11-03,1409.2,1191278,789874,66.3,1410.91,63588
2025-11-05,1413.6,2502412,1918485,76.67,1414.79,75904
2025-11-06,1386.7,1209479,774564,64.04,1392.87,74482
2025-11-09,1397.8,2883323,2142731,74.31,1396.13,82024
2025-11-10,1408.0,2488036,1839375,73.93,1403.39,92578
2025-11-11,1456.1,2958869,1498809,50.65,1443.88,105389
2025-11-12,1451.4,1178211,729397,61.91,1450.58,42275
2025-11-13,1439.2,1220596,747610,61.25,1436.67,55608
2025-11-16,1452.8,999416,619414,61.98,1448.57,67712
2025-11-17,1422.0,1553597,894523,57.58,1429.7,59731
2025-11-18,1433.9,5777445,4331714,74.98,1435.49,65179
2025-11-19,1456.0,2818268,1290287,45.78,1453.74,80195
2025-11-20,1461.5,2615232,1183023,45.24,1459.62,75008
2025-11-23,1494.7,6808658,3615395,53.1,1500.27,169603
2025-11-24,1494.7,1675981,1142255,68.15,1493.54,60556
2025-11-25,1520.4,1592891,863968,54.24,1511.68,66745
2025-11-26,1509.8,1426194,763858,53.56,1514.36,65941
2025-11-27,1517.3,1247146,696282,55.83,1518.56,55162
2025-11-30,1529.5,1527101,957068,62.67,1525.13,76463
2025-12-01,1536.7,1754978,1185850,67.57,1531.26,88212
2025-12-02,1541.7,2142830,1372433,64.05,1542.79,77614
2025-12-03,1562.3,2422663,1209740,49.93,1564.97,86962
2025-12-04,1570.8,2223397,1501342,67.52,1574.72,76997
2025-12-07,1591.8,2833786,1437101,50.71,1585.24,76551
2025-12-08,1561.6,1533609,824351,53.75,1569.82,85473
2025-12-09,1550.8,735586,367929,50.02,1561.29,49443
2025-12-10,1568.2,1248064,663492,53.16,1557.68,50867
2025-12-11,1578.4,754479,432036,57.26,1574.06,43146
2025-12-14,1575.4,784781,382133,48.69,1579.48,53193
2025-12-15,1578.2,999338,580960,58.13,1574.82,57143
2025-12-16,1579.4,582251,299766,51.48,1579.01,44178
2025-12-17,1605.6,1748780,965117,55.19,1592.49,65399
2025-12-18,1612.5,1802793,1095121,60.75,1608.85,75222
2025-12-21,1646.7,1466208,851570,58.08,1641.31,56797
2025-12-22,1633.0,1161166,779864,67.16,1637.34,56624
2025-12-23,1631.5,955523,502144,52.55,1627.09,38935
2025-12-25,1612.3,461192,222734,48.3,1616.32,25723
2025-12-28,1612.4,891096,447442,50.21,1618.31,51834
2025-12-29,1604.6,1973547,1314415,66.6,1604.79,72189
2025-12-30,1590.9,729913,376616,51.6,1595.36,30316
2025-12-31,1607.7,565878,170647,30.16,1603.99,25823
2026-01-01,1612.0,637080,330059,51.81,1611.82,32770
2026-01-04,1596.9,907810,477147,52.56,1594.95,44510
2026-01-05,1601.8,570335,273338,47.93,1604.84,36268
2026-01-06,1625.2,1309781,707626,54.03,1622.36,50984
2026-01-07,1577.9,1657201,885834,53.45,1593.93,69892
2026-01-08,1582.2,1410053,843742,59.84,1585.41,61199
2026-01-11,1586.1,652320,351319,53.86,1581.41,48293
2026-01-12,1614.8,2573438,1339695,52.06,1608.54,69930
2026-01-13,1588.5,1570385,1088776,69.33,1598.9,48075
2026-01-15,1670.5,3733401,1709896,45.8,1653.1,115095
2026-01-18,1718.3,10621562,6019184,56.67,1723.87,288462
2026-01-19,1678.5,1825981,1051970,57.61,1684.25,107605
2026-01-20,1686.7,1766163,877781,49.7,1678.86,97250
2026-01-21,1687.4,3123567,1884828,60.34,1697.63,94240
2026-01-22,1701.1,1831521,983382,53.69,1702.19,85431
2026-01-26,1745.1,2932973,1835452,62.58,1728.01,155304
2026-01-27,1762.9,2534826,1706913,67.34,1754.07,122533
2026-01-28,1768.4,1893136,1279884,67.61,1759.86,123063
2026-01-29,1743.1,1672787,1086437,64.95,1742.35,76348
2026-01-31,1717.3,654184,174917,26.74,1738.77,31624
