date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,3724.5,1119367,561646,50.18,3721.2,73994
2025-11-03,3813.5,2524600,845390,33.49,3796.02,145802
2025-11-05,3774.4,927231,437216,47.15,3792.65,66738
2025-11-06,3769.3,728998,466336,63.97,3769.48,44483
2025-11-09,3803.0,599567,378359,63.11,3799.84,38351
2025-11-10,3812.4,668789,409536,61.24,3792.6,42317
2025-11-11,3851.1,805025,448946,55.77,3854.93,77241
2025-11-12,3839.2,668623,434428,64.97,3839.26,46378
2025-11-13,3829.2,575050,367358,63.88,3822.33,52894
2025-11-16,3868.6,504928,283181,56.08,3859.27,36355
2025-11-17,3879.2,849966,613854,72.22,3869.17,42250
2025-11-18,3933.1,1578123,1114983,70.65,3914.0,76028
2025-11-19,3902.4,762391,493278,64.7,3926.19,63827
2025-11-20,3904.2,383311,193714,50.54,3906.36,43858
2025-11-23,3874.3,1258036,899345,71.49,3885.15,68977
2025-11-24,3855.1,680366,430703,63.3,3872.42,48164
2025-11-25,3897.7,364592,171792,47.12,3893.74,43153
2025-11-26,3903.3,542241,269182,49.64,3907.77,50635
2025-11-27,3907.7,574817,342804,59.64,3913.89,51721
2025-11-30,3894.9,603073,363148,60.22,3884.58,54745
2025-12-01,3885.8,661018,422107,63.86,3883.61,56435
2025-12-02,3817.8,770638,444923,57.73,3834.25,63741
2025-12-03,3800.4,776693,565801,72.85,3806.67,68347
2025-12-04,3813.3,508448,335608,66.01,3815.44,33788
2025-12-07,3767.0,545864,348418,63.83,3792.22,80449
2025-12-08,3849.0,1121068,601318,53.64,3834.45,92653
2025-12-09,3845.7,616248,430736,69.9,3843.07,50470
2025-12-10,3844.8,669180,387707,57.94,3830.09,49602
2025-12-11,3880.2,547866,350047,63.89,3875.31,45620
2025-12-14,3866.2,332337,215716,64.91,3863.41,36163
2025-12-15,3929.5,1560827,1029409,65.95,3904.79,91372
2025-12-16,3907.9,601010,391700,65.17,3913.18,56339
2025-12-17,3919.3,516547,308187,59.66,3909.92,46918
2025-12-18,3930.1,730780,418901,57.32,3937.88,73468
2025-12-21,3933.8,569521,370219,65.01,3935.0,59275
2025-12-22,3925.8,445656,272677,61.19,3937.52,38814
2025-12-23,3909.3,399227,271132,67.91,3912.46,27447
2025-12-25,3992.0,1113050,560035,50.32,3980.01,71810
2025-12-28,3983.7,1242846,665152,53.52,4006.24,104232
2025-12-29,3974.1,1169570,847783,72.49,3978.61,81600
2025-12-30,4051.5,1358731,895139,65.88,4047.56,75944
2025-12-31,4049.3,444679,227247,51.1,4052.33,46443
2026-01-01,4051.7,659997,391894,59.38,4038.19,49671
2026-01-04,4079.7,629273,401841,63.86,4078.84,48473
2026-01-05,4111.8,820331,548316,66.84,4100.58,54530
2026-01-06,4273.2,3496340,1110864,31.77,4275.23,201910
2026-01-07,4249.0,1055725,506472,47.97,4270.85,78371
2026-01-08,4201.8,883117,556636,63.03,4214.65,64035
2026-01-11,4231.6,514767,273828,53.19,4194.15,64099
2026-01-12,4239.2,770707,443865,57.59,4245.02,48583
2026-01-13,4221.5,998692,647532,64.84,4244.05,66594
2026-01-15,4196.9,686949,437601,63.7,4211.01,69324
2026-01-18,4144.1,365905,208710,57.04,4155.78,49384
2026-01-19,4075.5,586156,378544,64.58,4101.88,73277
2026-01-20,4079.2,552760,301631,54.57,4079.31,87111
2026-01-21,4018.6,818966,479310,58.53,4026.5,65636
2026-01-22,4021.8,1015415,670105,65.99,4037.23,82609
2026-01-26,3997.0,1760501,1115455,63.36,3993.26,110670
2026-01-27,3975.2,809022,595050,73.55,3983.13,61761
2026-01-28,3939.7,1145612,715976,62.5,3900.15,142577
2026-01-29,3977.4,1427639,998922,69.97,3966.09,72896
2026-01-31,3985.3,1114181,582744,52.3,4022.9,70200
2026-02-01,3953.2,1273196,901905,70.84,3934.73,97721
2026-02-02,4068.6,1043274,596388,57.17,4080.43,90644
2026-02-03,4144.0,917279,521239,56.82,4131.62,67222
2026-02-04,4097.6,693637,435383,62.77,4091.05,49485
2026-02-05,4141.0,888701,541789,60.96,4122.54,72975
2026-02-08,4257.8,1092387,522154,47.8,4223.31,73392
2026-02-09,4269.1,1713633,764856,44.63,4281.93,111431
2026-02-10,4249.1,3342226,839484,25.12,4287.64,200651
2026-02-11,4275.8,998509,393966,39.46,4245.22,82172
2026-02-12,4179.2,524758,253518,48.31,4215.93,54022
2026-02-15,4181.1,500349,249524,49.87,4170.4,45402
2026-02-16,4236.4,464123,227779,49.08,4222.66,44562
2026-02-17,4248.6,387328,221280,57.13,4244.49,41417
2026-02-18,4198.2,406232,219396,54.01,4225.08,30185
2026-02-19,4236.4,532169,306044,57.51,4239.5,45975
2026-02-22,4272.7,516387,323758,62.7,4265.62,44616
2026-02-23,4294.5,491126,281374,57.29,4277.12,42386
2026-02-24,4325.0,586295,383896,65.48,4322.02,57827
2026-02-25,4342.6,520985,317570,60.96,4334.21,54765
2026-02-26,4327.5,1146258,864305,75.4,4329.08,65262
2026-03-01,4270.3,770589,315927,41.0,4266.05,79821
2026-03-03,4204.4,1024050,537911,52.53,4171.47,109959
2026-03-04,4275.2,691367,357054,51.64,4242.22,73774
2026-03-05,4244.6,580562,325955,56.14,4264.0,61060
2026-03-08,4159.2,576017,303161,52.63,4147.54,79215
2026-03-09,4220.1,788850,459012,58.19,4211.03,107038
2026-03-10,4140.3,454575,253206,55.7,4166.36,68745
2026-03-11,4129.6,1071366,557028,51.99,4114.48,84262
2026-03-12,4073.2,868825,552270,63.57,4090.49,128348
