date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,11950.0,98394,57420,58.36,11941.61,23272
2025-11-03,11819.0,199364,126996,63.7,11871.82,28435
2025-11-05,11910.0,189652,117218,61.81,11903.94,39219
2025-11-06,11849.0,148161,102154,68.95,11879.29,24873
2025-11-09,11728.0,197085,141306,71.7,11785.35,30866
2025-11-10,11825.0,125847,63402,50.38,11790.45,24966
2025-11-11,11921.0,184542,131020,71.0,11887.92,28501
2025-11-12,11934.0,174415,113565,65.11,11959.62,31659
2025-11-13,11874.0,161315,114927,71.24,11861.74,33259
2025-11-16,11778.0,194379,118893,61.17,11783.16,30500
2025-11-17,11707.0,318116,231072,72.64,11731.94,42262
2025-11-18,11666.0,271396,206206,75.98,11681.88,39648
2025-11-19,11753.0,185397,131150,70.74,11726.11,26069
2025-11-20,11729.0,192051,124738,64.95,11744.03,25874
2025-11-23,11584.0,407297,285910,70.2,11600.77,33703
2025-11-24,11580.0,200149,131519,65.71,11603.63,26646
2025-11-25,11759.0,187481,133117,71.0,11684.32,30715
2025-11-26,11617.0,275290,210000,76.28,11654.1,43358
2025-11-27,11600.0,159990,118830,74.27,11593.16,23864
2025-11-30,11662.0,228729,161635,70.67,11618.11,34056
2025-12-01,11666.0,190930,122981,64.41,11649.32,34931
2025-12-02,11591.0,206293,134981,65.43,11579.27,31798
2025-12-03,11608.0,159687,113035,70.79,11591.53,30994
2025-12-04,11597.0,226572,183870,81.15,11596.01,22395
2025-12-07,11540.0,148186,102349,69.07,11570.34,27514
2025-12-08,11414.0,274482,196757,71.68,11433.42,37738
2025-12-09,11317.0,272923,178668,65.46,11364.11,52189
2025-12-10,11472.0,196507,114273,58.15,11412.17,25553
2025-12-11,11723.0,389481,284844,73.13,11651.36,38687
2025-12-14,11728.0,178073,114272,64.17,11716.87,36431
2025-12-15,11528.0,179690,122430,68.13,11576.78,30346
2025-12-16,11540.0,205337,136213,66.34,11533.28,37906
2025-12-17,11461.0,103462,58227,56.28,11471.81,18634
2025-12-18,11496.0,152956,108062,70.65,11497.39,21628
2025-12-21,11532.0,170807,106504,62.35,11493.6,32321
2025-12-22,11678.0,161830,80853,49.96,11683.57,30809
2025-12-23,11764.0,182050,114565,62.93,11751.84,35103
2025-12-25,11794.0,193121,116578,60.37,11811.57,36334
2025-12-28,11799.0,197600,123825,62.66,11790.75,29327
2025-12-29,11705.0,236323,147482,62.41,11700.46,45599
2025-12-30,11784.0,172267,116276,67.5,11753.04,19516
2025-12-31,11901.0,71887,28486,39.63,11871.62,15050
2026-01-01,11899.0,206244,134012,64.98,11886.33,26997
2026-01-04,12087.0,302803,191844,63.36,12059.66,43911
2026-01-05,12204.0,225766,127659,56.54,12174.93,42396
2026-01-06,12184.0,246825,164978,66.84,12157.35,38228
2026-01-07,12064.0,229175,156045,68.09,12077.89,33781
2026-01-08,11937.0,263833,161991,61.4,11938.51,35330
2026-01-11,12098.0,275484,184451,66.96,11935.63,37853
2026-01-12,12044.0,290750,178034,61.23,12070.14,44327
2026-01-13,12255.0,408660,250423,61.28,12227.31,84007
2026-01-15,12378.0,454481,320583,70.54,12317.19,93047
2026-01-18,12297.0,257602,177816,69.03,12338.64,39265
2026-01-19,12059.0,298026,175238,58.8,12219.0,60726
2026-01-20,12231.0,209393,112476,53.72,12171.37,39337
2026-01-21,12364.0,286236,175873,61.44,12346.57,59194
2026-01-22,12369.0,356421,218494,61.3,12439.67,54855
2026-01-26,12589.0,926373,473208,51.08,12664.21,129767
2026-01-27,12767.0,456847,327187,71.62,12716.9,62637
2026-01-28,12717.0,285262,188396,66.04,12664.07,52517
2026-01-29,12694.0,296876,205384,69.18,12679.42,38139
2026-01-31,12284.0,202576,116327,57.42,12559.14,30097
2026-02-01,12535.0,259656,162489,62.58,12413.23,42701
2026-02-02,12590.0,296810,166680,56.16,12685.11,49072
2026-02-03,12806.0,159977,100039,62.53,12754.46,25909
2026-02-04,12773.0,172331,123412,71.61,12782.56,43423
2026-02-05,12722.0,124704,63136,50.63,12696.53,25965
2026-02-08,13048.0,235298,150330,63.89,12943.95,38081
2026-02-09,13023.0,167157,92365,55.26,13027.6,30494
2026-02-10,12969.0,92473,49625,53.66,12953.16,23193
2026-02-11,13029.0,179716,115503,64.27,13003.18,29875
2026-02-12,12963.0,178236,118959,66.74,12945.07,38308
2026-02-15,12981.0,81768,44357,54.25,12935.82,18373
2026-02-16,12984.0,136174,81872,60.12,12953.91,19085
2026-02-17,13052.0,161603,113625,70.31,13030.26,19533
2026-02-18,12688.0,195303,95656,48.98,12771.92,28508
2026-02-19,12766.0,120589,60739,50.37,12760.32,19208
2026-02-22,12976.0,134369,81528,60.67,12896.85,27857
2026-02-23,12960.0,332450,241762,72.72,12964.52,50968
2026-02-24,13041.0,201537,108897,54.03,12973.51,35809
2026-02-25,12937.0,209041,123588,59.12,12944.04,34273
2026-02-26,12677.0,272915,155279,56.9,12700.22,42685
2026-03-01,12521.0,237506,112000,47.16,12449.76,51489
2026-03-03,12107.0,394665,214364,54.32,12046.97,67579
2026-03-04,12288.0,284992,157018,55.1,12171.55,48964
2026-03-05,11987.0,296585,163232,55.04,12063.99,51734
2026-03-08,11378.0,590742,357750,60.56,11426.33,80719
2026-03-09,11654.0,460885,272772,59.18,11650.84,63261
2026-03-10,11462.0,231139,138142,59.77,11549.77,40400
2026-03-11,11089.0,535730,349674,65.27,11186.33,70640
2026-03-12,10616.0,723904,493227,68.13,10724.96,80512
2026-03-15,11099.0,728077,349254,47.97,10995.17,101944
2026-03-16,11116.0,332933,197169,59.22,11064.26,68048
2026-03-17,11247.0,211865,126345,59.63,11235.86,32959
2026-03-18,10814.0,283817,175689,61.9,10884.72,53396
2026-03-19,10934.0,365914,232749,63.61,10921.0,53656
2026-03-22,10362.0,644386,436791,67.78,10440.09,90481
2026-03-23,10764.0,369647,189008,51.13,10713.79,58745
2026-03-24,11204.0,456437,271515,59.49,11137.67,85643
2026-03-26,11049.0,418469,242512,57.95,11060.83,65442
2026-03-29,10745.0,632265,235636,37.27,10780.9,65840
2026-03-31,10714.0,431636,243262,56.36,10796.63,54186
2026-04-01,10620.0,333524,185950,55.75,10527.97,74982
2026-04-05,10955.0,374420,201883,53.92,10788.03,48015
2026-04-06,10936.0,263658,142531,54.06,10891.07,46255
2026-04-07,11603.0,612764,376897,61.51,11639.49,86582
2026-04-08,11448.0,330553,172962,52.33,11453.89,46519
2026-04-09,11589.0,420339,280695,66.78,11578.31,37916
2026-04-12,11502.0,220442,108529,49.23,11449.9,41186
2026-04-14,11785.0,274811,171509,62.41,11782.96,40458
2026-04-15,11826.0,308549,184134,59.68,11789.56,49572
2026-04-16,11886.0,165109,91119,55.19,11874.26,24964
2026-04-19,11917.0,335624,195666,58.3,11897.22,37156
2026-04-20,12039.0,320111,170016,53.11,11958.95,39601
2026-04-21,12193.0,312307,179356,57.43,12139.56,45459
2026-04-22,12167.0,227223,117033,51.51,12085.37,43433
2026-04-23,11998.0,349586,211610,60.53,12068.01,40795
2026-04-26,12010.0,567601,160580,28.29,12079.32,85483
2026-04-27,11817.0,509322,225561,44.29,11885.94,68290
2026-04-28,11833.0,361932,229988,63.54,11939.9,43734
2026-04-29,11586.0,719688,451794,62.78,11561.75,91170
2026-05-03,11758.0,461238,245355,53.19,11704.48,60523
2026-05-04,11963.0,350047,184955,52.84,11859.9,51260
2026-05-05,12093.0,355092,194023,54.64,12032.72,48321
2026-05-06,12146.0,227651,103403,45.42,12179.81,46952
