date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,730.6,2805423,1738932,61.98,730.37,76136
2025-11-03,731.35,1916707,1122237,58.55,731.09,60088
2025-11-05,733.35,9280167,2691585,29.0,730.8,137298
2025-11-06,747.95,5598140,2620042,46.8,737.4,79127
2025-11-09,750.65,2547152,1345604,52.83,752.63,67268
2025-11-10,752.35,1645749,850874,51.7,751.39,39981
2025-11-11,760.6,4193619,2555741,60.94,762.29,76540
2025-11-12,758.15,1752051,1141562,65.16,759.68,54282
2025-11-13,758.6,2148563,1328272,61.82,758.54,43755
2025-11-16,773.2,3590666,2257517,62.87,770.1,55459
2025-11-17,759.65,1862425,1041822,55.94,761.79,45344
2025-11-18,752.65,2359649,1657915,70.26,755.64,78378
2025-11-19,753.5,2794809,2018050,72.21,756.57,40373
2025-11-20,750.85,2033481,1237747,60.87,749.77,42600
2025-11-23,742.7,5530635,3857370,69.75,744.34,48694
2025-11-24,749.7,1677991,958230,57.11,748.16,44583
2025-11-25,760.6,1482487,879950,59.36,757.97,39783
2025-11-26,758.65,1201547,657953,54.76,760.43,24980
2025-11-27,758.65,1546792,1026435,66.36,759.87,27539
2025-11-30,750.85,1611007,911302,56.57,752.43,39315
2025-12-01,746.75,1519168,1024089,67.41,749.24,39584
2025-12-02,743.0,6025366,2992968,49.67,742.8,49660
2025-12-03,756.45,2855120,1785534,62.54,754.49,58040
2025-12-04,759.1,1936558,1062677,54.87,755.92,33790
2025-12-07,739.85,1584321,800409,50.52,744.44,39943
2025-12-08,739.7,2172777,1260065,57.99,738.8,52836
2025-12-09,736.9,1346660,728213,54.08,743.06,43663
2025-12-10,745.85,2062566,1140473,55.29,741.71,47308
2025-12-11,748.35,4075773,2695131,66.13,745.42,37742
2025-12-14,765.65,1840513,789462,42.89,761.43,46337
2025-12-15,749.9,1218572,593520,48.71,753.19,39877
2025-12-16,746.3,1655654,924989,55.87,746.78,45247
2025-12-17,744.4,748699,436156,58.26,743.16,24598
2025-12-18,751.55,6064263,4270987,70.43,750.29,44028
2025-12-21,776.55,3673981,1912003,52.04,773.78,54227
2025-12-22,781.0,3043436,1707960,56.12,781.87,36635
2025-12-23,772.7,3570117,2629697,73.66,776.59,31804
2025-12-25,774.05,1476893,974974,66.02,774.28,23280
2025-12-28,770.95,1364589,687458,50.38,773.82,23978
2025-12-29,787.35,8329037,6052563,72.67,783.82,133446
2025-12-30,795.15,3039998,1465884,48.22,795.5,51160
2025-12-31,805.35,2644289,1400081,52.95,797.04,53577
2026-01-01,804.65,4562526,3106546,68.09,804.01,62163
2026-01-04,805.1,2068765,999744,48.33,805.73,39146
2026-01-05,799.3,1710964,1105229,64.6,800.75,35999
2026-01-06,802.95,3691946,2591858,70.2,801.67,41075
2026-01-07,794.5,2238370,1052441,47.02,795.9,45072
2026-01-08,771.7,2293012,1106039,48.24,784.78,45030
2026-01-11,773.85,2279267,992131,43.53,774.57,43754
2026-01-12,773.45,2207561,1268631,57.47,772.68,34040
2026-01-13,780.4,2672389,1731091,64.78,776.87,37333
2026-01-15,790.15,3461231,1857681,53.67,789.98,43242
2026-01-18,787.15,2156885,1180598,54.74,790.38,39214
2026-01-19,723.45,6196941,1806652,29.15,736.11,115109
2026-01-20,691.7,7967753,2514401,31.56,695.65,121820
2026-01-21,700.5,3505671,1640230,46.79,699.36,66932
2026-01-22,702.55,3808963,2356354,61.86,704.57,69804
2026-01-26,716.55,3625276,1750260,48.28,714.44,79609
2026-01-27,715.1,1299211,689119,53.04,712.73,32583
2026-01-28,715.95,2742480,1712987,62.46,711.14,45398
2026-01-29,703.95,4668042,3066382,65.69,706.21,61953
2026-01-31,664.95,1395403,445514,31.93,679.17,29012
2026-02-01,698.55,5879658,2376720,40.42,683.79,101239
2026-02-02,739.8,7513174,4054637,53.97,739.72,112758
2026-02-03,758.7,4830902,2705177,56.0,755.92,101118
2026-02-04,747.65,1548274,796194,51.42,744.37,47882
2026-02-05,741.3,2249941,1444308,64.19,743.42,43888
2026-02-08,744.05,1489737,910837,61.14,742.29,34064
2026-02-09,746.0,1977229,1177082,59.53,747.77,38879
2026-02-10,749.0,1142581,637318,55.78,749.95,41891
2026-02-11,744.9,1117676,652666,58.39,743.7,32019
2026-02-12,724.3,1332082,738274,55.42,730.85,50584
2026-02-15,733.8,685996,344639,50.24,732.26,25714
2026-02-16,741.15,472779,228903,48.42,737.94,17340
2026-02-17,747.65,2240635,1440045,64.27,748.1,39643
2026-02-18,765.05,2242488,1031233,45.99,762.96,55423
2026-02-19,752.35,2400204,980966,40.87,755.15,64191
2026-02-22,644.8,22336295,6626387,29.67,652.6,252787
2026-02-23,630.55,7889253,3768236,47.76,636.42,139727
2026-02-24,626.2,5081011,2724850,53.63,626.2,79224
2026-02-25,640.45,4874080,2523770,51.78,634.22,68548
2026-02-26,637.4,4377806,2749422,62.8,637.89,79896
2026-03-01,622.85,2404381,1091161,45.38,628.39,72632
2026-03-03,614.1,3558558,1851053,52.02,609.54,77218
2026-03-04,629.6,2530219,1453176,57.43,624.06,43094
2026-03-05,628.35,3095128,2139190,69.11,631.72,48999
2026-03-08,625.0,4705618,3103125,65.95,617.68,61094
2026-03-09,630.3,1476957,729335,49.38,627.53,41849
2026-03-10,625.85,1418800,685442,48.31,629.29,42882
2026-03-11,629.05,1299556,526131,40.49,627.12,43495
2026-03-12,609.4,1954960,917468,46.93,610.7,63999
2026-03-15,608.8,2470861,1189687,48.15,609.02,69433
2026-03-16,615.85,1500040,634000,42.27,614.89,43047
2026-03-17,631.5,1491586,789523,52.93,626.78,31881
2026-03-18,611.8,2849379,1727947,60.64,617.29,47993
2026-03-19,625.55,4640376,2708504,58.37,627.36,45231
2026-03-22,602.4,1690435,793848,46.96,605.99,51380
2026-03-23,620.45,2609729,1371661,52.56,617.61,44487
2026-03-24,625.25,1449608,640984,44.22,626.4,41059
2026-03-26,595.85,4252300,2561036,60.23,603.06,75970
2026-03-29,567.95,5317081,2646085,49.77,577.79,62383
2026-03-31,594.5,2182769,1055619,48.36,593.64,48423
2026-04-01,593.0,1403119,541015,38.56,584.62,34710
2026-04-05,607.75,1075781,423749,39.39,598.92,36593
2026-04-06,607.55,1533818,860402,56.1,606.1,30365
2026-04-07,640.25,3241939,1859283,57.35,632.36,46659
2026-04-08,642.0,2904575,1295415,44.6,643.28,49681
2026-04-09,644.85,2162418,1175821,54.38,645.86,49587
2026-04-12,643.75,1737923,804815,46.31,634.71,50281
2026-04-14,659.8,2544691,1584450,62.26,657.55,57903
2026-04-15,659.95,1666120,834467,50.08,657.31,56053
2026-04-16,664.7,1023994,481530,47.02,665.82,22552
2026-04-19,656.65,1301749,684980,52.62,661.81,33066
2026-04-20,654.3,1144716,648651,56.66,657.09,27653
2026-04-21,653.85,1709380,864022,50.55,652.5,27691
2026-04-22,642.05,2471569,1546064,62.55,646.72,37359
2026-04-23,631.4,1793446,949320,52.93,634.25,36671
2026-04-26,639.5,1137864,558782,49.11,639.28,32723
2026-04-27,645.5,2114630,1211705,57.3,645.1,52468
2026-04-28,644.1,1669659,894767,53.59,646.52,35064
2026-04-29,641.85,2123914,1216202,57.26,636.85,44609
2026-05-03,643.35,1985598,1246247,62.76,644.43,37945
2026-05-04,642.05,1359665,788717,58.01,641.82,36441
2026-05-05,660.0,1770864,902864,50.98,651.75,35104
2026-05-06,650.45,2407109,1505837,62.56,653.5,42385
2026-05-07,646.0,1751781,996617,56.89,647.67,56115
2026-05-10,669.0,7880947,1582477,20.08,666.67,153531
2026-05-11,626.15,5371994,2350351,43.75,638.66,124895
2026-05-12,630.1,2501012,1417710,56.69,630.97,48082
2026-05-13,638.4,1486427,768595,51.71,635.6,38555
2026-05-14,632.25,1535195,942426,61.39,633.79,43347
