date,close,volume,delivery_qty,delivery_pct,vwap,num_trades
2025-11-02,240.5,4902693,2851620,58.16,240.43,75660
2025-11-03,237.92,6848284,3897852,56.92,238.37,103001
2025-11-05,240.05,7141517,4157593,58.22,239.71,77981
2025-11-06,236.49,5520619,2856500,51.74,236.77,87628
2025-11-09,239.84,8566758,4425382,51.66,239.84,82903
2025-11-10,241.69,8831094,5425322,61.43,240.7,88771
2025-11-11,245.22,13152546,8228990,62.57,245.02,103627
2025-11-12,245.33,6211124,3519811,56.67,245.37,93441
2025-11-13,244.37,6841554,3905933,57.09,243.59,91626
2025-11-16,244.05,6559062,3885862,59.24,243.79,59521
2025-11-17,240.9,4730012,2528644,53.46,241.73,51881
2025-11-18,246.07,13298452,6685771,50.27,245.17,98584
2025-11-19,246.26,6705862,3960657,59.06,246.32,62389
2025-11-20,244.49,5516450,2719052,49.29,245.32,64254
2025-11-23,247.27,19711070,12180030,61.79,247.61,104905
2025-11-24,245.64,8188793,4323937,52.8,245.87,97736
2025-11-25,250.19,8202096,4800038,58.52,248.94,86257
2025-11-26,249.56,5268129,2236250,42.45,249.68,74342
2025-11-27,249.53,7049965,3606213,51.15,249.95,67376
2025-11-30,250.28,3865446,2111894,54.64,250.08,71087
2025-12-01,250.17,8535708,5807027,68.03,249.96,86860
2025-12-02,254.69,17215454,6161617,35.79,255.04,139700
2025-12-03,256.93,10687381,4794097,44.86,257.22,89639
2025-12-04,259.91,7886562,3441443,43.64,259.65,88688
2025-12-07,261.38,9684253,3847429,39.73,261.37,97906
2025-12-08,257.41,8560580,4721033,55.15,258.06,75288
2025-12-09,257.98,7944200,5005753,63.01,258.58,74001
2025-12-10,259.25,6473376,3856771,59.58,259.05,64064
2025-12-11,260.6,4008271,1929843,48.15,259.59,59594
2025-12-14,261.74,4023911,1644809,40.88,260.73,65233
2025-12-15,259.22,2982041,1535105,51.48,259.93,52058
2025-12-16,261.14,4923276,2816621,57.21,260.93,58007
2025-12-17,263.85,9008412,3828431,42.5,263.42,81183
2025-12-18,264.45,12750745,7888142,61.86,264.63,65906
2025-12-21,272.67,14651313,6306729,43.05,271.28,142390
2025-12-22,271.4,7572420,3702148,48.89,271.28,75683
2025-12-23,268.06,4694861,2082964,44.37,268.42,62692
2025-12-25,266.3,2899112,1237350,42.68,267.13,52478
